point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2011-01-11 10:30:00-05:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2011-01-11 16:00:00-05:00,1,-60.0,-60.0,149940.0,150000.0,60.0,0.0004
2,2011-01-13 16:00:00-05:00,2,-65.0,-125.0,149875.0,150000.0,125.0,0.0008333333333333334
3,2011-02-01 16:00:00-05:00,3,-70.0,-195.0,149805.0,150000.0,195.0,0.0013
4,2011-02-17 16:00:00-05:00,4,-40.0,-235.0,149765.0,150000.0,235.0,0.0015666666666666667
5,2011-02-25 16:00:00-05:00,5,5.0,-230.0,149770.0,150000.0,230.0,0.0015333333333333334
6,2011-03-21 16:00:00-04:00,6,-155.0,-385.0,149615.0,150000.0,385.0,0.0025666666666666667
7,2011-04-19 16:00:00-04:00,7,170.0,-215.0,149785.0,150000.0,215.0,0.0014333333333333333
8,2011-05-31 16:00:00-04:00,8,400.0,185.0,150185.0,150185.0,0.0,0.0
9,2011-06-30 16:00:00-04:00,9,35.0,220.0,150220.0,150220.0,0.0,0.0
10,2011-07-06 16:00:00-04:00,10,45.0,265.0,150265.0,150265.0,0.0,0.0
11,2011-09-07 16:00:00-04:00,11,530.0,795.0,150795.0,150795.0,0.0,0.0
12,2011-09-13 16:00:00-04:00,12,60.0,855.0,150855.0,150855.0,0.0,0.0
13,2011-09-16 16:00:00-04:00,13,130.0,985.0,150985.0,150985.0,0.0,0.0
14,2011-09-27 16:00:00-04:00,14,-205.0,780.0,150780.0,150985.0,205.0,0.0013577507699440341
15,2011-10-14 16:00:00-04:00,15,340.0,1120.0,151120.0,151120.0,0.0,0.0
16,2011-12-02 16:00:00-05:00,16,-535.0,585.0,150585.0,151120.0,535.0,0.0035402329274748542
17,2011-12-20 16:00:00-05:00,17,40.0,625.0,150625.0,151120.0,495.0,0.0032755426151402857
18,2011-12-23 16:00:00-05:00,18,320.0,945.0,150945.0,151120.0,175.0,0.0011580201164637374
19,2012-01-03 16:00:00-05:00,19,-90.0,855.0,150855.0,151120.0,265.0,0.0017535733192165167
20,2012-01-17 16:00:00-05:00,20,-190.0,665.0,150665.0,151120.0,455.0,0.003010852302805717
21,2012-01-23 16:00:00-05:00,21,-70.0,595.0,150595.0,151120.0,525.0,0.0034740603493912123
22,2012-03-07 16:00:00-05:00,22,35.0,630.0,150630.0,151120.0,490.0,0.003242456326098465
23,2012-03-08 16:00:00-05:00,23,280.0,910.0,150910.0,151120.0,210.0,0.001389624139756485
24,2012-03-13 16:00:00-04:00,24,700.0,1610.0,151610.0,151610.0,0.0,0.0
25,2012-03-21 16:00:00-04:00,25,-170.0,1440.0,151440.0,151610.0,170.0,0.0011212980674098014
26,2012-04-12 16:00:00-04:00,26,75.0,1515.0,151515.0,151610.0,95.0,0.0006266077435525361
27,2012-04-25 16:00:00-04:00,27,135.0,1650.0,151650.0,151650.0,0.0,0.0
28,2012-05-01 16:00:00-04:00,28,-480.0,1170.0,151170.0,151650.0,480.0,0.003165182987141444
29,2012-05-21 16:00:00-04:00,29,260.0,1430.0,151430.0,151650.0,220.0,0.0014507088691064953
30,2012-05-22 16:00:00-04:00,30,-185.0,1245.0,151245.0,151650.0,405.0,0.0026706231454005935
31,2012-05-29 16:00:00-04:00,31,330.0,1575.0,151575.0,151650.0,75.0,0.0004945598417408506
32,2012-06-08 16:00:00-04:00,32,140.0,1715.0,151715.0,151715.0,0.0,0.0
33,2012-07-26 16:00:00-04:00,33,150.0,1865.0,151865.0,151865.0,0.0,0.0
34,2012-10-04 16:00:00-04:00,34,60.0,1925.0,151925.0,151925.0,0.0,0.0
35,2012-11-06 16:00:00-05:00,35,-170.0,1755.0,151755.0,151925.0,170.0,0.0011189731775547145
36,2012-11-29 16:00:00-05:00,36,-15.0,1740.0,151740.0,151925.0,185.0,0.0012177061049860128
37,2012-12-17 16:00:00-05:00,37,220.0,1960.0,151960.0,151960.0,0.0,0.0
38,2013-01-23 16:00:00-05:00,38,30.0,1990.0,151990.0,151990.0,0.0,0.0
39,2013-02-01 16:00:00-05:00,39,-55.0,1935.0,151935.0,151990.0,55.0,0.0003618659122310678
40,2013-04-09 16:00:00-04:00,40,-130.0,1805.0,151805.0,151990.0,185.0,0.0012171853411408644
41,2013-04-25 16:00:00-04:00,41,25.0,1830.0,151830.0,151990.0,160.0,0.0010527008355812881
42,2013-04-29 16:00:00-04:00,42,-145.0,1685.0,151685.0,151990.0,305.0,0.002006710967826831
43,2013-04-30 16:00:00-04:00,43,75.0,1760.0,151760.0,151990.0,230.0,0.0015132574511481018
44,2013-06-10 16:00:00-04:00,44,-95.0,1665.0,151665.0,151990.0,325.0,0.0021382985722744915
