session_date,net_pnl,gross_pnl,trades,wins,losses
2021-01-05,257.5,262.5,1,1,0
2021-01-06,-942.5,-937.5,1,0,1
2021-01-07,407.5,412.5,1,1,0
2021-01-11,-667.5,-662.5,1,0,1
2021-01-13,-267.5,-262.5,1,0,1
2021-02-01,32.5,37.5,1,1,0
2021-02-09,132.5,137.5,1,1,0
2021-02-12,207.5,212.5,1,1,0
2021-02-17,257.5,262.5,1,1,0
2021-02-22,-680.0,-675.0,1,0,1
2021-02-26,-1080.0,-1075.0,1,0,1
2021-03-01,695.0,700.0,1,1,0
2021-03-12,182.5,187.5,1,1,0
2021-03-25,770.0,775.0,1,1,0
2021-04-13,670.0,675.0,1,1,0
2021-04-21,220.0,225.0,1,1,0
2021-04-23,407.5,412.5,1,1,0
2021-05-07,420.0,425.0,1,1,0
2021-05-13,1345.0,1350.0,1,1,0
2021-05-14,257.5,262.5,1,1,0
2021-05-19,-130.0,-125.0,1,0,1
2021-05-24,132.5,137.5,1,1,0
2021-05-26,-205.0,-200.0,1,0,1
2021-06-03,-380.0,-375.0,1,0,1
2021-06-30,70.0,75.0,1,1,0
2021-07-01,320.0,325.0,1,1,0
2021-07-21,70.0,75.0,1,1,0
2021-08-05,7.5,12.5,1,1,0
2021-08-12,282.5,287.5,1,1,0
2021-08-18,-805.0,-800.0,1,0,1
2021-08-20,-42.5,-37.5,1,0,1
2021-08-27,-30.0,-25.0,1,0,1
2021-09-01,-455.0,-450.0,1,0,1
2021-09-03,32.5,37.5,1,1,0
2021-10-01,1170.0,1175.0,1,1,0
2021-10-06,1245.0,1250.0,1,1,0
2021-10-21,432.5,437.5,1,1,0
2021-10-27,-892.5,-887.5,1,0,1
2021-10-29,-530.0,-525.0,1,0,1
2021-11-02,-17.5,-12.5,1,0,1
2021-11-16,-180.0,-175.0,1,0,1
2021-11-24,195.0,200.0,1,1,0
2021-11-29,-242.5,-237.5,1,0,1
2021-12-06,-655.0,-650.0,1,0,1
2021-12-17,-617.5,-612.5,1,0,1
2022-01-06,132.5,137.5,1,1,0
2022-01-11,770.0,775.0,1,1,0
2022-01-25,895.0,900.0,1,1,0
2022-01-31,32.5,37.5,1,1,0
2022-02-04,1170.0,1175.0,1,1,0
2022-02-08,195.0,200.0,1,1,0
2022-02-09,295.0,300.0,1,1,0
2022-02-15,-92.5,-87.5,1,0,1
2022-02-24,4157.5,4162.5,1,1,0
2022-03-02,107.5,112.5,1,1,0
2022-03-08,-2655.0,-2650.0,1,0,1
2022-03-09,282.5,287.5,1,1,0
2022-03-22,-55.0,-50.0,1,0,1
2022-03-24,732.5,737.5,1,1,0
2022-04-13,520.0,525.0,1,1,0
2022-04-19,1270.0,1275.0,1,1,0
2022-04-27,-1605.0,-1600.0,1,0,1
2022-04-28,820.0,825.0,1,1,0
2022-05-04,4170.0,4175.0,1,1,0
2022-05-06,-1492.5,-1487.5,1,0,1
2022-05-19,282.5,287.5,1,1,0
2022-05-27,982.5,987.5,1,1,0
2022-06-02,482.5,487.5,1,1,0
2022-06-24,382.5,387.5,1,1,0
2022-06-30,-892.5,-887.5,1,0,1
2022-07-13,-455.0,-450.0,1,0,1
2022-07-14,1670.0,1675.0,1,1,0
2022-07-19,907.5,912.5,1,1,0
2022-08-03,132.5,137.5,1,1,0
2022-08-10,95.0,100.0,1,1,0
2022-08-12,895.0,900.0,1,1,0
2022-08-24,620.0,625.0,1,1,0
2022-08-25,545.0,550.0,1,1,0
2022-09-07,1820.0,1825.0,1,1,0
2022-09-09,407.5,412.5,1,1,0
2022-09-19,1045.0,1050.0,1,1,0
2022-09-28,1057.5,1062.5,1,1,0
2022-10-05,1007.5,1012.5,1,1,0
2022-10-11,-2280.0,-2275.0,1,0,1
2022-10-17,-130.0,-125.0,1,0,1
2022-10-21,1545.0,1550.0,1,1,0
2022-10-25,970.0,975.0,1,1,0
2022-10-26,-430.0,-425.0,1,0,1
2022-10-28,732.5,737.5,1,1,0
2022-11-03,132.5,137.5,1,1,0
2022-11-10,1507.5,1512.5,1,1,0
2022-12-02,932.5,937.5,1,1,0
2022-12-07,-667.5,-662.5,1,0,1
2022-12-23,-5.0,0.0,1,0,1
