point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2021-01-05 13:30:00-05:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2021-01-05 15:31:00-05:00,1,257.5,257.5,150257.5,150257.5,0.0,0.0
2,2021-01-06 15:31:00-05:00,2,-942.5,-685.0,149315.0,150257.5,942.5,0.0062725654293462885
3,2021-01-07 15:31:00-05:00,3,407.5,-277.5,149722.5,150257.5,535.0,0.003560554381644843
4,2021-01-11 15:31:00-05:00,4,-667.5,-945.0,149055.0,150257.5,1202.5,0.008002928306407335
5,2021-01-13 15:31:00-05:00,5,-267.5,-1212.5,148787.5,150257.5,1470.0,0.009783205497229755
6,2021-02-01 15:31:00-05:00,6,32.5,-1180.0,148820.0,150257.5,1437.5,0.009566910137597124
7,2021-02-09 15:31:00-05:00,7,132.5,-1047.5,148952.5,150257.5,1305.0,0.008685090594479477
8,2021-02-12 15:31:00-05:00,8,207.5,-840.0,149160.0,150257.5,1097.5,0.007304127913748066
9,2021-02-17 15:31:00-05:00,9,257.5,-582.5,149417.5,150257.5,840.0,0.005590403141274146
10,2021-02-22 15:31:00-05:00,10,-680.0,-1262.5,148737.5,150257.5,1520.0,0.010115967588972265
11,2021-02-26 15:31:00-05:00,11,-1080.0,-2342.5,147657.5,150257.5,2600.0,0.017303628770610452
12,2021-03-01 15:31:00-05:00,12,695.0,-1647.5,148352.5,150257.5,1905.0,0.01267823569538958
13,2021-03-12 15:31:00-05:00,13,182.5,-1465.0,148535.0,150257.5,1722.5,0.011463654060529424
14,2021-03-25 15:31:00-04:00,14,770.0,-695.0,149305.0,150257.5,952.5,0.00633911784769479
15,2021-04-13 15:31:00-04:00,15,670.0,-25.0,149975.0,150257.5,282.5,0.0018801058183451741
16,2021-04-21 15:31:00-04:00,16,220.0,195.0,150195.0,150257.5,62.5,0.00041595261467813584
17,2021-04-23 15:31:00-04:00,17,407.5,602.5,150602.5,150602.5,0.0,0.0
18,2021-05-07 15:31:00-04:00,18,420.0,1022.5,151022.5,151022.5,0.0,0.0
19,2021-05-13 15:31:00-04:00,19,1345.0,2367.5,152367.5,152367.5,0.0,0.0
20,2021-05-14 15:31:00-04:00,20,257.5,2625.0,152625.0,152625.0,0.0,0.0
21,2021-05-19 15:31:00-04:00,21,-130.0,2495.0,152495.0,152625.0,130.0,0.0008517608517608518
22,2021-05-24 15:31:00-04:00,22,132.5,2627.5,152627.5,152627.5,0.0,0.0
23,2021-05-26 15:31:00-04:00,23,-205.0,2422.5,152422.5,152627.5,205.0,0.001343139342516912
24,2021-06-03 15:31:00-04:00,24,-380.0,2042.5,152042.5,152627.5,585.0,0.0038328610505970417
25,2021-06-30 15:31:00-04:00,25,70.0,2112.5,152112.5,152627.5,515.0,0.0033742281043717547
26,2021-07-01 15:31:00-04:00,26,320.0,2432.5,152432.5,152627.5,195.0,0.001277620350199014
