variant_id,test_run_id,stage,status,reason
early_5m_signed_flow_continuation_1000,run1,walk_forward_analysis,not_reached,limited_core_grid_test failed
early_5m_signed_flow_continuation_1000,rescue1,walk_forward_analysis,not_reached,limited_core_grid_test failed
late_morning_15m_signed_flow_continuation_1130,run1,walk_forward_analysis,not_reached,limited_core_grid_test failed
late_morning_15m_signed_flow_continuation_1130,rescue1,walk_forward_analysis,not_reached,limited_core_grid_test failed
midday_30m_signed_flow_continuation_1230,run1,walk_forward_analysis,not_reached,limited_core_grid_test failed
midday_30m_signed_flow_continuation_1230,rescue1,walk_forward_analysis,not_reached,limited_core_grid_test failed
afternoon_60m_signed_flow_continuation_1400,run1,walk_forward_analysis,not_reached,limited_core_grid_test failed
afternoon_60m_signed_flow_continuation_1400,rescue1,walk_forward_analysis,not_reached,limited_core_grid_test failed
late_large20_30m_flow_continuation_1500,run1,walk_forward_analysis,not_reached,limited_core_grid_test failed
late_large20_30m_flow_continuation_1500,rescue1,walk_forward_analysis,not_reached,limited_core_grid_test failed
