trade_id,strategy_name,session_date,direction,level_type,setup_mode,profile_source,tpo_profile_bars,tpo_poc,tpo_vah,tpo_val,tpo_midpoint,opening_range_high,opening_range_low,aoi_anchor,aoi_market_confluence,aoi_low,aoi_high,aoi_width_points,min_probe_ticks,close_location_metric,range_expansion_ratio,poc_range_location,signal_target_price,dynamic_stop_trigger_price,dynamic_stop_offset_points,signal_timestamp,intended_entry_timestamp,signal_flatten_time,rejection_bar_timestamp,confirmation_bar_timestamp,entry_timestamp,entry_reference_price_raw,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,dynamic_stop_price,position_sizing_mode,exit_timestamp,exit_reference_price_raw,exit_price,exit_reason,gross_pnl_before_slippage,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,total_transaction_cost,cost_accounting_error,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation,dynamic_stop_activated,dynamic_stop_activated_at
1,tpo_value_edge_auction_rejection,2011-08-15,short,tpo_vah_or_rejection,vah_short_rejection,developing_completed_bar_tpo,72,1191.0,1194.5,1187.25,1190.875,1193.5,1185.5,VAH,ORH,1193.5,1194.5,1.0,1.0,0.1111111111111111,1.15,0.4782608695652174,1187.25,1190.875,1.25,2011-08-15 10:43:00-04:00,2011-08-15 10:43:00-04:00,11:00:00,2011-08-15 10:42:00-04:00,,2011-08-15 10:43:00-04:00,1193.0,1193.0,1195.0,1187.25,2.0,1,0.75,2.0,1191.75,fixed_contracts,2011-08-15 10:54:00-04:00,1195.0,1195.0,stop,-100.0,-100.0,-105.0,-1.0,5.0,0.0,5.0,0.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False,,
2,tpo_value_edge_auction_rejection,2011-09-09,short,tpo_vah_or_rejection,vah_short_rejection,developing_completed_bar_tpo,73,1169.5,1171.0,1167.0,1169.0,1173.5,1164.0,VAH,ORH,1171.0,1173.5,2.5,1.0,0.0,1.0,0.5789473684210527,1167.0,1169.0,1.25,2011-09-09 10:44:00-04:00,2011-09-09 10:44:00-04:00,11:00:00,2011-09-09 10:43:00-04:00,,2011-09-09 10:44:00-04:00,1173.0,1173.0,1174.0,1167.0,1.0,1,1.5,1.0,1171.75,fixed_contracts,2011-09-09 10:49:00-04:00,1174.0,1174.0,stop,-50.0,-50.0,-55.0,-1.0,5.0,0.0,5.0,0.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False,,
3,tpo_value_edge_auction_rejection,2011-09-20,short,tpo_vah_or_rejection,vah_short_rejection,developing_completed_bar_tpo,59,1200.5,1204.0,1197.75,1200.875,1204.25,1194.5,VAH,ORH,1204.0,1204.25,0.25,1.0,0.3333333333333333,1.1025641025641026,0.5581395348837209,1197.75,1200.875,1.25,2011-09-20 10:30:00-04:00,2011-09-20 10:30:00-04:00,11:00:00,2011-09-20 10:29:00-04:00,,2011-09-20 10:30:00-04:00,1204.25,1204.25,1204.75,1197.75,0.5,1,0.75,0.5,1203.0,fixed_contracts,2011-09-20 10:30:00-04:00,1204.75,1204.75,stop,-25.0,-25.0,-30.0,-1.0,5.0,0.0,5.0,0.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False,,
4,tpo_value_edge_auction_rejection,2011-09-22,short,tpo_vah_or_rejection,vah_short_rejection,developing_completed_bar_tpo,80,1129.5,1133.75,1126.5,1130.125,1132.75,1120.5,VAH,ORH,1132.75,1133.75,1.0,1.0,0.0,1.0,0.5806451612903226,1126.5,1130.125,1.25,2011-09-22 10:51:00-04:00,2011-09-22 10:51:00-04:00,11:00:00,2011-09-22 10:50:00-04:00,,2011-09-22 10:51:00-04:00,1129.5,1129.5,1134.25,1124.75,4.75,1,3.25,1.75,,fixed_contracts,2011-09-22 11:00:00-04:00,1126.75,1126.75,eod_flatten,137.5,137.5,132.5,0.5789473684210527,5.0,0.0,5.0,0.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False,,
5,tpo_value_edge_auction_rejection,2011-09-23,short,tpo_vah_or_rejection,vah_short_rejection,developing_completed_bar_tpo,83,1120.75,1125.5,1118.75,1122.125,1128.5,1113.75,VAH,ORH,1125.5,1128.5,3.0,1.0,0.42857142857142855,1.0847457627118644,0.4375,1118.75,1122.125,1.25,2011-09-23 10:54:00-04:00,2011-09-23 10:54:00-04:00,11:00:00,2011-09-23 10:53:00-04:00,,2011-09-23 10:54:00-04:00,1128.5,1128.5,1129.0,1118.75,0.5,1,0.25,0.5,1127.25,fixed_contracts,2011-09-23 10:54:00-04:00,1129.0,1129.0,stop,-25.0,-25.0,-30.0,-1.0,5.0,0.0,5.0,0.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False,,
6,tpo_value_edge_auction_rejection,2011-09-27,short,tpo_vah_or_rejection,vah_short_rejection,developing_completed_bar_tpo,82,1181.75,1182.75,1178.75,1180.75,1184.0,1176.0,VAH,ORH,1182.75,1184.0,1.25,1.0,0.25,1.0,0.5897435897435898,1178.75,1180.75,1.25,2011-09-27 10:53:00-04:00,2011-09-27 10:53:00-04:00,11:00:00,2011-09-27 10:52:00-04:00,,2011-09-27 10:53:00-04:00,1182.75,1182.75,1184.5,1178.75,1.75,1,0.0,1.75,1181.5,fixed_contracts,2011-09-27 10:56:00-04:00,1184.5,1184.5,stop,-87.5,-87.5,-92.5,-1.0,5.0,0.0,5.0,0.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False,,
7,tpo_value_edge_auction_rejection,2011-10-06,short,tpo_vah_or_rejection,vah_short_rejection,developing_completed_bar_tpo,45,1136.75,1140.0,1133.25,1136.625,1140.0,1129.0,VAH,ORH,1140.0,1140.0,0.0,1.0,0.2,1.0909090909090908,0.6458333333333334,1133.25,1136.625,1.25,2011-10-06 10:16:00-04:00,2011-10-06 10:16:00-04:00,11:00:00,2011-10-06 10:15:00-04:00,,2011-10-06 10:16:00-04:00,1139.5,1139.5,1140.5,1133.25,1.0,1,1.25,1.0,1138.25,fixed_contracts,2011-10-06 10:20:00-04:00,1140.5,1140.5,stop,-50.0,-50.0,-55.0,-1.0,5.0,0.0,5.0,0.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False,,
8,tpo_value_edge_auction_rejection,2011-10-20,short,tpo_vah_or_rejection,vah_short_rejection,developing_completed_bar_tpo,47,1207.75,1208.75,1204.5,1206.625,1209.75,1203.0,VAH,ORH,1208.75,1209.75,1.0,1.0,0.16666666666666666,1.0555555555555556,0.5,1204.5,1206.625,1.25,2011-10-20 10:18:00-04:00,2011-10-20 10:18:00-04:00,11:00:00,2011-10-20 10:17:00-04:00,,2011-10-20 10:18:00-04:00,1209.5,1209.5,1210.25,1204.5,0.75,1,0.0,0.75,1208.25,fixed_contracts,2011-10-20 10:18:00-04:00,1210.25,1210.25,stop,-37.5,-37.5,-42.5,-1.0,5.0,0.0,5.0,0.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False,,
9,tpo_value_edge_auction_rejection,2011-10-24,short,tpo_vah_or_rejection,vah_short_rejection,developing_completed_bar_tpo,44,1240.0,1242.5,1239.5,1241.0,1243.0,1235.0,VAH,ORH,1242.5,1243.0,0.5,1.0,0.25,1.09375,0.5714285714285714,1239.5,1241.0,1.25,2011-10-24 10:15:00-04:00,2011-10-24 10:15:00-04:00,11:00:00,2011-10-24 10:14:00-04:00,,2011-10-24 10:15:00-04:00,1243.0,1243.0,1243.5,1239.5,0.5,1,0.25,0.5,1241.75,fixed_contracts,2011-10-24 10:15:00-04:00,1243.5,1243.5,stop,-25.0,-25.0,-30.0,-1.0,5.0,0.0,5.0,0.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False,,
10,tpo_value_edge_auction_rejection,2011-10-28,short,tpo_vah_or_rejection,vah_short_rejection,developing_completed_bar_tpo,68,1276.5,1277.25,1274.25,1275.75,1279.25,1272.75,VAH,ORH,1277.25,1279.25,2.0,1.0,0.2,1.1538461538461537,0.5,1274.25,1275.75,1.25,2011-10-28 10:39:00-04:00,2011-10-28 10:39:00-04:00,11:00:00,2011-10-28 10:38:00-04:00,,2011-10-28 10:39:00-04:00,1279.5,1279.5,1279.75,1274.25,0.25,1,0.5,0.25,1278.25,fixed_contracts,2011-10-28 10:39:00-04:00,1279.75,1279.75,stop,-12.5,-12.5,-17.5,-1.0,5.0,0.0,5.0,0.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False,,
