DATE,OPEN,HIGH,LOW,CLOSE
01/03/2006,23.5,23.5,23.5,23.5
01/04/2006,24.33,24.33,24.33,24.33
01/05/2006,23.55,23.55,23.55,23.55
01/06/2006,22.86,22.86,22.86,22.86
01/09/2006,21.97,21.97,21.97,21.97
01/10/2006,20.85,20.85,20.85,20.85
01/11/2006,20.77,20.77,20.77,20.77
01/12/2006,20.57,20.57,20.57,20.57
01/13/2006,21.24,21.24,21.24,21.24
01/17/2006,22.58,22.58,22.58,22.58
01/18/2006,22.9,22.9,22.9,22.9
01/19/2006,21.44,21.44,21.44,21.44
01/20/2006,28.14,28.14,28.14,28.14
01/23/2006,26.8,26.8,26.8,26.8
01/24/2006,25.31,25.31,25.31,25.31
01/25/2006,25.29,25.29,25.29,25.29
01/26/2006,24.81,24.81,24.81,24.81
01/27/2006,24.4,24.4,24.4,24.4
01/30/2006,25.33,25.33,25.33,25.33
01/31/2006,24.89,24.89,24.89,24.89
02/01/2006,26.03,26.03,26.03,26.03
02/02/2006,29.22,29.22,29.22,29.22
02/03/2006,27.74,27.74,27.74,27.74
02/06/2006,24.83,24.83,24.83,24.83
02/07/2006,27.71,27.71,27.71,27.71
02/08/2006,25.44,25.44,25.44,25.44
02/09/2006,27.03,27.03,27.03,27.03
02/10/2006,26.86,26.86,26.86,26.86
02/13/2006,27.75,27.75,27.75,27.75
02/14/2006,25.54,25.54,25.54,25.54
02/15/2006,24.19,24.19,24.19,24.19
02/16/2006,22.1,22.1,22.1,22.1
02/17/2006,24.71,24.71,24.71,24.71
02/21/2006,26.17,26.17,26.17,26.17
02/22/2006,25.88,25.88,25.88,25.88
02/23/2006,26.03,26.03,26.03,26.03
02/24/2006,25.42,25.42,25.42,25.42
02/27/2006,25.56,25.56,25.56,25.56
02/28/2006,29.82,29.82,29.82,29.82
03/01/2006,24.64,24.64,24.64,24.64
03/02/2006,25.74,25.74,25.74,25.74
03/03/2006,27.76,27.76,27.76,27.76
03/06/2006,30.57,30.57,30.57,30.57
03/07/2006,31.03,31.03,31.03,31.03
03/08/2006,29.94,29.94,29.94,29.94
03/09/2006,31.72,31.72,31.72,31.72
03/10/2006,28.75,28.75,28.75,28.75
