Cboe Volume and Put/Call Ratio data is provided for informational purposes only. The volume data reflected below may be based upon preliminary reported volume rather than cleared volume. Cboe makes no guarantee as to the accuracy of the data. Your use of Cboe Volume and Put/Call Ratio data is subject to the�Terms and Conditions�of the Cboe Websites.,,,,
Index P/C Ratios,,,,
Trade_date,Call,Put,Total,P/C Ratio
10/17/2003,134785,270102,404887,2
10/20/2003,110019,120439,230458,1.09
10/21/2003,125388,159054,284442,1.27
10/22/2003,122259,231406,353665,1.89
10/23/2003,86575,138675,225250,1.6
10/24/2003,123056,183230,306286,1.49
10/27/2003,76810,105423,182233,1.37
10/28/2003,149146,157514,306660,1.06
10/29/2003,116039,106728,222767,0.92
10/30/2003,97951,145896,243847,1.49
10/31/2003,86560,143092,229652,1.65
11/3/2003,137879,177315,315194,1.29
11/4/2003,86700,124310,211010,1.43
11/5/2003,89603,140662,230265,1.57
11/6/2003,120642,175800,296442,1.46
11/7/2003,101311,187180,288491,1.85
11/10/2003,82980,130443,213423,1.57
11/11/2003,89307,187646,276953,2.1
11/12/2003,109708,154215,263923,1.41
11/13/2003,111442,176554,287996,1.58
11/14/2003,122824,179625,302449,1.46
11/17/2003,177267,270481,447748,1.53
11/18/2003,176808,209303,386111,1.18
11/19/2003,225563,254269,479832,1.13
11/20/2003,296911,325572,622483,1.1
11/21/2003,162962,227786,390748,1.4
11/24/2003,123635,170080,293715,1.38
11/25/2003,142426,166273,308699,1.17
11/26/2003,84186,143051,227237,1.7
11/28/2003,51140,65321,116461,1.28
12/1/2003,162526,215623,378149,1.33
12/2/2003,133669,209190,342859,1.56
12/3/2003,135485,189668,325153,1.4
12/4/2003,97605,158264,255869,1.62
12/5/2003,89445,155274,244719,1.74
12/9/2003,158683,219007,377690,1.38
12/8/2003,103387,197225,300612,1.91
12/10/2003,120195,175243,295438,1.46
12/11/2003,177196,217512,394708,1.23
12/12/2003,171585,255705,427290,1.49
12/15/2003,246929,274187,521116,1.11
12/16/2003,179100,241150,420250,1.35
12/17/2003,177900,244314,422214,1.37
12/18/2003,417612,363051,780663,0.87
12/19/2003,197453,310471,507924,1.57
12/22/2003,88536,290201,378737,3.28
12/23/2003,94889,159860,254749,1.68
12/24/2003,23748,74160,97908,3.12
12/26/2003,18282,53168,71450,2.91
12/29/2003,148169,161103,309272,1.09
12/30/2003,103034,187525,290559,1.82
12/31/2003,96249,285095,381344,2.96
1/2/2004,104506,202793,307299,1.94
1/5/2004,173455,249311,422766,1.44
1/6/2004,130708,219917,350625,1.68
1/7/2004,147532,245815,393347,1.67
1/8/2004,190103,252740,442843,1.33
1/9/2004,172937,302049,474986,1.75
1/12/2004,152566,253693,406259,1.66
1/13/2004,249237,266363,515600,1.07
1/14/2004,239148,272415,511563,1.14
1/15/2004,300702,317611,618313,1.06
1/16/2004,172955,337843,510798,1.95
1/20/2004,131868,160472,292340,1.22
1/21/2004,125059,258543,383602,2.07
1/22/2004,102720,230597,333317,2.24
1/23/2004,96202,208957,305159,2.17
1/26/2004,107590,131611,239201,1.22
1/27/2004,108285,244761,353046,2.26
1/28/2004,139283,264067,403350,1.9
1/29/2004,124091,225259,349350,1.82
1/30/2004,122369,158787,281156,1.3
2/2/2004,93002,141056,234058,1.52
2/3/2004,75253,129385,204638,1.72
2/4/2004,97978,198732,296710,2.03
2/5/2004,103436,140353,243789,1.36
2/6/2004,117750,203003,320753,1.72
2/9/2004,75899,119351,195250,1.57
2/10/2004,103863,132899,236762,1.28
2/11/2004,173464,206868,380332,1.19
2/12/2004,95488,154084,249572,1.61
2/13/2004,133854,211958,345812,1.58
2/17/2004,139413,168291,307704,1.21
2/18/2004,175654,235140,410794,1.34
2/19/2004,288970,330032,619002,1.14
2/20/2004,178598,360781,539379,2.02
2/23/2004,115030,183939,298969,1.6
2/24/2004,108201,160919,269120,1.49
2/25/2004,76886,149798,226684,1.95
