session_date,observation_date,equity_pc_ratio,index_pc_ratio,total_pc_ratio,equity_call_volume,equity_put_volume,index_call_volume,index_put_volume,total_call_volume,total_put_volume,equity_pc_change_1d,index_pc_change_1d,total_pc_change_1d,equity_pc_change_5d,index_pc_change_5d,total_pc_change_5d,index_minus_equity_pc,total_minus_equity_pc,equity_pc_ratio_rank_252,index_pc_ratio_rank_252,total_pc_ratio_rank_252,equity_pc_change_1d_rank_252,index_pc_change_1d_rank_252,total_pc_change_1d_rank_252,equity_pc_change_5d_rank_252,index_pc_change_5d_rank_252,total_pc_change_5d_rank_252,index_minus_equity_pc_rank_252,total_minus_equity_pc_rank_252
2011-01-03,2010-12-31,0.7,1.41,0.97,723226.0,506202.0,403820.0,568744.0,1152810.0,1117574.0,0.17999999999999994,0.06999999999999984,0.22999999999999998,,,,0.71,0.27,,,,,,,,,,,
2011-01-05,2011-01-04,0.43,1.04,0.63,1852845.0,791707.0,886527.0,921724.0,2782914.0,1750171.0,-0.26999999999999996,-0.3699999999999999,-0.33999999999999997,,,,0.6100000000000001,0.2,,,,,,,,,,,
2011-01-07,2011-01-06,0.46,1.29,0.71,2137332.0,982089.0,885140.0,1140528.0,3083030.0,2192696.0,0.030000000000000027,0.25,0.07999999999999996,,,,0.8300000000000001,0.24999999999999994,,,,,,,,,,,
2011-01-10,2011-01-07,0.5,1.86,0.87,1936157.0,971971.0,757063.0,1404669.0,2727605.0,2380489.0,0.03999999999999998,0.5700000000000001,0.16000000000000003,-0.050000000000000044,0.51,0.10999999999999999,1.36,0.37,,,,,,,,,,,
2011-01-11,2011-01-10,0.54,1.24,0.78,1428669.0,773350.0,698502.0,865141.0,2145607.0,1669642.0,0.040000000000000036,-0.6200000000000001,-0.08999999999999997,0.020000000000000018,-0.10000000000000009,0.040000000000000036,0.7,0.24,,,,,,,,,,,
2011-01-12,2011-01-11,0.53,1.43,0.83,1598298.0,841165.0,757971.0,1084357.0,2382716.0,1976117.0,-0.010000000000000009,0.18999999999999995,0.04999999999999993,-0.16999999999999993,0.020000000000000018,-0.14,0.8999999999999999,0.29999999999999993,,,,,,,,,,,
2011-01-13,2011-01-12,0.45,1.43,0.81,1865045.0,831412.0,1024945.0,1462466.0,2927236.0,2379940.0,-0.08000000000000002,0.0,-0.019999999999999907,0.020000000000000018,0.3899999999999999,0.18000000000000005,0.98,0.36000000000000004,,,,,,,,,,,
2011-01-14,2011-01-13,0.5,1.17,0.7,2037009.0,1018399.0,884217.0,1031002.0,2945586.0,2075288.0,0.04999999999999999,-0.26,-0.1100000000000001,0.03999999999999998,-0.1200000000000001,-0.010000000000000009,0.6699999999999999,0.19999999999999996,,,,,,,,,,,
2011-01-18,2011-01-14,0.37,1.06,0.58,2723031.0,1004895.0,1068806.0,1128051.0,3829545.0,2207222.0,-0.13,-0.10999999999999988,-0.12,-0.13,-0.8,-0.29000000000000004,0.6900000000000001,0.20999999999999996,,,,,,,,,,,
2011-01-19,2011-01-18,0.44,1.25,0.71,2318032.0,1016110.0,1091763.0,1366779.0,3452294.0,2440940.0,0.07,0.18999999999999995,0.13,-0.10000000000000003,0.010000000000000009,-0.07000000000000006,0.81,0.26999999999999996,,,,,,,,,,,
2011-01-20,2011-01-19,0.47,1.37,0.82,2358646.0,1113296.0,1388756.0,1898914.0,3769319.0,3097741.0,0.02999999999999997,0.1200000000000001,0.10999999999999999,-0.06000000000000005,-0.05999999999999983,-0.010000000000000009,0.9000000000000001,0.35,,,,,,,,,,,
2011-01-21,2011-01-20,0.67,1.35,0.91,2151593.0,1432848.0,1144636.0,1550232.0,3371776.0,3075061.0,0.20000000000000007,-0.020000000000000018,0.09000000000000008,0.22000000000000003,-0.07999999999999985,0.09999999999999998,0.68,0.24,,,,,,,,,,,
2011-01-24,2011-01-21,0.55,1.36,0.79,2466693.0,1348891.0,950693.0,1295545.0,3500453.0,2770037.0,-0.12,0.010000000000000009,-0.12,0.050000000000000044,0.19000000000000017,0.09000000000000008,0.81,0.24,,,,,,,,,,,
2011-01-25,2011-01-24,0.51,1.34,0.73,1785184.0,915357.0,628988.0,845667.0,2450958.0,1783728.0,-0.040000000000000036,-0.020000000000000018,-0.06000000000000005,0.14,0.28,0.15000000000000002,0.8300000000000001,0.21999999999999997,,,,,,,,,,,
2011-01-26,2011-01-25,0.63,1.65,0.92,1695217.0,1072077.0,666352.0,1096251.0,2381845.0,2189290.0,0.12,0.30999999999999983,0.19000000000000006,0.19,0.3999999999999999,0.21000000000000008,1.02,0.29000000000000004,,,,,,,,,,,
2011-01-27,2011-01-26,0.58,1.56,0.9,1598700.0,919412.0,778096.0,1210846.0,2399007.0,2170980.0,-0.050000000000000044,-0.08999999999999986,-0.020000000000000018,0.10999999999999999,0.18999999999999995,0.08000000000000007,0.9800000000000001,0.32000000000000006,,,,,,,,,,,
2011-01-28,2011-01-27,0.56,2.02,1.0,1571963.0,877881.0,685645.0,1381865.0,2284138.0,2278889.0,-0.019999999999999907,0.45999999999999996,0.09999999999999998,-0.10999999999999999,0.6699999999999999,0.08999999999999997,1.46,0.43999999999999995,,,,,,,,,,,
2011-01-31,2011-01-28,0.65,1.61,1.05,1707963.0,1114679.0,1183388.0,1911160.0,2942628.0,3081294.0,0.08999999999999997,-0.4099999999999999,0.050000000000000044,0.09999999999999998,0.25,0.26,0.9600000000000001,0.4,,,,,,,,,,,
2011-02-01,2011-01-31,0.61,1.72,1.0,1370723.0,837545.0,693862.0,1195595.0,2112462.0,2102362.0,-0.040000000000000036,0.10999999999999988,-0.050000000000000044,0.09999999999999998,0.3799999999999999,0.27,1.1099999999999999,0.39,,,,,,,,,,,
2011-02-02,2011-02-01,0.49,1.22,0.8,1844674.0,904381.0,1177659.0,1441828.0,3081086.0,2464665.0,-0.12,-0.5,-0.19999999999999996,-0.14,-0.42999999999999994,-0.12,0.73,0.31000000000000005,,,,,,,,,,,
2011-02-03,2011-02-02,0.45,1.6,0.75,1711054.0,778446.0,531845.0,852391.0,2281641.0,1715456.0,-0.03999999999999998,0.3800000000000001,-0.050000000000000044,-0.12999999999999995,0.040000000000000036,-0.15000000000000002,1.1500000000000001,0.3,,,,,,,,,,,
2011-02-04,2011-02-03,0.58,1.45,0.86,1609801.0,937466.0,701369.0,1018871.0,2350966.0,2025414.0,0.12999999999999995,-0.15000000000000013,0.10999999999999999,0.019999999999999907,-0.5700000000000001,-0.14,0.87,0.28,,,,,,,,,,,
2011-02-07,2011-02-04,0.64,1.23,0.87,1455715.0,934249.0,845401.0,1043750.0,2330053.0,2038106.0,0.06000000000000005,-0.21999999999999997,0.010000000000000009,-0.010000000000000009,-0.3800000000000001,-0.18000000000000005,0.59,0.22999999999999998,,,,,,,,,,,
2011-02-08,2011-02-07,0.46,1.44,0.79,1695546.0,774393.0,859929.0,1238159.0,2608190.0,2053193.0,-0.18,0.20999999999999996,-0.07999999999999996,-0.14999999999999997,-0.28,-0.20999999999999996,0.98,0.33,,,,,,,,,,,
2011-02-09,2011-02-08,0.52,1.41,0.81,1472659.0,762444.0,703321.0,989321.0,2222308.0,1791284.0,0.06,-0.030000000000000027,0.020000000000000018,0.030000000000000027,0.18999999999999995,0.010000000000000009,0.8899999999999999,0.29000000000000004,,,,,,,,,,,
