session_date,overnight_start,overnight_end,overnight_open,overnight_high,overnight_low,overnight_close,overnight_range_points,overnight_midpoint,overnight_return_points,overnight_volume,overnight_bars,overnight_range_rank_252,overnight_range_mean_252_prior,overnight_range_median_252_prior
2011-01-03,2011-01-02 18:00:00-05:00,2011-01-03 09:29:00-05:00,1256.0,1264.25,1255.25,1263.25,9.0,1259.75,7.25,179981,905,0.3333333333333333,10.946308724832214,10.5
2011-01-04,2011-01-03 18:00:00-05:00,2011-01-04 09:29:00-05:00,1265.25,1270.0,1264.5,1269.75,5.5,1267.25,4.5,161040,908,0.09933774834437085,10.933333333333334,10.5
2011-01-05,2011-01-04 18:00:00-05:00,2011-01-05 09:29:00-05:00,1265.0,1265.25,1255.75,1262.0,9.5,1260.5,-3.0,322161,896,0.40789473684210525,10.897350993377483,10.5
2011-01-06,2011-01-05 18:00:00-05:00,2011-01-06 09:29:00-05:00,1271.0,1277.0,1270.5,1273.0,6.5,1273.75,2.0,211270,909,0.1568627450980392,10.888157894736842,10.5
2011-01-07,2011-01-06 18:00:00-05:00,2011-01-07 09:29:00-05:00,1269.5,1272.75,1264.5,1272.0,8.25,1268.625,2.5,385390,912,0.2792207792207792,10.859477124183007,10.5
2011-01-10,2011-01-09 18:00:00-05:00,2011-01-10 09:29:00-05:00,1266.25,1268.0,1259.0,1262.0,9.0,1263.5,-4.25,204288,907,0.34838709677419355,10.842532467532468,10.375
2011-01-11,2011-01-10 18:00:00-05:00,2011-01-11 09:29:00-05:00,1265.5,1272.5,1264.0,1270.5,8.5,1268.25,5.0,195753,917,0.30128205128205127,10.830645161290322,10.25
2011-01-12,2011-01-11 18:00:00-05:00,2011-01-12 09:29:00-05:00,1269.5,1280.25,1269.25,1278.5,11.0,1274.75,9.0,241649,879,0.5987261146496815,10.815705128205128,10.25
2011-01-13,2011-01-12 18:00:00-05:00,2011-01-13 09:29:00-05:00,1282.75,1284.5,1280.25,1282.5,4.25,1282.375,-0.25,208059,886,0.04430379746835443,10.816878980891719,10.25
2011-01-14,2011-01-13 18:00:00-05:00,2011-01-14 09:29:00-05:00,1284.0,1284.0,1274.25,1278.0,9.75,1279.125,-6.0,263635,921,0.4528301886792453,10.775316455696203,10.25
2011-01-17,2011-01-16 18:00:00-05:00,2011-01-17 09:29:00-05:00,1289.5,1291.5,1282.75,1284.0,8.75,1287.125,-5.5,132693,896,0.325,10.768867924528301,10.25
2011-01-18,2011-01-17 18:00:00-05:00,2011-01-18 09:29:00-05:00,1285.5,1293.0,1284.0,1287.75,9.0,1288.5,2.25,238373,914,0.36024844720496896,10.75625,10.25
2011-01-19,2011-01-18 18:00:00-05:00,2011-01-19 09:29:00-05:00,1293.5,1296.25,1289.0,1290.25,7.25,1292.625,-3.25,231439,907,0.19135802469135801,10.745341614906833,10.25
2011-01-20,2011-01-19 18:00:00-05:00,2011-01-20 09:29:00-05:00,1278.0,1281.5,1273.5,1275.75,8.0,1277.5,-2.25,361038,922,0.25153374233128833,10.723765432098766,10.25
2011-01-21,2011-01-20 18:00:00-05:00,2011-01-21 09:29:00-05:00,1277.25,1286.25,1273.25,1285.25,13.0,1279.75,8.0,371859,928,0.7560975609756098,10.707055214723926,10.25
2011-01-24,2011-01-23 18:00:00-05:00,2011-01-24 09:29:00-05:00,1279.5,1285.25,1277.75,1279.0,7.5,1281.5,-0.5,180129,925,0.21212121212121213,10.721036585365853,10.25
2011-01-25,2011-01-24 18:00:00-05:00,2011-01-25 09:29:00-05:00,1288.0,1291.75,1281.75,1283.75,10.0,1286.75,-4.25,241680,909,0.5,10.701515151515151,10.25
2011-01-26,2011-01-25 18:00:00-05:00,2011-01-26 09:29:00-05:00,1287.5,1294.5,1286.0,1291.0,8.5,1290.25,3.5,178094,928,0.31137724550898205,10.697289156626505,10.125
2011-01-27,2011-01-26 18:00:00-05:00,2011-01-27 09:29:00-05:00,1292.75,1296.5,1289.25,1293.25,7.25,1292.875,0.5,293028,898,0.19047619047619047,10.684131736526947,10.0
2011-01-28,2011-01-27 18:00:00-05:00,2011-01-28 09:29:00-05:00,1294.5,1298.5,1290.25,1297.25,8.25,1294.375,2.75,241633,923,0.28994082840236685,10.663690476190476,10.0
2011-01-31,2011-01-30 18:00:00-05:00,2011-01-31 09:29:00-05:00,1269.5,1278.0,1262.25,1276.5,15.75,1270.125,7.0,353509,929,0.9117647058823529,10.649408284023668,10.0
2011-02-01,2011-01-31 18:00:00-05:00,2011-02-01 09:29:00-05:00,1282.0,1291.25,1281.25,1290.5,10.0,1286.25,8.5,236585,927,0.5087719298245614,10.679411764705883,10.0
2011-02-02,2011-02-01 18:00:00-05:00,2011-02-02 09:29:00-05:00,1302.5,1305.5,1298.0,1300.0,7.5,1301.75,-2.5,267599,912,0.21511627906976744,10.675438596491228,10.0
2011-02-03,2011-02-02 18:00:00-05:00,2011-02-03 09:29:00-05:00,1300.25,1301.75,1295.75,1298.5,6.0,1298.75,-1.75,190297,869,0.12716763005780346,10.656976744186046,10.0
2011-02-04,2011-02-03 18:00:00-05:00,2011-02-04 09:29:00-05:00,1303.5,1308.5,1300.75,1304.25,7.75,1304.625,0.75,273029,890,0.25287356321839083,10.630057803468208,10.0
2011-02-07,2011-02-06 18:00:00-05:00,2011-02-07 09:29:00-05:00,1307.25,1313.75,1306.0,1310.5,7.75,1309.875,3.25,185914,930,0.2571428571428571,10.613505747126437,10.0
2011-02-08,2011-02-07 18:00:00-05:00,2011-02-08 09:29:00-05:00,1314.75,1319.75,1314.0,1316.75,5.75,1316.875,2.0,195217,913,0.125,10.597142857142858,10.0
2011-02-09,2011-02-08 18:00:00-05:00,2011-02-09 09:29:00-05:00,1321.5,1322.0,1316.0,1317.75,6.0,1319.0,-3.75,192873,924,0.13559322033898305,10.569602272727273,10.0
2011-02-10,2011-02-09 18:00:00-05:00,2011-02-10 09:29:00-05:00,1317.5,1320.25,1310.0,1311.75,10.25,1315.125,-5.75,296246,927,0.550561797752809,10.543785310734464,10.0
2011-02-11,2011-02-10 18:00:00-05:00,2011-02-11 09:29:00-05:00,1314.75,1316.0,1310.0,1313.75,6.0,1313.0,-1.0,209305,930,0.13966480446927373,10.542134831460674,10.0
2011-02-14,2011-02-13 18:00:00-05:00,2011-02-14 09:29:00-05:00,1326.0,1330.5,1325.0,1326.0,5.5,1327.75,0.0,159794,923,0.09444444444444444,10.516759776536313,10.0
2011-02-15,2011-02-14 18:00:00-05:00,2011-02-15 09:29:00-05:00,1326.0,1329.25,1324.25,1326.0,5.0,1326.75,0.0,208630,922,0.055248618784530384,10.488888888888889,10.0
2011-02-16,2011-02-15 18:00:00-05:00,2011-02-16 09:29:00-05:00,1326.25,1332.75,1326.0,1330.25,6.75,1329.375,4.0,197909,913,0.18681318681318682,10.458563535911603,10.0
2011-02-17,2011-02-16 18:00:00-05:00,2011-02-17 09:29:00-05:00,1332.5,1333.25,1328.5,1330.25,4.75,1330.875,-2.25,217966,889,0.0546448087431694,10.438186813186814,10.0
2011-02-18,2011-02-17 18:00:00-05:00,2011-02-18 09:29:00-05:00,1336.75,1339.75,1335.0,1339.5,4.75,1337.375,2.75,162820,887,0.059782608695652176,10.407103825136613,10.0
2011-02-21,2011-02-20 18:00:00-05:00,2011-02-21 09:29:00-05:00,1342.25,1342.5,1337.5,1338.5,5.0,1340.0,-3.75,135474,914,0.07027027027027027,10.376358695652174,9.875
2011-02-22,2011-02-21 18:00:00-05:00,2011-02-22 09:29:00-05:00,1328.5,1330.25,1320.0,1326.75,10.25,1325.125,-1.75,415198,929,0.5698924731182796,10.347297297297297,9.75
2011-02-23,2011-02-22 18:00:00-05:00,2011-02-23 09:29:00-05:00,1312.5,1320.5,1312.25,1313.25,8.25,1316.375,0.75,328114,929,0.33689839572192515,10.346774193548388,9.875
2011-02-24,2011-02-23 18:00:00-05:00,2011-02-24 09:29:00-05:00,1307.0,1310.75,1293.5,1304.5,17.25,1302.125,-2.5,562974,924,0.9521276595744681,10.335561497326204,9.75
2011-02-25,2011-02-24 18:00:00-05:00,2011-02-25 09:29:00-05:00,1303.25,1313.25,1303.25,1310.5,10.0,1308.25,7.25,304363,926,0.5396825396825397,10.372340425531915,9.875
2011-02-28,2011-02-27 18:00:00-05:00,2011-02-28 09:29:00-05:00,1318.25,1326.25,1313.0,1323.75,13.25,1319.625,5.5,349648,924,0.7842105263157895,10.37037037037037,10.0
2011-03-01,2011-02-28 18:00:00-05:00,2011-03-01 09:29:00-05:00,1326.5,1336.5,1326.25,1331.25,10.25,1331.375,4.75,296953,915,0.5706806282722513,10.385526315789473,10.0
2011-03-02,2011-03-01 18:00:00-05:00,2011-03-02 09:29:00-05:00,1297.75,1305.75,1296.25,1302.75,9.5,1301.0,5.0,422029,928,0.46875,10.384816753926701,10.0
2011-03-03,2011-03-02 18:00:00-05:00,2011-03-03 09:29:00-05:00,1305.5,1321.0,1305.0,1319.5,16.0,1313.0,14.0,387552,917,0.927461139896373,10.380208333333334,10.0
2011-03-04,2011-03-03 18:00:00-05:00,2011-03-04 09:29:00-05:00,1329.75,1334.5,1326.75,1329.25,7.75,1330.625,-0.5,385391,914,0.28350515463917525,10.409326424870466,10.0
