session_date,overnight_start,overnight_end,overnight_open,overnight_high,overnight_low,overnight_close,overnight_range_points,overnight_midpoint,overnight_return_points,overnight_volume,overnight_bars,overnight_range_rank_252,overnight_range_mean_252_prior,overnight_range_median_252_prior
2011-01-03,2011-01-02T18:00:00-05:00,2011-01-03T09:29:00-05:00,2220.0,2241.25,2219.25,2238.0,22.0,2230.25,18.0,24090,724,0.7133333333333334,18.79194630872483,17.75
2011-01-04,2011-01-03T18:00:00-05:00,2011-01-04T09:29:00-05:00,2251.25,2262.5,2249.0,2261.5,13.5,2255.75,10.25,20039,691,0.2582781456953642,18.813333333333333,17.875
2011-01-05,2011-01-04T18:00:00-05:00,2011-01-05T09:29:00-05:00,2245.75,2246.25,2229.5,2244.0,16.75,2237.875,-1.75,33137,724,0.41118421052631576,18.778145695364238,17.75
2011-01-06,2011-01-05T18:00:00-05:00,2011-01-06T09:29:00-05:00,2270.0,2279.25,2269.0,2271.5,10.25,2274.125,1.5,17663,699,0.1111111111111111,18.76480263157895,17.75
2011-01-07,2011-01-06T18:00:00-05:00,2011-01-07T09:29:00-05:00,2275.75,2282.25,2267.75,2281.0,14.5,2275.0,5.25,34135,698,0.3051948051948052,18.709150326797385,17.75
2011-01-10,2011-01-09T18:00:00-05:00,2011-01-10T09:29:00-05:00,2272.25,2275.75,2260.75,2268.5,15.0,2268.25,-3.75,18772,743,0.33548387096774196,18.681818181818183,17.75
2011-01-11,2011-01-10T18:00:00-05:00,2011-01-11T09:29:00-05:00,2281.75,2295.25,2280.75,2292.0,14.5,2288.0,10.25,21264,720,0.30448717948717946,18.65806451612903,17.75
2011-01-12,2011-01-11T18:00:00-05:00,2011-01-12T09:29:00-05:00,2285.5,2301.5,2284.5,2296.75,17.0,2293.0,11.25,23463,672,0.45222929936305734,18.631410256410255,17.75
2011-01-13,2011-01-12T18:00:00-05:00,2011-01-13T09:29:00-05:00,2303.25,2307.75,2300.5,2304.25,7.25,2304.125,1.0,18008,632,0.04113924050632911,18.621019108280255,17.75
2011-01-14,2011-01-13T18:00:00-05:00,2011-01-14T09:29:00-05:00,2310.0,2310.0,2297.5,2304.0,12.5,2303.75,-6.0,23249,720,0.20754716981132076,18.549050632911392,17.625
2011-01-17,2011-01-16T18:00:00-05:00,2011-01-17T09:29:00-05:00,2321.25,2325.0,2292.75,2296.75,32.25,2308.875,-24.5,27577,722,0.95625,18.511006289308177,17.5
2011-01-18,2011-01-17T18:00:00-05:00,2011-01-18T09:29:00-05:00,2292.25,2323.25,2292.0,2301.5,31.25,2307.625,9.25,37853,836,0.9440993788819876,18.596875,17.625
2011-01-19,2011-01-18T18:00:00-05:00,2011-01-19T09:29:00-05:00,2331.5,2338.75,2326.5,2330.5,12.25,2332.625,-1.0,30430,764,0.19753086419753085,18.675465838509318,17.75
2011-01-20,2011-01-19T18:00:00-05:00,2011-01-20T09:29:00-05:00,2293.5,2299.5,2287.75,2292.5,11.75,2293.625,-1.0,38476,830,0.18098159509202455,18.635802469135804,17.625
2011-01-21,2011-01-20T18:00:00-05:00,2011-01-21T09:29:00-05:00,2285.25,2300.25,2276.5,2295.75,23.75,2288.375,10.5,32488,793,0.7835365853658537,18.59355828220859,17.5
2011-01-24,2011-01-23T18:00:00-05:00,2011-01-24T09:29:00-05:00,2268.75,2278.5,2264.5,2271.25,14.0,2271.5,2.5,19372,794,0.2909090909090909,18.625,17.625
2011-01-25,2011-01-24T18:00:00-05:00,2011-01-25T09:29:00-05:00,2296.75,2303.25,2281.25,2287.25,22.0,2292.25,-9.5,25034,733,0.7198795180722891,18.596969696969698,17.5
2011-01-26,2011-01-25T18:00:00-05:00,2011-01-26T09:29:00-05:00,2300.5,2312.0,2298.0,2305.75,14.0,2305.0,5.25,20863,744,0.2904191616766467,18.617469879518072,17.625
2011-01-27,2011-01-26T18:00:00-05:00,2011-01-27T09:29:00-05:00,2316.75,2325.75,2313.25,2321.0,12.5,2319.5,4.25,22450,713,0.2113095238095238,18.589820359281436,17.5
2011-01-28,2011-01-27T18:00:00-05:00,2011-01-28T09:29:00-05:00,2321.75,2331.0,2316.75,2327.0,14.25,2323.875,5.25,23732,717,0.3106508875739645,18.553571428571427,17.5
2011-01-31,2011-01-30T18:00:00-05:00,2011-01-31T09:29:00-05:00,2265.5,2277.0,2248.5,2271.5,28.5,2262.75,6.0,28993,864,0.9029411764705882,18.52810650887574,17.5
2011-02-01,2011-01-31T18:00:00-05:00,2011-02-01T09:29:00-05:00,2282.0,2297.5,2281.25,2297.0,16.25,2289.375,15.0,25882,809,0.4152046783625731,18.586764705882352,17.5
2011-02-02,2011-02-01T18:00:00-05:00,2011-02-02T09:29:00-05:00,2320.75,2324.0,2312.0,2317.25,12.0,2318.0,-3.5,18140,715,0.18313953488372092,18.573099415204677,17.5
2011-02-03,2011-02-02T18:00:00-05:00,2011-02-03T09:29:00-05:00,2318.75,2320.25,2309.75,2314.5,10.5,2315.0,-4.25,19624,617,0.12138728323699421,18.53488372093023,17.5
2011-02-04,2011-02-03T18:00:00-05:00,2011-02-04T09:29:00-05:00,2322.75,2339.5,2319.25,2322.75,20.25,2329.375,0.0,35314,637,0.646551724137931,18.48843930635838,17.5
2011-02-07,2011-02-06T18:00:00-05:00,2011-02-07T09:29:00-05:00,2337.75,2347.0,2334.5,2340.25,12.5,2340.75,2.5,18490,664,0.21714285714285714,18.498563218390803,17.5
2011-02-08,2011-02-07T18:00:00-05:00,2011-02-08T09:29:00-05:00,2342.5,2353.5,2341.5,2347.0,12.0,2347.5,4.5,26919,668,0.1875,18.464285714285715,17.5
2011-02-09,2011-02-08T18:00:00-05:00,2011-02-09T09:29:00-05:00,2363.0,2363.25,2354.0,2358.0,9.25,2358.625,-5.0,15717,743,0.06779661016949153,18.427556818181817,17.375
2011-02-10,2011-02-09T18:00:00-05:00,2011-02-10T09:29:00-05:00,2350.75,2354.5,2338.25,2345.0,16.25,2346.375,-5.75,35984,779,0.4297752808988764,18.375706214689266,17.25
2011-02-11,2011-02-10T18:00:00-05:00,2011-02-11T09:29:00-05:00,2355.5,2359.5,2347.75,2355.25,11.75,2353.625,-0.25,21457,750,0.1787709497206704,18.36376404494382,17.25
2011-02-14,2011-02-13T18:00:00-05:00,2011-02-14T09:29:00-05:00,2376.25,2382.25,2375.5,2378.25,6.75,2378.875,2.0,15683,717,0.027777777777777776,18.3268156424581,17.25
2011-02-15,2011-02-14T18:00:00-05:00,2011-02-15T09:29:00-05:00,2378.5,2385.5,2375.5,2379.5,10.0,2380.5,1.0,21754,707,0.09668508287292818,18.2625,17.25
2011-02-16,2011-02-15T18:00:00-05:00,2011-02-16T09:29:00-05:00,2380.75,2391.0,2380.75,2387.0,10.25,2385.875,6.25,20280,730,0.11813186813186813,18.21685082872928,17.25
2011-02-17,2011-02-16T18:00:00-05:00,2011-02-17T09:29:00-05:00,2391.75,2394.75,2385.0,2385.5,9.75,2389.875,-6.25,23808,710,0.08743169398907104,18.173076923076923,17.125
2011-02-18,2011-02-17T18:00:00-05:00,2011-02-18T09:29:00-05:00,2393.5,2399.0,2389.75,2396.75,9.25,2394.375,3.25,17287,852,0.07336956521739131,18.12704918032787,17.0
2011-02-21,2011-02-20T18:00:00-05:00,2011-02-21T09:29:00-05:00,2393.5,2394.0,2380.75,2381.5,13.25,2387.375,-12.0,11764,752,0.2891891891891892,18.078804347826086,17.0
2011-02-22,2011-02-21T18:00:00-05:00,2011-02-22T09:29:00-05:00,2368.25,2369.25,2351.5,2360.75,17.75,2360.375,-7.5,42217,823,0.553763440860215,18.052702702702703,17.0
2011-02-23,2011-02-22T18:00:00-05:00,2011-02-23T09:29:00-05:00,2318.0,2334.75,2318.0,2319.75,16.75,2326.375,1.75,33866,809,0.47593582887700536,18.051075268817204,17.0
2011-02-24,2011-02-23T18:00:00-05:00,2011-02-24T09:29:00-05:00,2305.0,2311.75,2280.25,2307.75,31.5,2296.0,2.75,41776,769,0.9521276595744681,18.044117647058822,17.0
2011-02-25,2011-02-24T18:00:00-05:00,2011-02-25T09:29:00-05:00,2312.0,2329.0,2311.25,2326.0,17.75,2320.125,14.0,33704,749,0.5529100529100529,18.1156914893617,17.0
