sha256,size_bytes,reference_count,canonical_source_path,reclaimable_bytes
000096e48dd95a34201ebcfcebd77bc61b8e5d532aeba20cc5f7e8dd43d25e25,16444,2,research/evidence/runs/es_quarterly_expiration_pressure/expiration_friday_midday_long_1200/ES/run1/campaign_test_summary.json,16444
0006af9b2735ca7d15c2fb4ced5ff4872cc899308f7ab226508410b6c04d9391,11162,1,research/evidence/runs/es_prior_session_level_breakout_continuation/morning_prior_low_breakout_short/ES/tp_min_rr_rescue1/effective_config.yaml,0
0006d919881a5ebcd3fae2726a9f4dee5f96c5b3a1b1e565ef97e9fbdbfd57fa,32299,2,research/evidence/runs/nq_connors_rsi2_mean_reversion/fifteen_min_long_uptrend_pullback_1545/NQ/run1/campaign_test_summary.json,32299
0007d282055ee1bb4474372e5bada37c13d90e09b343e80c71f807a75fa0aaca,11196,1,research/evidence/runs/es_semivariance_orderflow_confirmation/low_badvol_signed_multitime_long/ES/run1/effective_config.yaml,0
0008d676d086f02d01177562e42d3328b079575d78d152737ec6d8c35b42dfd7,2959,1,research/evidence/runs/es_prior_session_flip_retest_orderflow/late_morning_large10_absorbed_two_sided_flip/ES/tp_min_rr_rescue1/run_manifest.json,0
0008d76a680e78eaffef12db781116350d615ae6672676f27fedd133f4e3aa84,37,1,research/evidence/runs/nq_max_daily_return_lottery_reversal/high_63d_max_fade_short_1200/NQ/run1/run_uid.txt,0
000ccd01c818d256aec60d63ad4ce8cfec8ac446799cb0af74889e19d072020a,14157,1,research/evidence/runs/es_opening_gap_orderflow_absorption_fade/early_large20_gap_absorption_fade_1000/ES/run1/limited_core_grid_test/stage_result.json,0
000dc5c52719aaee0fae656fff4ceb439dee8ec18339dc364a4ee9ec2631f4bf,9773,1,research/evidence/runs/es_wide_range_orderflow_continuation/morning_signed_range_expansion_long/ES/run1/effective_config.yaml,0
000f8b543afe273269cf3c6601097083aa845f9aa2386d2c1bce536505593648,33546,2,research/evidence/runs/nq_midday_range_orderflow_breakout/late_lunch_1200_1330_large10_breakout_1500/NQ/run1/campaign_test_summary.json,33546
001275a50d504d61c0178664e6a9677da02a18f81232989103b828ca8800a0dc,18238,2,research/evidence/runs/es_range_compression_breakout/nr4_prior_session_breakout/ES/rescue1/campaign_test_summary.json,18238
00176778857d0496ddbaa3cb725c3e6a7f186ff2fb3352b1eb2f8f27ae740d2b,7427,1,research/evidence/runs/es_spx_0dte_trend_aligned_pressure/all_0dte_trend_only_1500/ES/rescue1/source_config.yaml,0
001c3a7ddbd128c1587e7010e673ff8299d8e8a7bd3c52ad8fa13d1a64366291,31404,2,research/evidence/runs/es_emv_macro_news_intraday/high_macro_news_rebound_long_1130/ES/run1/campaign_test_summary.json,31404
0020e70cd6a3d43c2291a95d06a790af3316c994a1d97605c31e8229187c158e,37,1,research/evidence/runs/es_oil_price_shock_spillover/brent_up_global_shock_short_1130/ES/run1/run_uid.txt,0
0024295d59d4a3f3d06808476f04b73dbd43c64d70a9e19276cd914618cf11ab,37,1,research/evidence/runs/es_amihud_illiquidity_price_impact/high_5d_illiq_premium_long_1130/ES/rescue1/run_uid.txt,0
