point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2015-01-16 13:30:00-05:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2015-01-16 15:38:00-05:00,1,-517.5,-517.5,149482.5,150000.0,517.5,0.00345
2,2015-01-20 15:08:00-05:00,2,-530.0,-1047.5,148952.5,150000.0,1047.5,0.006983333333333334
3,2015-01-29 14:33:00-05:00,3,-517.5,-1565.0,148435.0,150000.0,1565.0,0.010433333333333333
4,2015-01-30 14:19:00-05:00,4,-530.0,-2095.0,147905.0,150000.0,2095.0,0.013966666666666667
5,2015-02-02 15:33:00-05:00,5,-517.5,-2612.5,147387.5,150000.0,2612.5,0.017416666666666667
6,2015-02-03 15:50:00-05:00,6,-530.0,-3142.5,146857.5,150000.0,3142.5,0.02095
7,2015-02-05 15:55:00-05:00,7,-242.5,-3385.0,146615.0,150000.0,3385.0,0.022566666666666665
8,2015-02-09 15:55:00-05:00,8,182.5,-3202.5,146797.5,150000.0,3202.5,0.02135
9,2015-02-10 14:59:00-05:00,9,-542.5,-3745.0,146255.0,150000.0,3745.0,0.024966666666666668
10,2015-02-11 15:25:00-05:00,10,-542.5,-4287.5,145712.5,150000.0,4287.5,0.028583333333333332
11,2015-02-12 15:55:00-05:00,11,-155.0,-4442.5,145557.5,150000.0,4442.5,0.029616666666666666
12,2015-02-18 15:55:00-05:00,12,-242.5,-4685.0,145315.0,150000.0,4685.0,0.03123333333333333
13,2015-02-19 15:55:00-05:00,13,-80.0,-4765.0,145235.0,150000.0,4765.0,0.031766666666666665
14,2015-02-23 15:55:00-05:00,14,-167.5,-4932.5,145067.5,150000.0,4932.5,0.032883333333333334
15,2015-02-24 15:55:00-05:00,15,-167.5,-5100.0,144900.0,150000.0,5100.0,0.034
16,2015-02-25 15:55:00-05:00,16,120.0,-4980.0,145020.0,150000.0,4980.0,0.0332
17,2015-02-27 15:55:00-05:00,17,220.0,-4760.0,145240.0,150000.0,4760.0,0.031733333333333336
18,2015-03-04 15:55:00-05:00,18,20.0,-4740.0,145260.0,150000.0,4740.0,0.0316
19,2015-03-05 15:55:00-05:00,19,-217.5,-4957.5,145042.5,150000.0,4957.5,0.03305
20,2015-03-06 15:55:00-05:00,20,282.5,-4675.0,145325.0,150000.0,4675.0,0.031166666666666665
21,2015-03-09 15:55:00-04:00,21,-67.5,-4742.5,145257.5,150000.0,4742.5,0.03161666666666667
22,2015-03-10 15:55:00-04:00,22,195.0,-4547.5,145452.5,150000.0,4547.5,0.030316666666666665
23,2015-03-11 15:55:00-04:00,23,270.0,-4277.5,145722.5,150000.0,4277.5,0.028516666666666666
24,2015-03-12 15:55:00-04:00,24,-342.5,-4620.0,145380.0,150000.0,4620.0,0.0308
25,2015-03-13 15:41:00-04:00,25,-530.0,-5150.0,144850.0,150000.0,5150.0,0.034333333333333334
26,2015-03-16 15:55:00-04:00,26,-305.0,-5455.0,144545.0,150000.0,5455.0,0.036366666666666665
27,2015-03-17 15:55:00-04:00,27,-167.5,-5622.5,144377.5,150000.0,5622.5,0.037483333333333334
28,2015-03-18 14:00:00-04:00,28,-542.5,-6165.0,143835.0,150000.0,6165.0,0.0411
29,2015-05-06 15:55:00-04:00,29,82.5,-6082.5,143917.5,150000.0,6082.5,0.04055
30,2015-05-07 15:55:00-04:00,30,-30.0,-6112.5,143887.5,150000.0,6112.5,0.04075
31,2015-05-08 15:55:00-04:00,31,-105.0,-6217.5,143782.5,150000.0,6217.5,0.04145
32,2015-05-14 15:55:00-04:00,32,-55.0,-6272.5,143727.5,150000.0,6272.5,0.04181666666666667
33,2015-05-19 15:55:00-04:00,33,145.0,-6127.5,143872.5,150000.0,6127.5,0.04085
34,2015-05-20 15:55:00-04:00,34,-80.0,-6207.5,143792.5,150000.0,6207.5,0.041383333333333334
35,2015-05-21 15:55:00-04:00,35,-55.0,-6262.5,143737.5,150000.0,6262.5,0.04175
36,2015-05-22 15:55:00-04:00,36,107.5,-6155.0,143845.0,150000.0,6155.0,0.04103333333333333
37,2015-05-26 15:55:00-04:00,37,-42.5,-6197.5,143802.5,150000.0,6197.5,0.04131666666666667
38,2015-05-27 15:55:00-04:00,38,-205.0,-6402.5,143597.5,150000.0,6402.5,0.04268333333333333
39,2015-05-28 15:55:00-04:00,39,-317.5,-6720.0,143280.0,150000.0,6720.0,0.0448
40,2015-05-29 15:55:00-04:00,40,307.5,-6412.5,143587.5,150000.0,6412.5,0.04275
41,2015-06-01 15:55:00-04:00,41,207.5,-6205.0,143795.0,150000.0,6205.0,0.04136666666666667
42,2015-06-02 15:55:00-04:00,42,257.5,-5947.5,144052.5,150000.0,5947.5,0.03965
43,2015-06-03 15:55:00-04:00,43,-42.5,-5990.0,144010.0,150000.0,5990.0,0.039933333333333335
44,2015-06-04 15:55:00-04:00,44,20.0,-5970.0,144030.0,150000.0,5970.0,0.0398
45,2015-06-05 15:55:00-04:00,45,82.5,-5887.5,144112.5,150000.0,5887.5,0.03925
46,2015-06-08 15:55:00-04:00,46,7.5,-5880.0,144120.0,150000.0,5880.0,0.0392
47,2015-06-09 15:55:00-04:00,47,195.0,-5685.0,144315.0,150000.0,5685.0,0.0379
48,2015-06-10 15:55:00-04:00,48,-80.0,-5765.0,144235.0,150000.0,5765.0,0.03843333333333333
49,2015-06-11 15:55:00-04:00,49,107.5,-5657.5,144342.5,150000.0,5657.5,0.03771666666666667
50,2015-06-12 15:55:00-04:00,50,-5.0,-5662.5,144337.5,150000.0,5662.5,0.03775
51,2015-06-15 15:55:00-04:00,51,-42.5,-5705.0,144295.0,150000.0,5705.0,0.038033333333333336
52,2015-06-16 15:55:00-04:00,52,-67.5,-5772.5,144227.5,150000.0,5772.5,0.038483333333333335
53,2015-06-17 14:03:00-04:00,53,-542.5,-6315.0,143685.0,150000.0,6315.0,0.0421
54,2015-06-18 15:55:00-04:00,54,-80.0,-6395.0,143605.0,150000.0,6395.0,0.042633333333333336
55,2015-06-19 15:55:00-04:00,55,107.5,-6287.5,143712.5,150000.0,6287.5,0.041916666666666665
56,2015-06-22 15:55:00-04:00,56,-80.0,-6367.5,143632.5,150000.0,6367.5,0.04245
57,2015-08-18 15:55:00-04:00,57,-30.0,-6397.5,143602.5,150000.0,6397.5,0.04265
58,2015-08-19 14:06:00-04:00,58,-542.5,-6940.0,143060.0,150000.0,6940.0,0.046266666666666664
59,2015-08-20 15:55:00-04:00,59,632.5,-6307.5,143692.5,150000.0,6307.5,0.04205
60,2015-08-21 15:35:00-04:00,60,1232.5,-5075.0,144925.0,150000.0,5075.0,0.03383333333333333
61,2015-08-24 14:12:00-04:00,61,1201.25,-3873.75,146126.25,150000.0,3873.75,0.025825
62,2015-08-25 14:49:00-04:00,62,-505.0,-4378.75,145621.25,150000.0,4378.75,0.029191666666666668
63,2015-08-26 14:40:00-04:00,63,-492.5,-4871.25,145128.75,150000.0,4871.25,0.032475
64,2015-08-27 14:56:00-04:00,64,1232.5,-3638.75,146361.25,150000.0,3638.75,0.024258333333333333
65,2015-08-28 15:55:00-04:00,65,-267.5,-3906.25,146093.75,150000.0,3906.25,0.026041666666666668
66,2015-08-31 15:55:00-04:00,66,70.0,-3836.25,146163.75,150000.0,3836.25,0.025575
67,2015-09-01 15:55:00-04:00,67,557.5,-3278.75,146721.25,150000.0,3278.75,0.021858333333333334
68,2015-09-02 15:55:00-04:00,68,-217.5,-3496.25,146503.75,150000.0,3496.25,0.023308333333333334
69,2015-09-03 15:55:00-04:00,69,207.5,-3288.75,146711.25,150000.0,3288.75,0.021925
70,2015-09-04 15:33:00-04:00,70,-505.0,-3793.75,146206.25,150000.0,3793.75,0.025291666666666667
71,2015-09-08 14:25:00-04:00,71,-505.0,-4298.75,145701.25,150000.0,4298.75,0.028658333333333334
72,2015-09-09 15:42:00-04:00,72,1232.5,-3066.25,146933.75,150000.0,3066.25,0.020441666666666667
73,2015-09-10 15:55:00-04:00,73,520.0,-2546.25,147453.75,150000.0,2546.25,0.016975
74,2015-09-11 15:17:00-04:00,74,-505.0,-3051.25,146948.75,150000.0,3051.25,0.020341666666666668
75,2015-09-14 15:55:00-04:00,75,-92.5,-3143.75,146856.25,150000.0,3143.75,0.020958333333333332
76,2015-09-15 15:55:00-04:00,76,-167.5,-3311.25,146688.75,150000.0,3311.25,0.022075
77,2015-09-16 15:55:00-04:00,77,-342.5,-3653.75,146346.25,150000.0,3653.75,0.024358333333333333
78,2015-09-17 14:44:00-04:00,78,-517.5,-4171.25,145828.75,150000.0,4171.25,0.027808333333333334
79,2015-09-18 15:55:00-04:00,79,395.0,-3776.25,146223.75,150000.0,3776.25,0.025175
80,2015-09-21 15:55:00-04:00,80,-17.5,-3793.75,146206.25,150000.0,3793.75,0.025291666666666667
81,2015-09-22 14:33:00-04:00,81,-505.0,-4298.75,145701.25,150000.0,4298.75,0.028658333333333334
82,2015-09-25 15:09:00-04:00,82,1201.25,-3097.5,146902.5,150000.0,3097.5,0.02065
83,2015-11-10 15:55:00-05:00,83,-192.5,-3290.0,146710.0,150000.0,3290.0,0.021933333333333332
84,2015-11-12 15:55:00-05:00,84,657.5,-2632.5,147367.5,150000.0,2632.5,0.01755
85,2015-11-13 15:55:00-05:00,85,395.0,-2237.5,147762.5,150000.0,2237.5,0.014916666666666667
86,2015-11-16 15:10:00-05:00,86,-530.0,-2767.5,147232.5,150000.0,2767.5,0.01845
87,2015-11-17 15:55:00-05:00,87,82.5,-2685.0,147315.0,150000.0,2685.0,0.0179
88,2015-11-18 15:15:00-05:00,88,-542.5,-3227.5,146772.5,150000.0,3227.5,0.021516666666666667
89,2015-11-19 15:55:00-05:00,89,95.0,-3132.5,146867.5,150000.0,3132.5,0.020883333333333334
90,2015-11-20 15:55:00-05:00,90,82.5,-3050.0,146950.0,150000.0,3050.0,0.02033333333333333
