wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.rank_threshold,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,1,True,36,0.7,0.0,0.006,2.0,353,353,353,0,0,0,0,0,0,0,353,88.79084659437358,18485.0,1.2563533613008355,0.07726252219113806,8815.0,0.05603585277477592,0.02966232667265012,0.5293455029920124,0.46458923512747874,0,0,True,-892.5,0.09237219367054368,11,False,max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,2,False,9,0.65,0.0,0.006,2.0,430,430,430,0,0,0,0,0,0,0,430,108.15882163054006,13987.5,1.1557844911596826,0.05018714610639647,8645.0,0.05502339051013589,0.022678663735059112,0.4121640546829164,0.46511627906976744,0,0,True,-892.5,0.12207327971403038,6,False,min_profit_factor
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,3,False,63,0.75,0.0,0.006,2.0,300,300,300,0,0,0,0,0,0,0,300,75.4596429980512,13687.5,1.2094571330196258,0.06987420865841831,9157.5,0.058062675353083834,0.02220775066818259,0.38247894250713493,0.46,0,0,True,-892.5,0.12474885844748858,14,False,min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,4,False,35,0.7,0.0,0.006,1.5,353,353,353,0,0,0,0,0,0,0,353,88.79084659437358,12697.5,1.1791408013544018,0.05715539972555694,9565.0,0.06072630309186718,0.02064913985006034,0.34003617540857334,0.4730878186968839,0,0,True,-892.5,0.10198858042921835,11,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,5,False,8,0.65,0.0,0.006,1.5,430,430,430,0,0,0,0,0,0,0,430,108.15882163054006,12025.0,1.1380200860832137,0.0451283477294112,9332.5,0.05906785762320308,0.01958633317314118,0.3315903769201079,0.47674418604651164,0,0,True,-892.5,0.1076923076923077,6,False,min_profit_factor;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,6,False,27,0.65,0.02,0.006,2.0,268,268,268,0,0,0,0,0,0,0,268,67.45868339128084,9397.5,1.1729070837166513,0.05492913328476316,7265.0,0.04664975760105307,0.01541302209263451,0.33039876057762363,0.458955223880597,0,0,True,-880.0,0.1816972599095504,8,False,min_profit_factor;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,7,False,81,0.75,0.02,0.006,2.0,183,183,183,0,0,0,0,0,0,0,183,46.0632054500164,8122.5,1.2048162390468387,0.06983429956525329,7370.0,0.046938937982644695,0.013362434458094707,0.2846769661264037,0.45901639344262296,0,0,True,-880.0,0.21021852877808556,7,False,min_mar;min_trades_per_year
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,8,False,34,0.7,0.0,0.006,1.0,353,353,353,0,0,0,0,0,0,0,353,88.79084659437358,10110.0,1.1531354135110572,0.04825491428050737,9177.5,0.058307787607808255,0.016541705201789325,0.2836963273765879,0.49291784702549574,0,0,True,-892.5,0.08481701285855589,11,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,9,False,54,0.7,0.02,0.006,2.0,219,219,219,0,0,0,0,0,0,0,219,55.12481963690487,8617.5,1.1886389755376785,0.06075913953216513,8142.5,0.052322125656637054,0.01416000913147153,0.2706313811559629,0.45662100456621,0,0,True,-880.0,0.19814331302581956,6,False,min_profit_factor;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,10,False,62,0.75,0.0,0.006,1.5,300,300,300,0,0,0,0,0,0,0,300,75.4596429980512,9281.25,1.1447481285090455,0.05288149455725121,9238.75,0.058536083127415574,0.015215634227561337,0.25993598161396353,0.47,0,0,True,-892.5,0.13952861952861953,14,False,min_profit_factor;min_mar;max_consecutive_losses
