session_date,net_pnl,gross_pnl,trades,wins,losses
2025-06-23,-630.0,-625.0,1,0,1
2025-06-24,-630.0,-625.0,1,0,1
2025-06-25,345.0,350.0,1,1,0
2025-06-27,470.0,475.0,1,1,0
2025-07-07,632.5,637.5,1,1,0
2025-07-14,607.5,612.5,1,1,0
2025-07-17,882.5,887.5,1,1,0
2025-07-30,57.5,62.5,1,1,0
2025-08-01,-342.5,-337.5,1,0,1
2025-08-06,1576.25,1581.25,1,1,0
2025-09-04,-667.5,-662.5,1,0,1
2025-10-01,-692.5,-687.5,1,0,1
2025-10-02,157.5,162.5,1,1,0
2025-10-03,-592.5,-587.5,1,0,1
2025-10-13,1032.5,1037.5,1,1,0
2025-10-16,-692.5,-687.5,1,0,1
2025-10-17,-692.5,-687.5,1,0,1
2025-11-06,1701.25,1706.25,1,1,0
2025-11-07,-692.5,-687.5,1,0,1
2025-11-13,-705.0,-700.0,1,0,1
2025-11-17,1701.25,1706.25,1,1,0
2025-12-02,-705.0,-700.0,1,0,1
2025-12-04,-442.5,-437.5,1,0,1
2025-12-19,232.5,237.5,1,1,0
2025-12-22,-642.5,-637.5,1,0,1
2025-12-23,-717.5,-712.5,1,0,1
2025-12-26,332.5,337.5,1,1,0
2025-12-29,395.0,400.0,1,1,0
2025-12-31,57.5,62.5,1,1,0
2026-01-09,-405.0,-400.0,1,0,1
2026-01-14,-717.5,-712.5,1,0,1
2026-01-22,-717.5,-712.5,1,0,1
2026-01-28,870.0,875.0,1,1,0
2026-01-30,-405.0,-400.0,1,0,1
2026-02-06,-717.5,-712.5,1,0,1
2026-02-17,-705.0,-700.0,1,0,1
2026-02-24,-117.5,-112.5,1,0,1
2026-02-25,-492.5,-487.5,1,0,1
2026-02-27,145.0,150.0,1,1,0
2026-03-02,1701.25,1706.25,1,1,0
2026-03-05,-705.0,-700.0,1,0,1
2026-03-09,-692.5,-687.5,1,0,1
2026-03-10,-705.0,-700.0,1,0,1
2026-03-11,-705.0,-700.0,1,0,1
2026-03-12,607.5,612.5,1,1,0
2026-03-16,-692.5,-687.5,1,0,1
2026-03-17,770.0,775.0,1,1,0
2026-03-19,1638.75,1643.75,1,1,0
2026-03-20,-680.0,-675.0,1,0,1
2026-03-24,1638.75,1643.75,1,1,0
2026-03-25,1670.0,1675.0,1,1,0
2026-03-26,-680.0,-675.0,1,0,1
2026-04-07,1638.75,1643.75,1,1,0
2026-04-20,-742.5,-737.5,1,0,1
2026-04-21,-742.5,-737.5,1,0,1
2026-04-23,-742.5,-737.5,1,0,1
2026-04-24,1795.0,1800.0,1,1,0
2026-04-30,-742.5,-737.5,1,0,1
2026-05-11,882.5,887.5,1,1,0
2026-05-18,-767.5,-762.5,1,0,1
2026-05-20,-767.5,-762.5,1,0,1
2026-05-21,357.5,362.5,1,1,0
2026-05-22,-767.5,-762.5,1,0,1
2026-05-27,-780.0,-775.0,1,0,1
2026-05-28,632.5,637.5,1,1,0
2026-06-02,957.5,962.5,1,1,0
2026-06-03,-780.0,-775.0,1,0,1
2026-06-08,-767.5,-762.5,1,0,1
