point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2025-06-23 10:30:00-04:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2025-06-23 11:29:00-04:00,1,-630.0,-630.0,149370.0,150000.0,630.0,0.0042
2,2025-06-24 11:23:00-04:00,2,-630.0,-1260.0,148740.0,150000.0,1260.0,0.0084
3,2025-06-25 12:00:00-04:00,3,345.0,-915.0,149085.0,150000.0,915.0,0.0061
4,2025-06-27 12:00:00-04:00,4,470.0,-445.0,149555.0,150000.0,445.0,0.0029666666666666665
5,2025-07-07 12:00:00-04:00,5,632.5,187.5,150187.5,150187.5,0.0,0.0
6,2025-07-14 12:00:00-04:00,6,607.5,795.0,150795.0,150795.0,0.0,0.0
7,2025-07-17 12:00:00-04:00,7,882.5,1677.5,151677.5,151677.5,0.0,0.0
8,2025-07-30 12:00:00-04:00,8,57.5,1735.0,151735.0,151735.0,0.0,0.0
9,2025-08-01 12:00:00-04:00,9,-342.5,1392.5,151392.5,151735.0,342.5,0.0022572247668632816
10,2025-08-06 11:28:00-04:00,10,1576.25,2968.75,152968.75,152968.75,0.0,0.0
11,2025-09-04 11:17:00-04:00,11,-667.5,2301.25,152301.25,152968.75,667.5,0.004363636363636364
12,2025-10-01 11:37:00-04:00,12,-692.5,1608.75,151608.75,152968.75,1360.0,0.00889070480081716
13,2025-10-02 12:00:00-04:00,13,157.5,1766.25,151766.25,152968.75,1202.5,0.007861082737487231
14,2025-10-03 12:00:00-04:00,14,-592.5,1173.75,151173.75,152968.75,1795.0,0.011734422880490297
15,2025-10-13 12:00:00-04:00,15,1032.5,2206.25,152206.25,152968.75,762.5,0.00498467824310521
16,2025-10-16 10:42:00-04:00,16,-692.5,1513.75,151513.75,152968.75,1455.0,0.009511746680286006
17,2025-10-17 10:35:00-04:00,17,-692.5,821.25,150821.25,152968.75,2147.5,0.014038815117466803
18,2025-11-06 10:44:00-05:00,18,1701.25,2522.5,152522.5,152968.75,446.25,0.002917262512768131
19,2025-11-07 10:41:00-05:00,19,-692.5,1830.0,151830.0,152968.75,1138.75,0.0074443309499489276
20,2025-11-13 10:37:00-05:00,20,-705.0,1125.0,151125.0,152968.75,1843.75,0.012053115423901941
21,2025-11-17 11:14:00-05:00,21,1701.25,2826.25,152826.25,152968.75,142.5,0.0009315628192032686
22,2025-12-02 11:24:00-05:00,22,-705.0,2121.25,152121.25,152968.75,847.5,0.0055403472931562815
23,2025-12-04 12:00:00-05:00,23,-442.5,1678.75,151678.75,152968.75,1290.0,0.008433094994892748
24,2025-12-19 12:00:00-05:00,24,232.5,1911.25,151911.25,152968.75,1057.5,0.00691317671092952
25,2025-12-22 12:00:00-05:00,25,-642.5,1268.75,151268.75,152968.75,1700.0,0.01111338100102145
26,2025-12-23 11:01:00-05:00,26,-717.5,551.25,150551.25,152968.75,2417.5,0.015803881511746682
27,2025-12-26 12:00:00-05:00,27,332.5,883.75,150883.75,152968.75,2085.0,0.01363023493360572
28,2025-12-29 12:00:00-05:00,28,395.0,1278.75,151278.75,152968.75,1690.0,0.011048008171603677
29,2025-12-31 12:00:00-05:00,29,57.5,1336.25,151336.25,152968.75,1632.5,0.010672114402451482
30,2026-01-09 12:00:00-05:00,30,-405.0,931.25,150931.25,152968.75,2037.5,0.013319713993871296
31,2026-01-14 10:46:00-05:00,31,-717.5,213.75,150213.75,152968.75,2755.0,0.018010214504596528
32,2026-01-22 11:15:00-05:00,32,-717.5,-503.75,149496.25,152968.75,3472.5,0.022700715015321758
33,2026-01-28 12:00:00-05:00,33,870.0,366.25,150366.25,152968.75,2602.5,0.017013278855975485
34,2026-01-30 12:00:00-05:00,34,-405.0,-38.75,149961.25,152968.75,3007.5,0.0196608784473953
35,2026-02-06 10:47:00-05:00,35,-717.5,-756.25,149243.75,152968.75,3725.0,0.02435137895812053
36,2026-02-17 10:59:00-05:00,36,-705.0,-1461.25,148538.75,152968.75,4430.0,0.028960163432073544
37,2026-02-24 12:00:00-05:00,37,-117.5,-1578.75,148421.25,152968.75,4547.5,0.02972829417773238
38,2026-02-25 12:00:00-05:00,38,-492.5,-2071.25,147928.75,152968.75,5040.0,0.03294790602655771
39,2026-02-27 12:00:00-05:00,39,145.0,-1926.25,148073.75,152968.75,4895.0,0.032
40,2026-03-02 11:47:00-05:00,40,1701.25,-225.0,149775.0,152968.75,3193.75,0.020878447395301328
41,2026-03-05 10:31:00-05:00,41,-705.0,-930.0,149070.0,152968.75,3898.75,0.02548723186925434
42,2026-03-09 10:36:00-04:00,42,-692.5,-1622.5,148377.5,152968.75,4591.25,0.03001430030643514
43,2026-03-10 10:34:00-04:00,43,-705.0,-2327.5,147672.5,152968.75,5296.25,0.03462308478038815
44,2026-03-11 11:29:00-04:00,44,-705.0,-3032.5,146967.5,152968.75,6001.25,0.03923186925434116
45,2026-03-12 12:00:00-04:00,45,607.5,-2425.0,147575.0,152968.75,5393.75,0.03526046986721144
46,2026-03-16 10:38:00-04:00,46,-692.5,-3117.5,146882.5,152968.75,6086.25,0.03978753830439224
47,2026-03-17 12:00:00-04:00,47,770.0,-2347.5,147652.5,152968.75,5316.25,0.0347538304392237
48,2026-03-19 11:06:00-04:00,48,1638.75,-708.75,149291.25,152968.75,3677.5,0.024040858018386107
49,2026-03-20 10:34:00-04:00,49,-680.0,-1388.75,148611.25,152968.75,4357.5,0.028486210418794688
50,2026-03-24 10:52:00-04:00,50,1638.75,250.0,150250.0,152968.75,2718.75,0.0177732379979571
51,2026-03-25 11:17:00-04:00,51,1670.0,1920.0,151920.0,152968.75,1048.75,0.006855975485188968
52,2026-03-26 10:46:00-04:00,52,-680.0,1240.0,151240.0,152968.75,1728.75,0.011301327885597548
53,2026-04-07 11:06:00-04:00,53,1638.75,2878.75,152878.75,152968.75,90.0,0.0005883554647599592
54,2026-04-20 10:51:00-04:00,54,-742.5,2136.25,152136.25,152968.75,832.5,0.005442288049029622
55,2026-04-21 10:46:00-04:00,55,-742.5,1393.75,151393.75,152968.75,1575.0,0.010296220633299285
56,2026-04-23 10:57:00-04:00,56,-742.5,651.25,150651.25,152968.75,2317.5,0.015150153217568949
57,2026-04-24 11:44:00-04:00,57,1795.0,2446.25,152446.25,152968.75,522.5,0.0034157303370786515
58,2026-04-30 10:51:00-04:00,58,-742.5,1703.75,151703.75,152968.75,1265.0,0.008269662921348314
59,2026-05-11 12:00:00-04:00,59,882.5,2586.25,152586.25,152968.75,382.5,0.0025005107252298263
60,2026-05-18 10:33:00-04:00,60,-767.5,1818.75,151818.75,152968.75,1150.0,0.007517875383043922
61,2026-05-20 10:56:00-04:00,61,-767.5,1051.25,151051.25,152968.75,1917.5,0.012535240040858018
62,2026-05-21 12:00:00-04:00,62,357.5,1408.75,151408.75,152968.75,1560.0,0.010198161389172625
63,2026-05-22 11:06:00-04:00,63,-767.5,641.25,150641.25,152968.75,2327.5,0.015215526046986722
64,2026-05-27 11:44:00-04:00,64,-780.0,-138.75,149861.25,152968.75,3107.5,0.020314606741573035
65,2026-05-28 12:00:00-04:00,65,632.5,493.75,150493.75,152968.75,2475.0,0.016179775280898877
66,2026-06-02 12:00:00-04:00,66,957.5,1451.25,151451.25,152968.75,1517.5,0.009920326864147089
67,2026-06-03 11:37:00-04:00,67,-780.0,671.25,150671.25,152968.75,2297.5,0.015019407558733402
68,2026-06-08 10:46:00-04:00,68,-767.5,-96.25,149903.75,152968.75,3065.0,0.020036772216547497
