run_id,entry.params.share_rank_min,entry.params.min_abs_return_ticks,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,0.35,2,0.003,1.5,269,269,269,0,0,0,0,0,0,0,269,67.43311534525795,17992.5,1.2572102498123727,0.09154121278407187,8151.25,0.051367893687917006,0.028805196765982366,0.5607626612254506,0.5055762081784386,0,0,True,-930.0,0.07614283729331665,5,True,
2,0.35,2,0.003,2.0,269,269,269,0,0,0,0,0,0,0,269,67.43311534525795,19292.5,1.266756541878392,0.09751311944864026,8485.0,0.05352130444381367,0.0307951929787178,0.5753819586188599,0.49070631970260226,0,0,True,-930.0,0.09109757677854088,5,True,
3,0.35,2,0.003,2.5,269,269,269,0,0,0,0,0,0,0,269,67.43311534525795,19867.5,1.2736947237911558,0.10379357233523141,7840.0,0.04900459418070444,0.031671732586127765,0.6463012930856696,0.48698884758364314,0,0,True,-930.0,0.11079652699131748,5,True,
4,0.35,2,0.004,1.5,269,269,269,0,0,0,0,0,0,0,269,67.43308320560043,24436.25,1.3352138276346925,0.09357369527409645,6495.0,0.040487154912457045,0.038558540243034845,0.9523647765916788,0.5278810408921933,0,0,True,-1230.0,0.07217760499258274,5,True,
5,0.35,2,0.004,2.0,269,269,269,0,0,0,0,0,0,0,269,67.43308320560043,25342.5,1.3463746326795598,0.09974300244840717,6777.5,0.04160272543121969,0.03990849553933762,0.9592759879473982,0.5241635687732342,0,0,True,-1230.0,0.09302554996547302,5,True,
6,0.35,2,0.004,2.5,269,269,269,0,0,0,0,0,0,0,269,67.43308320560043,26255.0,1.358846442971366,0.10385944700862551,7993.75,0.04836416438521925,0.04126248881651118,0.8531624466383123,0.5241635687732342,0,0,True,-1230.0,0.0862216720624643,5,True,
7,0.35,2,0.006,1.5,269,269,269,0,0,0,0,0,0,0,269,67.43173336764896,32786.25,1.4672735694434547,0.08886051848655586,5077.5,0.030317279057790913,0.05080242610815211,1.6756921362010202,0.5427509293680297,0,0,True,-1730.0,0.08067406305997178,5,True,
8,0.35,2,0.006,2.0,269,269,269,0,0,0,0,0,0,0,269,67.43173336764896,31905.0,1.4547138886909428,0.08658495727538021,5077.5,0.03015411111441043,0.04953016956040024,1.64256772061605,0.5427509293680297,0,0,True,-1730.0,0.08172700203729823,5,True,
9,0.35,2,0.006,2.5,269,269,269,0,0,0,0,0,0,0,269,67.43173336764896,32136.25,1.4580096914416019,0.0875673513403383,5077.5,0.03011275603626578,0.04986447029186247,1.6559251578237826,0.5427509293680297,0,0,True,-1730.0,0.08211132288303707,5,True,
10,0.35,3,0.003,1.5,263,263,263,0,0,0,0,0,0,0,263,65.92903098811463,18972.5,1.2801919881853425,0.0985195707450788,6816.25,0.04304173145685171,0.03030641302994108,0.7041169582204778,0.5057034220532319,0,0,True,-930.0,0.07220977730926341,5,True,
