trade_id,wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_train_objective,wfa_selected_params,source_trade_id,strategy_name,session_date,direction,level_type,academic_source_key,external_dataset,external_feature_file,selected_market_plumbing_leg,selected_market_plumbing_source,market_plumbing_priority_order,feature_name,feature_operator,feature_threshold,feature_value,feature_trade_date,feature_availability_rule,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,signal_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,0.2951446616328009,"{'entry.params.primary_dealer_lending_pressure_threshold': 0.25, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 1.5}",1,market_plumbing_liquidity_capacity,2019-07-22,long,market_plumbing_primary_dealer_lending_pressure,brunnermeier_pedersen_2009_market_liquidity_funding_liquidity,nyfed_primary_dealer_statistics_cboe_cfe_vx_activity_lag1,data/external/market_plumbing_priority_features_lag1_no_lookahead.csv,primary_dealer_lending_pressure,nyfed_primary_dealer_statistics,primary_dealer_lending_pressure,sl_treasury_excluding_tips_overnight_open_diff1_rank52,<=,0.25,0.0384615384615384,2019-07-22,Campaign feature file lags every source row by one listed trade_date; entries occur 11:30 ET or later.,0.005,1.5,15:55:00,2019-07-22 13:30:00-04:00,2019-07-22 13:30:00-04:00,2987.0,2978.0,3000.5,9.0,1,6.5,2.25,fixed_contracts,2019-07-22 15:55:00-04:00,2986.75,eod_flatten,-12.5,-17.5,-0.027777777777777776,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,0.2951446616328009,"{'entry.params.primary_dealer_lending_pressure_threshold': 0.25, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 1.5}",2,market_plumbing_liquidity_capacity,2019-07-23,long,market_plumbing_primary_dealer_lending_pressure,brunnermeier_pedersen_2009_market_liquidity_funding_liquidity,nyfed_primary_dealer_statistics_cboe_cfe_vx_activity_lag1,data/external/market_plumbing_priority_features_lag1_no_lookahead.csv,primary_dealer_lending_pressure,nyfed_primary_dealer_statistics,primary_dealer_lending_pressure,sl_treasury_excluding_tips_overnight_open_diff1_rank52,<=,0.25,0.0384615384615384,2019-07-23,Campaign feature file lags every source row by one listed trade_date; entries occur 11:30 ET or later.,0.005,1.5,15:55:00,2019-07-23 13:30:00-04:00,2019-07-23 13:30:00-04:00,2997.0,2988.0,3010.5,9.0,1,11.25,0.5,fixed_contracts,2019-07-23 15:55:00-04:00,3006.5,eod_flatten,475.0,470.0,1.0555555555555556,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,0.2951446616328009,"{'entry.params.primary_dealer_lending_pressure_threshold': 0.25, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 1.5}",3,market_plumbing_liquidity_capacity,2019-07-24,long,market_plumbing_primary_dealer_lending_pressure,brunnermeier_pedersen_2009_market_liquidity_funding_liquidity,nyfed_primary_dealer_statistics_cboe_cfe_vx_activity_lag1,data/external/market_plumbing_priority_features_lag1_no_lookahead.csv,primary_dealer_lending_pressure,nyfed_primary_dealer_statistics,primary_dealer_lending_pressure,sl_treasury_excluding_tips_overnight_open_diff1_rank52,<=,0.25,0.0384615384615384,2019-07-24,Campaign feature file lags every source row by one listed trade_date; entries occur 11:30 ET or later.,0.005,1.5,15:55:00,2019-07-24 13:30:00-04:00,2019-07-24 13:30:00-04:00,3012.0,3002.75,3025.875,9.25,1,9.0,2.0,fixed_contracts,2019-07-24 15:55:00-04:00,3020.5,eod_flatten,425.0,420.0,0.918918918918919,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,0.2951446616328009,"{'entry.params.primary_dealer_lending_pressure_threshold': 0.25, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 1.5}",4,market_plumbing_liquidity_capacity,2019-07-25,long,market_plumbing_primary_dealer_lending_pressure,brunnermeier_pedersen_2009_market_liquidity_funding_liquidity,nyfed_primary_dealer_statistics_cboe_cfe_vx_activity_lag1,data/external/market_plumbing_priority_features_lag1_no_lookahead.csv,primary_dealer_lending_pressure,nyfed_primary_dealer_statistics,primary_dealer_lending_pressure,sl_treasury_excluding_tips_overnight_open_diff1_rank52,<=,0.25,0.0384615384615384,2019-07-25,Campaign feature file lags every source row by one listed trade_date; entries occur 11:30 ET or later.,0.005,1.5,15:55:00,2019-07-25 13:30:00-04:00,2019-07-25 13:30:00-04:00,3003.75,2994.5,3017.625,9.25,1,6.5,3.25,fixed_contracts,2019-07-25 15:55:00-04:00,3007.25,eod_flatten,175.0,170.0,0.3783783783783784,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,0.2951446616328009,"{'entry.params.primary_dealer_lending_pressure_threshold': 0.25, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 1.5}",5,market_plumbing_liquidity_capacity,2019-07-26,long,market_plumbing_primary_dealer_lending_pressure,brunnermeier_pedersen_2009_market_liquidity_funding_liquidity,nyfed_primary_dealer_statistics_cboe_cfe_vx_activity_lag1,data/external/market_plumbing_priority_features_lag1_no_lookahead.csv,primary_dealer_lending_pressure,nyfed_primary_dealer_statistics,primary_dealer_lending_pressure,sl_treasury_excluding_tips_overnight_open_diff1_rank52,<=,0.25,0.0384615384615384,2019-07-26,Campaign feature file lags every source row by one listed trade_date; entries occur 11:30 ET or later.,0.005,1.5,15:55:00,2019-07-26 13:30:00-04:00,2019-07-26 13:30:00-04:00,3024.75,3015.5,3038.625,9.25,1,4.75,1.5,fixed_contracts,2019-07-26 15:55:00-04:00,3028.5,eod_flatten,187.5,182.5,0.40540540540540543,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,0.2951446616328009,"{'entry.params.primary_dealer_lending_pressure_threshold': 0.25, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 1.5}",6,market_plumbing_liquidity_capacity,2019-08-19,long,market_plumbing_primary_dealer_lending_pressure,brunnermeier_pedersen_2009_market_liquidity_funding_liquidity,nyfed_primary_dealer_statistics_cboe_cfe_vx_activity_lag1,data/external/market_plumbing_priority_features_lag1_no_lookahead.csv,primary_dealer_lending_pressure,nyfed_primary_dealer_statistics,primary_dealer_lending_pressure,sl_treasury_excluding_tips_overnight_open_diff1_rank52,<=,0.25,0.2115384615384615,2019-08-19,Campaign feature file lags every source row by one listed trade_date; entries occur 11:30 ET or later.,0.005,1.5,15:55:00,2019-08-19 13:30:00-04:00,2019-08-19 13:30:00-04:00,2930.25,2921.25,2943.75,9.0,1,0.25,5.25,fixed_contracts,2019-08-19 15:55:00-04:00,2928.25,eod_flatten,-100.0,-105.0,-0.2222222222222222,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,0.2951446616328009,"{'entry.params.primary_dealer_lending_pressure_threshold': 0.25, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 1.5}",7,market_plumbing_liquidity_capacity,2019-08-20,long,market_plumbing_primary_dealer_lending_pressure,brunnermeier_pedersen_2009_market_liquidity_funding_liquidity,nyfed_primary_dealer_statistics_cboe_cfe_vx_activity_lag1,data/external/market_plumbing_priority_features_lag1_no_lookahead.csv,primary_dealer_lending_pressure,nyfed_primary_dealer_statistics,primary_dealer_lending_pressure,sl_treasury_excluding_tips_overnight_open_diff1_rank52,<=,0.25,0.2115384615384615,2019-08-20,Campaign feature file lags every source row by one listed trade_date; entries occur 11:30 ET or later.,0.005,1.5,15:55:00,2019-08-20 13:30:00-04:00,2019-08-20 13:30:00-04:00,2916.75,2907.75,2930.25,9.0,1,0.0,9.75,fixed_contracts,2019-08-20 14:05:00-04:00,2907.5,stop,-462.5,-467.5,-1.0277777777777777,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,0.2951446616328009,"{'entry.params.primary_dealer_lending_pressure_threshold': 0.25, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 1.5}",8,market_plumbing_liquidity_capacity,2019-08-21,long,market_plumbing_primary_dealer_lending_pressure,brunnermeier_pedersen_2009_market_liquidity_funding_liquidity,nyfed_primary_dealer_statistics_cboe_cfe_vx_activity_lag1,data/external/market_plumbing_priority_features_lag1_no_lookahead.csv,primary_dealer_lending_pressure,nyfed_primary_dealer_statistics,primary_dealer_lending_pressure,sl_treasury_excluding_tips_overnight_open_diff1_rank52,<=,0.25,0.2115384615384615,2019-08-21,Campaign feature file lags every source row by one listed trade_date; entries occur 11:30 ET or later.,0.005,1.5,15:55:00,2019-08-21 13:30:00-04:00,2019-08-21 13:30:00-04:00,2926.5,2917.5,2940.0,9.0,1,1.25,8.5,fixed_contracts,2019-08-21 15:55:00-04:00,2924.5,eod_flatten,-100.0,-105.0,-0.2222222222222222,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,0.2951446616328009,"{'entry.params.primary_dealer_lending_pressure_threshold': 0.25, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 1.5}",9,market_plumbing_liquidity_capacity,2019-08-22,long,market_plumbing_primary_dealer_lending_pressure,brunnermeier_pedersen_2009_market_liquidity_funding_liquidity,nyfed_primary_dealer_statistics_cboe_cfe_vx_activity_lag1,data/external/market_plumbing_priority_features_lag1_no_lookahead.csv,primary_dealer_lending_pressure,nyfed_primary_dealer_statistics,primary_dealer_lending_pressure,sl_treasury_excluding_tips_overnight_open_diff1_rank52,<=,0.25,0.2115384615384615,2019-08-22,Campaign feature file lags every source row by one listed trade_date; entries occur 11:30 ET or later.,0.005,1.5,15:55:00,2019-08-22 13:30:00-04:00,2019-08-22 13:30:00-04:00,2926.5,2917.5,2940.0,9.0,1,6.25,4.25,fixed_contracts,2019-08-22 15:55:00-04:00,2932.5,eod_flatten,300.0,295.0,0.6666666666666666,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,0.2951446616328009,"{'entry.params.primary_dealer_lending_pressure_threshold': 0.25, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 1.5}",10,market_plumbing_liquidity_capacity,2019-08-23,long,market_plumbing_primary_dealer_lending_pressure,brunnermeier_pedersen_2009_market_liquidity_funding_liquidity,nyfed_primary_dealer_statistics_cboe_cfe_vx_activity_lag1,data/external/market_plumbing_priority_features_lag1_no_lookahead.csv,primary_dealer_lending_pressure,nyfed_primary_dealer_statistics,primary_dealer_lending_pressure,sl_treasury_excluding_tips_overnight_open_diff1_rank52,<=,0.25,0.2115384615384615,2019-08-23,Campaign feature file lags every source row by one listed trade_date; entries occur 11:30 ET or later.,0.005,1.5,15:55:00,2019-08-23 13:30:00-04:00,2019-08-23 13:30:00-04:00,2859.25,2850.5,2872.375,8.75,1,9.25,10.0,fixed_contracts,2019-08-23 15:30:00-04:00,2850.25,stop,-450.0,-455.0,-1.0285714285714285,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
