wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.primary_dealer_lending_pressure_threshold,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,a6f2104a19a1b339cd1b51fee034cabf8730d4d1762522353593d46e522ef154,1e9566eccb4d5a74ab034c0d8f8054e076444b255693358628adcdcf12efa48c,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,1,True,11,0.25,0.003,1.5,246,246,246,0,0,0,0,0,0,0,246,62.435867307177276,3876.25,1.1417794440380395,0.057984356516552066,3375.0,0.02201098919015864,0.00649642595673261,0.2951446616328009,0.5,0,0,True,-467.5,0.16962270235407934,8,False,min_profit_factor;min_mar;preferred_min_total_trades
1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,a6f2104a19a1b339cd1b51fee034cabf8730d4d1762522353593d46e522ef154,1e9566eccb4d5a74ab034c0d8f8054e076444b255693358628adcdcf12efa48c,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,2,False,12,0.25,0.003,2.0,246,246,246,0,0,0,0,0,0,0,246,62.435867307177276,3582.5,1.1279464285714285,0.059495084948012214,3250.0,0.021039684081051335,0.0060084177585688625,0.28557547420496376,0.491869918699187,0,0,True,-467.5,0.23237962316817865,8,False,min_profit_factor;min_mar;preferred_min_total_trades
1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,a6f2104a19a1b339cd1b51fee034cabf8730d4d1762522353593d46e522ef154,1e9566eccb4d5a74ab034c0d8f8054e076444b255693358628adcdcf12efa48c,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,3,False,10,0.25,0.003,1.0,246,245,245,1,0,1,0,0,0,0,245,62.18206296853022,3175.0,1.1218108574717054,0.050819622992110174,3237.5,0.021121132549377784,0.0053302815809770365,0.25236722360961006,0.5183673469387755,0,0,True,-467.5,0.13622047244094487,8,False,min_profit_factor;min_mar;preferred_min_total_trades
1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,a6f2104a19a1b339cd1b51fee034cabf8730d4d1762522353593d46e522ef154,1e9566eccb4d5a74ab034c0d8f8054e076444b255693358628adcdcf12efa48c,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,4,False,17,0.25,0.007,1.5,246,246,246,0,0,0,0,0,0,0,246,62.435867307177276,2620.0,1.086482917973263,0.022426197415316224,3680.0,0.023812027338536823,0.004404516398212488,0.1849702394337639,0.516260162601626,0,0,True,-1017.5,0.5300572519083969,8,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,a6f2104a19a1b339cd1b51fee034cabf8730d4d1762522353593d46e522ef154,1e9566eccb4d5a74ab034c0d8f8054e076444b255693358628adcdcf12efa48c,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,5,False,18,0.25,0.007,2.0,246,246,246,0,0,0,0,0,0,0,246,62.435867307177276,2557.5,1.0844198712658855,0.021509780356408794,3680.0,0.023894164434704976,0.004300106269074178,0.17996470564287684,0.516260162601626,0,0,True,-1017.5,0.7262952101661779,8,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,a6f2104a19a1b339cd1b51fee034cabf8730d4d1762522353593d46e522ef154,1e9566eccb4d5a74ab034c0d8f8054e076444b255693358628adcdcf12efa48c,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,6,False,9,0.2115384615384615,0.007,2.0,218,218,218,0,0,0,0,0,0,0,218,55.599791487349826,1685.0,1.0632863849765257,0.01799641096186205,2672.5,0.017313703577733507,0.002853094623246788,0.1647882332302399,0.518348623853211,0,0,True,-1005.0,1.1023738872403561,6,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,a6f2104a19a1b339cd1b51fee034cabf8730d4d1762522353593d46e522ef154,1e9566eccb4d5a74ab034c0d8f8054e076444b255693358628adcdcf12efa48c,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,7,False,16,0.25,0.007,1.0,246,246,246,0,0,0,0,0,0,0,246,62.435867307177276,1770.0,1.0584254827529296,0.016561119564919166,3530.0,0.023068126123182486,0.0029817958580169446,0.12926042809434646,0.516260162601626,0,0,True,-1017.5,0.5550847457627118,8,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,a6f2104a19a1b339cd1b51fee034cabf8730d4d1762522353593d46e522ef154,1e9566eccb4d5a74ab034c0d8f8054e076444b255693358628adcdcf12efa48c,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,8,False,8,0.2115384615384615,0.007,1.5,218,218,218,0,0,0,0,0,0,0,218,55.599791487349826,1522.5,1.0571830985915494,0.017654386175124562,3141.25,0.0203101890391252,0.002578976285388501,0.12697943285611007,0.518348623853211,0,0,True,-1005.0,0.9121510673234812,6,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,a6f2104a19a1b339cd1b51fee034cabf8730d4d1762522353593d46e522ef154,1e9566eccb4d5a74ab034c0d8f8054e076444b255693358628adcdcf12efa48c,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,9,False,3,0.2115384615384615,0.003,2.0,218,218,218,0,0,0,0,0,0,0,218,55.599791487349826,1585.0,1.0627598495347457,0.042163432533883646,3302.5,0.0213219272052296,0.0026844323204866516,0.12590007904296027,0.4908256880733945,0,0,True,-467.5,0.5252365930599369,6,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2015-07-13,2019-07-13,2019-07-13,2020-07-13,MAR,a6f2104a19a1b339cd1b51fee034cabf8730d4d1762522353593d46e522ef154,1e9566eccb4d5a74ab034c0d8f8054e076444b255693358628adcdcf12efa48c,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,10,False,2,0.2115384615384615,0.003,1.5,218,218,218,0,0,0,0,0,0,0,218,55.599791487349826,1110.0,1.0447129909365558,0.03175483119638322,2668.75,0.01746335558173014,0.0018821525315491083,0.10777725522110904,0.4954128440366973,0,0,True,-467.5,0.5923423423423423,6,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
