session_date,net_pnl,gross_pnl,trades,wins,losses
2026-01-05,432.5,437.5,1,1,0
2026-01-06,995.0,1000.0,1,1,0
2026-01-07,188.75,193.75,1,1,0
2026-01-08,301.25,306.25,1,1,0
2026-01-16,295.0,300.0,1,1,0
2026-01-23,-167.5,-162.5,1,0,1
2026-02-06,2138.75,2143.75,1,1,0
2026-02-09,-592.5,-587.5,1,0,1
2026-02-10,-755.0,-750.0,1,0,1
2026-02-13,-317.5,-312.5,1,0,1
2026-02-17,-1467.5,-1462.5,1,0,1
2026-02-19,-80.0,-75.0,1,0,1
2026-02-20,695.0,700.0,1,1,0
2026-02-24,-467.5,-462.5,1,0,1
2026-02-26,-405.0,-400.0,1,0,1
2026-02-27,-292.5,-287.5,1,0,1
2026-03-02,-555.0,-550.0,1,0,1
2026-03-13,-505.0,-500.0,1,0,1
2026-03-25,-542.5,-537.5,1,0,1
2026-03-31,-867.5,-862.5,1,0,1
2026-04-06,957.5,962.5,1,1,0
2026-04-10,320.0,325.0,1,1,0
2026-04-13,-242.5,-237.5,1,0,1
2026-04-21,-630.0,-625.0,1,0,1
2026-04-30,676.25,681.25,1,1,0
2026-05-07,-280.0,-275.0,1,0,1
2026-05-08,470.0,475.0,1,1,0
2026-05-13,-80.0,-75.0,1,0,1
2026-05-18,882.5,887.5,1,1,0
2026-05-19,-305.0,-300.0,1,0,1
2026-06-01,301.25,306.25,1,1,0
2026-06-04,151.25,156.25,1,1,0
2026-06-09,-105.0,-100.0,1,0,1
