point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2015-01-07 09:35:00-05:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2015-01-07 15:55:00-05:00,1,370.0,370.0,150370.0,150370.0,0.0,0.0
2,2015-01-13 12:20:00-05:00,2,-480.0,-110.0,149890.0,150370.0,480.0,0.003192126088980515
3,2015-01-15 11:15:00-05:00,3,-480.0,-590.0,149410.0,150370.0,960.0,0.00638425217796103
4,2015-01-20 09:40:00-05:00,4,-480.0,-1070.0,148930.0,150370.0,1440.0,0.009576378266941543
5,2015-01-22 10:55:00-05:00,5,676.25,-393.75,149606.25,150370.0,763.75,0.005079138125955975
6,2015-01-28 10:40:00-05:00,6,-480.0,-873.75,149126.25,150370.0,1243.75,0.00827126421493649
7,2015-01-30 10:30:00-05:00,7,-480.0,-1353.75,148646.25,150370.0,1723.75,0.011463390303917005
8,2015-02-03 12:00:00-05:00,8,-480.0,-1833.75,148166.25,150370.0,2203.75,0.014655516392897519
9,2015-02-05 15:55:00-05:00,9,520.0,-1313.75,148686.25,150370.0,1683.75,0.011197379796501962
10,2015-02-10 15:40:00-05:00,10,676.25,-637.5,149362.5,150370.0,1007.5,0.006700139655516393
11,2015-02-12 15:55:00-05:00,11,457.5,-180.0,149820.0,150370.0,550.0,0.0036576444769568397
12,2015-02-17 15:55:00-05:00,12,70.0,-110.0,149890.0,150370.0,480.0,0.003192126088980515
13,2015-02-19 15:55:00-05:00,13,-67.5,-177.5,149822.5,150370.0,547.5,0.0036410188202433994
14,2015-02-23 15:55:00-05:00,14,120.0,-57.5,149942.5,150370.0,427.5,0.002842987297998271
15,2015-03-02 15:55:00-05:00,15,207.5,150.0,150150.0,150370.0,220.0,0.001463057790782736
16,2015-03-05 15:55:00-05:00,16,20.0,170.0,150170.0,150370.0,200.0,0.0013300525370752146
17,2015-03-12 15:05:00-04:00,17,676.25,846.25,150846.25,150846.25,0.0,0.0
18,2015-03-16 11:50:00-04:00,18,695.0,1541.25,151541.25,151541.25,0.0,0.0
19,2015-03-19 11:30:00-04:00,19,-492.5,1048.75,151048.75,151541.25,492.5,0.0032499401978009286
20,2015-03-27 15:55:00-04:00,20,-17.5,1031.25,151031.25,151541.25,510.0,0.003365420306352231
21,2015-04-02 15:55:00-04:00,21,370.0,1401.25,151401.25,151541.25,140.0,0.0009238408684104163
22,2015-04-07 15:35:00-04:00,22,-492.5,908.75,150908.75,151541.25,632.5,0.004173781066211345
23,2015-04-09 10:40:00-04:00,23,-492.5,416.25,150416.25,151541.25,1125.0,0.007423721264012274
24,2015-04-13 14:50:00-04:00,24,-492.5,-76.25,149923.75,151541.25,1617.5,0.010673661461813203
25,2015-04-15 15:55:00-04:00,25,132.5,56.25,150056.25,151541.25,1485.0,0.009799312068496201
