trade_id,wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_train_objective,wfa_selected_params,source_trade_id,strategy_name,session_date,direction,level_type,setup_mode,prior_profile_session,prior_value_area_high,prior_value_area_low,prior_point_of_control,prior_profile_total_volume,prior_profile_bars,value_area_fraction,boundary_type,breakout_buffer_ticks,flow_mode,orderflow_imbalance,min_orderflow_imbalance,signal_timestamp,intended_entry_timestamp,signal_flatten_time,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",1,prior_value_area_orderflow_acceptance,2015-01-07,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-01-06,2007.75,1987.0,1995.25,2002551.0,78,0.7,vah,1,signed_volume,0.10576577296519758,0.0,2015-01-07 09:35:00-05:00,2015-01-07 09:35:00-05:00,15:55:00,2015-01-07 09:35:00-05:00,2010.0,2000.75,2023.875,9.25,1,13.75,5.25,fixed_contracts,2015-01-07 15:55:00-05:00,2017.5,eod_flatten,375.0,370.0,0.8108108108108109,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",2,prior_value_area_orderflow_acceptance,2015-01-13,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-01-12,2025.75,2018.0,2022.25,1363011.0,78,0.7,vah,1,signed_volume,0.08229693731183305,0.0,2015-01-13 09:35:00-05:00,2015-01-13 09:35:00-05:00,15:55:00,2015-01-13 09:35:00-05:00,2045.75,2036.5,2059.625,9.25,1,6.0,11.75,fixed_contracts,2015-01-13 12:20:00-05:00,2036.25,stop,-475.0,-480.0,-1.027027027027027,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",3,prior_value_area_orderflow_acceptance,2015-01-15,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-01-14,2003.5,1992.75,1997.0,1950979.0,78,0.7,vah,1,signed_volume,0.025476930578411654,0.0,2015-01-15 10:25:00-05:00,2015-01-15 10:25:00-05:00,15:55:00,2015-01-15 10:25:00-05:00,2004.5,1995.25,2018.375,9.25,1,6.25,9.25,fixed_contracts,2015-01-15 11:15:00-05:00,1995.0,stop,-475.0,-480.0,-1.027027027027027,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",4,prior_value_area_orderflow_acceptance,2015-01-20,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-01-16,2003.75,1988.25,2002.0,1547941.0,78,0.7,vah,1,signed_volume,0.03280741297270223,0.0,2015-01-20 09:35:00-05:00,2015-01-20 09:35:00-05:00,15:55:00,2015-01-20 09:35:00-05:00,2022.25,2013.0,2036.125,9.25,1,0.0,10.25,fixed_contracts,2015-01-20 09:40:00-05:00,2012.75,stop,-475.0,-480.0,-1.027027027027027,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",5,prior_value_area_orderflow_acceptance,2015-01-22,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-01-21,2030.0,2018.25,2026.25,1395228.0,78,0.7,vah,1,signed_volume,0.05724767511304496,0.0,2015-01-22 10:15:00-05:00,2015-01-22 10:15:00-05:00,15:55:00,2015-01-22 10:15:00-05:00,2031.5,2022.25,2045.375,9.25,1,14.0,1.25,fixed_contracts,2015-01-22 10:55:00-05:00,2045.125,target,681.25,676.25,1.472972972972973,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",6,prior_value_area_orderflow_acceptance,2015-01-28,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-01-27,2031.75,2021.0,2025.0,1554945.0,78,0.7,vah,1,signed_volume,0.047053220024566945,0.0,2015-01-28 09:40:00-05:00,2015-01-28 09:40:00-05:00,15:55:00,2015-01-28 09:40:00-05:00,2032.75,2023.5,2046.625,9.25,1,3.25,10.5,fixed_contracts,2015-01-28 10:40:00-05:00,2023.25,stop,-475.0,-480.0,-1.027027027027027,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",7,prior_value_area_orderflow_acceptance,2015-01-30,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-01-29,2001.25,1983.0,1993.75,1742464.0,78,0.7,vah,1,signed_volume,0.05236390498920332,0.0,2015-01-30 09:35:00-05:00,2015-01-30 09:35:00-05:00,15:55:00,2015-01-30 09:35:00-05:00,2007.5,1998.25,2021.375,9.25,1,5.0,11.25,fixed_contracts,2015-01-30 10:30:00-05:00,1998.0,stop,-475.0,-480.0,-1.027027027027027,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",8,prior_value_area_orderflow_acceptance,2015-02-03,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-02-02,2002.25,1982.25,1994.25,1722694.0,78,0.7,vah,1,signed_volume,0.007155578170716194,0.0,2015-02-03 09:35:00-05:00,2015-02-03 09:35:00-05:00,15:55:00,2015-02-03 09:35:00-05:00,2030.5,2021.25,2044.375,9.25,1,4.0,9.5,fixed_contracts,2015-02-03 12:00:00-05:00,2021.0,stop,-475.0,-480.0,-1.027027027027027,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",9,prior_value_area_orderflow_acceptance,2015-02-05,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-02-04,2042.75,2034.75,2039.0,1376080.0,78,0.7,vah,1,signed_volume,0.06417980125825312,0.0,2015-02-05 09:35:00-05:00,2015-02-05 09:35:00-05:00,15:55:00,2015-02-05 09:35:00-05:00,2046.5,2037.25,2060.375,9.25,1,12.25,2.75,fixed_contracts,2015-02-05 15:55:00-05:00,2057.0,eod_flatten,525.0,520.0,1.135135135135135,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",10,prior_value_area_orderflow_acceptance,2015-02-10,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-02-09,2049.25,2042.75,2048.5,1035993.0,78,0.7,vah,1,signed_volume,0.021478561660365218,0.0,2015-02-10 09:40:00-05:00,2015-02-10 09:40:00-05:00,15:55:00,2015-02-10 09:40:00-05:00,2052.25,2043.0,2066.125,9.25,1,14.25,9.0,fixed_contracts,2015-02-10 15:40:00-05:00,2065.875,target,681.25,676.25,1.472972972972973,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
