session_date,net_pnl,gross_pnl,trades,wins,losses
2025-06-17,-242.5,-237.5,1,0,1
2025-06-24,-792.5,-787.5,1,0,1
2025-06-25,345.0,350.0,1,1,0
2025-07-07,770.0,775.0,1,1,0
2025-07-09,-817.5,-812.5,1,0,1
2025-07-14,770.0,775.0,1,1,0
2025-07-16,770.0,775.0,1,1,0
2025-07-17,782.5,787.5,1,1,0
2025-07-28,-217.5,-212.5,1,0,1
2025-07-30,57.5,62.5,1,1,0
2025-08-01,770.0,775.0,1,1,0
2025-08-06,782.5,787.5,1,1,0
2025-08-18,-155.0,-150.0,1,0,1
2025-09-04,-830.0,-825.0,1,0,1
2025-10-01,-867.5,-862.5,1,0,1
2025-10-02,832.5,837.5,1,1,0
2025-10-13,820.0,825.0,1,1,0
2025-10-16,-867.5,-862.5,1,0,1
2025-10-17,-855.0,-850.0,1,0,1
2025-10-23,-480.0,-475.0,1,0,1
2025-11-06,832.5,837.5,1,1,0
2025-11-07,-867.5,-862.5,1,0,1
2025-11-13,-880.0,-875.0,1,0,1
2025-11-17,832.5,837.5,1,1,0
2025-11-18,820.0,825.0,1,1,0
2025-11-26,-880.0,-875.0,1,0,1
2025-12-01,845.0,850.0,1,1,0
2025-12-02,845.0,850.0,1,1,0
2025-12-04,-442.5,-437.5,1,0,1
2025-12-16,845.0,850.0,1,1,0
2025-12-22,-642.5,-637.5,1,0,1
2025-12-23,-892.5,-887.5,1,0,1
2025-12-26,332.5,337.5,1,1,0
2025-12-29,395.0,400.0,1,1,0
2025-12-31,57.5,62.5,1,1,0
2026-01-09,857.5,862.5,1,1,0
2026-01-14,-892.5,-887.5,1,0,1
2026-01-22,-892.5,-887.5,1,0,1
2026-01-28,870.0,875.0,1,1,0
2026-02-17,-880.0,-875.0,1,0,1
2026-02-24,-117.5,-112.5,1,0,1
2026-02-25,-492.5,-487.5,1,0,1
2026-03-02,845.0,850.0,1,1,0
2026-03-05,845.0,850.0,1,1,0
2026-03-09,-855.0,-850.0,1,0,1
2026-03-10,-867.5,-862.5,1,0,1
2026-03-11,832.5,837.5,1,1,0
2026-03-12,820.0,825.0,1,1,0
2026-03-16,-867.5,-862.5,1,0,1
2026-03-17,832.5,837.5,1,1,0
2026-03-19,820.0,825.0,1,1,0
2026-03-20,-842.5,-837.5,1,0,1
2026-03-24,820.0,825.0,1,1,0
2026-04-07,820.0,825.0,1,1,0
2026-04-23,-917.5,-912.5,1,0,1
2026-04-24,882.5,887.5,1,1,0
2026-04-30,-917.5,-912.5,1,0,1
2026-05-11,920.0,925.0,1,1,0
2026-05-18,-955.0,-950.0,1,0,1
2026-05-20,-955.0,-950.0,1,0,1
2026-05-21,357.5,362.5,1,1,0
2026-05-22,-955.0,-950.0,1,0,1
2026-05-27,-505.0,-500.0,1,0,1
2026-06-02,945.0,950.0,1,1,0
2026-06-03,-967.5,-962.5,1,0,1
2026-06-08,-955.0,-950.0,1,0,1
