trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,share_mode,lookback_minutes,trend_lookback_minutes,rank_window,configured_direction,share_rank,share_value,es_pullback_return_ticks,trend_return_ticks,trend_start_timestamp,trend_end_timestamp,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,crowding_signal_timestamp,crowding_intended_entry_timestamp,signal_close_timestamp,intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,trend_filtered_mes_participation_crowding,2025-06-17,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.6547619047619048,0.082545192948646,-15.0,64.0,2025-06-17 09:45:00-04:00,2025-06-17 10:15:00-04:00,0.55,4.0,4.0,2025-06-17 10:30:00-04:00,2025-06-17 10:30:00-04:00,2025-06-17 10:30:00-04:00,2025-06-17 10:30:00-04:00,0.0025,1.5,12:00:00,6074.75,2025-06-17 10:29:00-04:00,6075.5,6074.0,2025-06-17 10:30:00-04:00,2025-06-17 10:30:00-04:00,6074.75,6059.5,6090.0,15.25,1,6.5,9.75,fixed_contracts,2025-06-17 12:00:00-04:00,6070.0,eod_flatten,-237.5,-242.5,-0.3114754098360656,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,trend_filtered_mes_participation_crowding,2025-06-24,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.6825396825396826,0.0845286750357651,21.0,-36.0,2025-06-24 09:45:00-04:00,2025-06-24 10:15:00-04:00,0.55,4.0,4.0,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,0.0025,1.5,12:00:00,6121.75,2025-06-24 10:29:00-04:00,6122.75,6120.5,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,6121.75,6137.25,6106.25,15.5,1,0.5,15.75,fixed_contracts,2025-06-24 11:38:00-04:00,6137.5,stop,-787.5,-792.5,-1.0161290322580645,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,trend_filtered_mes_participation_crowding,2025-06-25,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.6388888888888888,0.0824373319184573,10.0,-34.0,2025-06-25 09:45:00-04:00,2025-06-25 10:15:00-04:00,0.55,4.0,4.0,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,0.0025,1.5,12:00:00,6152.25,2025-06-25 10:29:00-04:00,6152.5,6151.0,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,6152.0,6167.5,6136.5,15.5,1,12.0,7.5,fixed_contracts,2025-06-25 12:00:00-04:00,6145.0,eod_flatten,350.0,345.0,0.45161290322580644,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,trend_filtered_mes_participation_crowding,2025-07-07,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.8015873015873016,0.0931916714434496,12.0,-27.0,2025-07-07 09:45:00-04:00,2025-07-07 10:15:00-04:00,0.55,4.0,4.0,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,0.0025,1.5,12:00:00,6299.0,2025-07-07 10:29:00-04:00,6299.5,6297.5,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,6298.75,6314.5,6283.0,15.75,1,17.5,0.75,fixed_contracts,2025-07-07 11:46:00-04:00,6283.25,target,775.0,770.0,0.9841269841269841,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,trend_filtered_mes_participation_crowding,2025-07-09,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.5555555555555556,0.0785593679057029,-35.0,6.0,2025-07-09 09:45:00-04:00,2025-07-09 10:15:00-04:00,0.55,4.0,4.0,2025-07-09 10:30:00-04:00,2025-07-09 10:30:00-04:00,2025-07-09 10:30:00-04:00,2025-07-09 10:30:00-04:00,0.0025,1.5,12:00:00,6301.0,2025-07-09 10:29:00-04:00,6302.75,6301.0,2025-07-09 10:30:00-04:00,2025-07-09 10:30:00-04:00,6301.5,6285.5,6317.5,16.0,1,0.0,16.0,fixed_contracts,2025-07-09 10:36:00-04:00,6285.25,stop,-812.5,-817.5,-1.015625,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,trend_filtered_mes_participation_crowding,2025-07-14,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7380952380952381,0.0894866742171798,-10.0,40.0,2025-07-14 09:45:00-04:00,2025-07-14 10:15:00-04:00,0.55,4.0,4.0,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,0.0025,1.5,12:00:00,6289.25,2025-07-14 10:29:00-04:00,6289.75,6288.25,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,6289.5,6273.75,6305.25,15.75,1,16.25,3.75,fixed_contracts,2025-07-14 11:39:00-04:00,6305.0,target,775.0,770.0,0.9841269841269841,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,trend_filtered_mes_participation_crowding,2025-07-16,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.6626984126984127,0.0845352951412385,12.0,-37.0,2025-07-16 09:45:00-04:00,2025-07-16 10:15:00-04:00,0.55,4.0,4.0,2025-07-16 10:30:00-04:00,2025-07-16 10:30:00-04:00,2025-07-16 10:30:00-04:00,2025-07-16 10:30:00-04:00,0.0025,1.5,12:00:00,6286.0,2025-07-16 10:29:00-04:00,6287.25,6283.25,2025-07-16 10:30:00-04:00,2025-07-16 10:30:00-04:00,6285.5,6301.25,6269.75,15.75,1,18.75,9.5,fixed_contracts,2025-07-16 11:17:00-04:00,6270.0,target,775.0,770.0,0.9841269841269841,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,trend_filtered_mes_participation_crowding,2025-07-17,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.6706349206349206,0.0852115366249642,-30.0,24.0,2025-07-17 09:45:00-04:00,2025-07-17 10:15:00-04:00,0.55,4.0,4.0,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,0.0025,1.5,12:00:00,6315.0,2025-07-17 10:29:00-04:00,6315.5,6311.75,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,6315.25,6299.25,6331.25,16.0,1,16.5,4.75,fixed_contracts,2025-07-17 11:40:00-04:00,6331.0,target,787.5,782.5,0.984375,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,trend_filtered_mes_participation_crowding,2025-07-28,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.6865079365079365,0.0855861558537677,-9.0,27.0,2025-07-28 09:45:00-04:00,2025-07-28 10:15:00-04:00,0.55,4.0,4.0,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,0.0025,1.5,12:00:00,6431.25,2025-07-28 10:29:00-04:00,6431.25,6430.0,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,6431.25,6415.0,6447.5,16.25,1,1.5,14.75,fixed_contracts,2025-07-28 12:00:00-04:00,6427.0,eod_flatten,-212.5,-217.5,-0.26153846153846155,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,trend_filtered_mes_participation_crowding,2025-07-30,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.5873015873015873,0.0814690827808575,27.0,-13.0,2025-07-30 09:45:00-04:00,2025-07-30 10:15:00-04:00,0.55,4.0,4.0,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,0.0025,1.5,12:00:00,6416.0,2025-07-30 10:29:00-04:00,6416.25,6415.0,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,6415.5,6431.75,6399.25,16.25,1,13.25,5.5,fixed_contracts,2025-07-30 12:00:00-04:00,6414.25,eod_flatten,62.5,57.5,0.07692307692307693,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
