run_id,ending_balance,net_pnl,trader_net_pnl,account_ending_balance,final_account_phase,max_drawdown,worst_day,best_day,best_day_concentration,max_consecutive_losses,account_breached,breach_reason,payout_eligible,profit_before_drawdown,drawdown_before_profit,accounts_purchased,accounts_breached,accounts_terminated,challenge_passes,funded_accounts_started,payout_count,gross_payouts,net_payouts,total_challenge_fees
1,52913.25,2913.25,2913.25,50087.5,funded,3850.0,-842.5,770.0,0.017741935483870968,4,True,trailing_drawdown,True,True,False,4,3,0,2,2,3,3672.5,3305.25,392.0
2,54300.25,4300.25,4300.25,50160.0,funded,3281.25,-842.5,770.0,0.017477160528854337,6,True,trailing_drawdown,True,True,False,5,4,0,3,3,6,5322.5,4790.25,490.0
3,54437.078125,4437.078125,4437.078125,49295.0,funded,3504.53125,-842.5,770.0,0.016805805641949036,6,True,trailing_drawdown,True,True,True,5,4,0,3,3,6,5474.53125,4927.078125,490.0
4,55373.375,5373.375,5373.375,50680.0,funded,4822.5,-842.5,770.0,0.017234625930278104,6,True,trailing_drawdown,True,True,True,6,5,0,3,3,4,6623.75,5961.375,588.0
5,53401.8125,3401.8125,3401.8125,48242.5,challenge,4065.0,-842.5,770.0,0.017678796923430145,6,True,trailing_drawdown,True,True,False,6,5,0,4,4,4,4433.125,3989.8125,588.0
6,52909.625,2909.625,2909.625,50692.5,funded,3106.25,-842.5,770.0,0.01736678883563575,6,True,trailing_drawdown,True,True,False,6,5,0,4,4,3,3886.25,3497.625,588.0
7,54486.3125,4486.3125,4486.3125,50890.0,challenge,3573.125,-842.5,770.0,0.01758191574380637,5,True,trailing_drawdown,True,True,True,6,5,0,3,3,5,5638.125,5074.3125,588.0
8,51113.0,1113.0,1113.0,49157.5,challenge,2650.0,-842.5,770.0,0.017055207929564206,5,True,trailing_drawdown,True,True,False,6,5,0,5,5,3,1890.0,1701.0,588.0
9,54652.25,4652.25,4652.25,51630.0,challenge,4190.0,-842.5,770.0,0.017203820588728148,5,True,trailing_drawdown,True,True,True,6,5,0,2,2,4,5822.5,5240.25,588.0
10,56142.46875,6142.46875,6142.46875,49347.5,funded,4025.0,-842.5,770.0,0.016937967443906733,5,True,trailing_drawdown,True,True,True,7,5,1,4,4,5,7587.1875,6828.46875,686.0
11,53870.375,3870.375,3870.375,50180.0,funded,4440.0,-842.5,770.0,0.01759195796207448,6,True,trailing_drawdown,True,True,True,6,5,0,3,3,5,4953.75,4458.375,588.0
12,56023.4140625,6023.4140625,6023.4140625,49948.75,funded,2642.5,-842.5,770.0,0.016563592363538587,5,True,trailing_drawdown,True,True,True,6,4,1,3,3,7,7346.015625,6611.4140625,588.0
13,55463.796875,5463.796875,5463.796875,51685.0,challenge,2889.6875,-842.5,770.0,0.016840723932418394,4,True,trailing_drawdown,True,True,True,6,4,1,3,3,7,6724.21875,6051.796875,588.0
