run_id,ending_balance,net_pnl,trader_net_pnl,account_ending_balance,final_account_phase,max_drawdown,worst_day,best_day,best_day_concentration,max_consecutive_losses,account_breached,breach_reason,payout_eligible,profit_before_drawdown,drawdown_before_profit,accounts_purchased,accounts_breached,accounts_terminated,challenge_passes,funded_accounts_started,payout_count,gross_payouts,net_payouts,total_challenge_fees
1,57456.59375,7456.59375,7456.59375,50257.5,funded,6347.8125,-1230.0,1882.5,0.03589816933638444,4,True,trailing_drawdown,True,True,False,6,5,0,3,3,6,8938.4375,8044.59375,588.0
2,60301.1875,10301.1875,10301.1875,50680.0,challenge,5369.0625,-1230.0,1882.5,0.03589474687768138,6,True,trailing_drawdown,True,True,True,8,6,1,2,2,8,12316.875,11085.1875,784.0
3,54726.9375,4726.9375,4726.9375,50035.0,challenge,3659.375,-1230.0,1882.5,0.03524125988674124,6,True,trailing_drawdown,True,True,False,7,6,0,4,4,5,6014.375,5412.9375,686.0
4,55368.1875,5368.1875,5368.1875,51147.5,challenge,5553.75,-1230.0,1882.5,0.03570243231710208,4,True,trailing_drawdown,True,True,True,7,6,0,4,4,5,6726.875,6054.1875,686.0
5,53775.625,3775.625,3775.625,51521.25,funded,3487.5,-1230.0,1882.5,0.03747200796217965,6,True,trailing_drawdown,True,True,False,8,7,0,4,4,5,5066.25,4559.625,784.0
6,57057.8125,7057.8125,7057.8125,50820.0,challenge,4517.5,-942.5,1882.5,0.03794024285786265,4,True,trailing_drawdown,True,True,False,8,6,1,3,3,6,8713.125,7841.8125,784.0
7,55168.5,5168.5,5168.5,52640.0,funded,4920.0,-1230.0,1882.5,0.036009755631007605,8,True,trailing_drawdown,True,True,True,7,6,0,4,4,5,6505.0,5854.5,686.0
8,54788.5,4788.5,4788.5,51580.0,challenge,5202.5,-1230.0,1882.5,0.035753288067992973,6,True,trailing_drawdown,True,True,False,5,4,0,3,3,5,5865.0,5278.5,490.0
9,56997.0625,6997.0625,6997.0625,50732.5,funded,5212.5,-1230.0,1882.5,0.036986099513728575,8,True,trailing_drawdown,True,True,False,8,6,1,3,3,5,8645.625,7781.0625,784.0
10,51438.75,1438.75,1438.75,52222.5,funded,3035.0,-1230.0,1882.5,0.03607185628742515,7,True,trailing_drawdown,True,True,False,10,9,0,5,5,3,2687.5,2418.75,980.0
11,56634.5,6634.5,6634.5,51463.75,challenge,4904.375,-1230.0,1882.5,0.03610471806674338,6,True,trailing_drawdown,True,True,False,6,5,0,3,3,6,8025.0,7222.5,588.0
12,56776.125,6776.125,6776.125,53490.0,funded,4752.5,-1230.0,1882.5,0.03476935863693032,8,True,trailing_drawdown,True,True,True,7,6,0,3,3,8,8291.25,7462.125,686.0
13,54866.15625,4866.15625,4866.15625,52739.6875,funded,3966.25,-1230.0,1882.5,0.035612097708623995,8,True,trailing_drawdown,True,True,False,7,6,0,4,4,6,6169.0625,5552.15625,686.0
14,56103.25,6103.25,6103.25,49010.0,challenge,2845.0,-1230.0,1863.75,0.03563745876953965,6,True,trailing_drawdown,True,True,False,8,6,1,4,4,6,7652.5,6887.25,784.0
15,56896.375,6896.375,6896.375,52931.875,funded,3928.125,-1230.0,1882.5,0.034836918806384454,7,True,trailing_drawdown,True,True,True,8,7,0,4,4,6,8533.75,7680.375,784.0
16,57081.5625,7081.5625,7081.5625,50377.5,funded,5488.125,-1167.5,1882.5,0.03576177811550152,5,True,trailing_drawdown,True,True,False,7,6,0,3,3,5,8630.625,7767.5625,686.0
17,55126.5625,5126.5625,5126.5625,52060.625,funded,4101.25,-1230.0,1882.5,0.03541529489229611,6,True,trailing_drawdown,True,True,True,5,4,0,3,3,5,6240.625,5616.5625,490.0
18,56778.96875,6778.96875,6778.96875,49057.5,challenge,4252.5,-1230.0,1882.5,0.03714116602545132,4,True,trailing_drawdown,True,True,False,9,7,1,5,5,5,8512.1875,7660.96875,882.0
19,56660.53125,6660.53125,6660.53125,50795.0,challenge,3805.0,-1230.0,1882.5,0.03515570288062001,5,True,trailing_drawdown,True,True,True,7,5,1,4,4,5,8162.8125,7346.53125,686.0
20,52475.125,2475.125,2475.125,53010.0,funded,2760.0,-1230.0,1882.5,0.03796511041645659,6,True,trailing_drawdown,True,True,True,8,7,0,3,3,4,3621.25,3259.125,784.0
21,60218.8125,10218.8125,10218.8125,51992.5,challenge,3547.5,-1230.0,1882.5,0.03570412517780939,5,True,trailing_drawdown,True,True,False,10,8,1,2,2,7,12443.125,11198.8125,980.0
22,52840.0625,2840.0625,2840.0625,52746.25,funded,3550.0,-1230.0,1882.5,0.037277227722772276,6,True,trailing_drawdown,True,True,True,9,8,0,4,4,4,4135.625,3722.0625,882.0
23,54299.5625,4299.5625,4299.5625,,,5440.0,-1230.0,1882.5,0.03789251207729469,5,True,trailing_drawdown,True,True,False,6,6,0,4,4,6,5430.625,4887.5625,588.0
24,58760.5,8760.5,8760.5,52047.5,challenge,5272.5,-1230.0,1882.5,0.03469246717346233,7,True,trailing_drawdown,True,True,False,8,7,0,4,4,7,10605.0,9544.5,784.0
25,56482.75,6482.75,6482.75,,,5795.0,-1230.0,1882.5,0.03671737858396723,5,True,trailing_drawdown,True,True,False,5,5,0,4,4,6,7747.5,6972.75,490.0
26,54859.390625,4859.390625,4859.390625,52095.46875,funded,3242.5,-1230.0,1882.5,0.035122906851998696,7,True,trailing_drawdown,True,True,True,6,5,0,4,4,5,6052.65625,5447.390625,588.0
27,59736.03125,9736.03125,9736.03125,48765.0,challenge,3788.4375,-1230.0,1882.5,0.03680531795297913,5,True,trailing_drawdown,True,True,False,9,7,1,2,2,7,11797.8125,10618.03125,882.0
28,56718.46875,6718.46875,6718.46875,49207.5,challenge,4928.125,-1167.5,1882.5,0.0370935960591133,5,True,trailing_drawdown,True,True,False,7,6,0,3,3,7,8227.1875,7404.46875,686.0
29,52383.25,2383.25,2383.25,50698.125,funded,2270.0,-1230.0,1882.5,0.03636275835425922,5,True,trailing_drawdown,True,True,False,5,4,0,4,4,4,3192.5,2873.25,490.0
30,51849.75,1849.75,1849.75,51148.75,funded,4236.25,-1230.0,1882.5,0.03526601723491945,6,True,trailing_drawdown,True,True,True,7,6,0,5,5,2,2817.5,2535.75,686.0
31,52588.59375,2588.59375,2588.59375,,,3494.6875,-1230.0,1882.5,0.03803606607061676,7,True,trailing_drawdown,True,True,False,7,7,0,4,4,3,3638.4375,3274.59375,686.0
32,51300.625,1300.625,1300.625,52367.5,funded,3817.5,-1230.0,1882.5,0.03584348819497334,4,True,trailing_drawdown,True,True,False,8,7,0,4,4,2,2316.25,2084.625,784.0
33,56698.640625,6698.640625,6698.640625,50812.5,challenge,4081.40625,-1230.0,1882.5,0.034992332357451555,5,True,trailing_drawdown,True,True,False,7,6,0,3,3,6,8205.15625,7384.640625,686.0
34,56887.4140625,6887.4140625,6887.4140625,50870.0,challenge,3458.28125,-1230.0,1882.5,0.03503303247417884,5,True,trailing_drawdown,True,True,False,6,4,1,3,3,8,8306.015625,7475.4140625,588.0
35,55917.3125,5917.3125,5917.3125,51520.625,funded,3634.375,-1230.0,1882.5,0.035183627698345946,7,True,trailing_drawdown,True,True,True,6,5,0,3,3,7,7228.125,6505.3125,588.0
36,53997.6875,3997.6875,3997.6875,52551.25,challenge,3901.875,-1230.0,1882.5,0.03705708661417323,8,True,trailing_drawdown,True,True,True,9,8,0,4,4,5,5421.875,4879.6875,882.0
37,58643.890625,8643.890625,8643.890625,49832.5,funded,3997.5,-1230.0,1882.5,0.034668508287292815,5,True,trailing_drawdown,True,True,False,6,4,1,3,3,8,10257.65625,9231.890625,588.0
38,50111.375,111.375,111.375,49662.5,funded,2930.0,-1230.0,1863.75,0.03703795707472178,6,True,trailing_drawdown,True,True,False,9,8,0,7,7,1,1103.75,993.375,882.0
39,59598.625,9598.625,9598.625,50077.5,challenge,5510.0,-1230.0,1882.5,0.03681251527743828,12,True,trailing_drawdown,True,True,True,8,6,1,3,3,8,11536.25,10382.625,784.0
40,57036.28125,7036.28125,7036.28125,50530.0,challenge,4008.4375,-1230.0,1882.5,0.03559610475560178,5,True,trailing_drawdown,True,True,False,7,5,1,3,3,5,8580.3125,7722.28125,686.0
41,52782.8125,2782.8125,2782.8125,52145.0,challenge,3681.25,-1230.0,1882.5,0.035239610632721824,8,True,trailing_drawdown,True,True,True,8,7,0,4,4,4,3963.125,3566.8125,784.0
