trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,share_mode,lookback_minutes,trend_lookback_minutes,rank_window,configured_direction,share_rank,share_value,es_pullback_return_ticks,trend_return_ticks,trend_start_timestamp,trend_end_timestamp,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,crowding_signal_timestamp,crowding_intended_entry_timestamp,signal_close_timestamp,intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,trend_filtered_mes_participation_crowding,2025-06-17,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.4761904761904761,0.3565834331521238,-15.0,64.0,2025-06-17 09:45:00-04:00,2025-06-17 10:15:00-04:00,0.4,4.0,4.0,2025-06-17 10:30:00-04:00,2025-06-17 10:30:00-04:00,2025-06-17 10:30:00-04:00,2025-06-17 10:30:00-04:00,0.0045,1.5,12:00:00,6074.75,2025-06-17 10:29:00-04:00,6075.5,6074.0,2025-06-17 10:30:00-04:00,2025-06-17 10:30:00-04:00,6074.75,6038.25,6147.75,36.5,1,6.5,9.75,fixed_contracts,2025-06-17 12:00:00-04:00,6070.0,eod_flatten,-237.5,-242.5,-0.13013698630136986,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,trend_filtered_mes_participation_crowding,2025-06-24,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.746031746031746,0.4027032929699823,21.0,-36.0,2025-06-24 09:45:00-04:00,2025-06-24 10:15:00-04:00,0.4,4.0,4.0,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,0.0045,1.5,12:00:00,6121.75,2025-06-24 10:29:00-04:00,6122.75,6120.5,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,6121.75,6158.5,6048.25,36.75,1,0.5,16.5,fixed_contracts,2025-06-24 12:00:00-04:00,6134.5,eod_flatten,-637.5,-642.5,-0.3469387755102041,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,trend_filtered_mes_participation_crowding,2025-06-25,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.7103174603174603,0.390563098152682,10.0,-34.0,2025-06-25 09:45:00-04:00,2025-06-25 10:15:00-04:00,0.4,4.0,4.0,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,0.0045,1.5,12:00:00,6152.25,2025-06-25 10:29:00-04:00,6152.5,6151.0,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,6152.0,6189.0,6078.0,37.0,1,12.0,7.5,fixed_contracts,2025-06-25 12:00:00-04:00,6145.0,eod_flatten,350.0,345.0,0.1891891891891892,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,trend_filtered_mes_participation_crowding,2025-06-27,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5753968253968254,0.3707446919125751,-7.0,59.0,2025-06-27 09:45:00-04:00,2025-06-27 10:15:00-04:00,0.4,4.0,4.0,2025-06-27 10:30:00-04:00,2025-06-27 10:30:00-04:00,2025-06-27 10:30:00-04:00,2025-06-27 10:30:00-04:00,0.0045,1.5,12:00:00,6224.0,2025-06-27 10:29:00-04:00,6224.25,6222.75,2025-06-27 10:30:00-04:00,2025-06-27 10:30:00-04:00,6224.25,6186.75,6299.25,37.5,1,11.75,3.5,fixed_contracts,2025-06-27 12:00:00-04:00,6233.75,eod_flatten,475.0,470.0,0.25333333333333335,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,trend_filtered_mes_participation_crowding,2025-07-01,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5198412698412699,0.364615360845449,-22.0,43.0,2025-07-01 09:45:00-04:00,2025-07-01 10:15:00-04:00,0.4,4.0,4.0,2025-07-01 10:30:00-04:00,2025-07-01 10:30:00-04:00,2025-07-01 10:30:00-04:00,2025-07-01 10:30:00-04:00,0.0045,1.5,12:00:00,6243.5,2025-07-01 10:29:00-04:00,6243.75,6241.25,2025-07-01 10:30:00-04:00,2025-07-01 10:30:00-04:00,6243.75,6206.25,6318.75,37.5,1,4.75,16.25,fixed_contracts,2025-07-01 12:00:00-04:00,6241.75,eod_flatten,-100.0,-105.0,-0.05333333333333334,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,trend_filtered_mes_participation_crowding,2025-07-07,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6984126984126984,0.3886248156039993,12.0,-27.0,2025-07-07 09:45:00-04:00,2025-07-07 10:15:00-04:00,0.4,4.0,4.0,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,0.0045,1.5,12:00:00,6299.0,2025-07-07 10:29:00-04:00,6299.5,6297.5,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,6298.75,6336.75,6222.75,38.0,1,19.0,0.75,fixed_contracts,2025-07-07 12:00:00-04:00,6286.0,eod_flatten,637.5,632.5,0.3355263157894737,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,trend_filtered_mes_participation_crowding,2025-07-14,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6865079365079365,0.3866284586480434,-10.0,40.0,2025-07-14 09:45:00-04:00,2025-07-14 10:15:00-04:00,0.4,4.0,4.0,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,0.0045,1.5,12:00:00,6289.25,2025-07-14 10:29:00-04:00,6289.75,6288.25,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,6289.5,6251.75,6365.0,37.75,1,17.5,3.75,fixed_contracts,2025-07-14 12:00:00-04:00,6301.75,eod_flatten,612.5,607.5,0.32450331125827814,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,trend_filtered_mes_participation_crowding,2025-07-16,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5476190476190477,0.3698911353032659,12.0,-37.0,2025-07-16 09:45:00-04:00,2025-07-16 10:15:00-04:00,0.4,4.0,4.0,2025-07-16 10:30:00-04:00,2025-07-16 10:30:00-04:00,2025-07-16 10:30:00-04:00,2025-07-16 10:30:00-04:00,0.0045,1.5,12:00:00,6286.0,2025-07-16 10:29:00-04:00,6287.25,6283.25,2025-07-16 10:30:00-04:00,2025-07-16 10:30:00-04:00,6285.5,6323.25,6210.0,37.75,1,44.5,9.5,fixed_contracts,2025-07-16 12:00:00-04:00,6281.25,eod_flatten,212.5,207.5,0.11258278145695365,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,trend_filtered_mes_participation_crowding,2025-07-17,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5912698412698413,0.3780756402995406,-30.0,24.0,2025-07-17 09:45:00-04:00,2025-07-17 10:15:00-04:00,0.4,4.0,4.0,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,0.0045,1.5,12:00:00,6315.0,2025-07-17 10:29:00-04:00,6315.5,6311.75,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,6315.25,6277.25,6391.25,38.0,1,18.5,4.75,fixed_contracts,2025-07-17 12:00:00-04:00,6333.0,eod_flatten,887.5,882.5,0.46710526315789475,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,trend_filtered_mes_participation_crowding,2025-07-28,long,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.4841269841269841,0.3646702884148227,-9.0,27.0,2025-07-28 09:45:00-04:00,2025-07-28 10:15:00-04:00,0.4,4.0,4.0,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,0.0045,1.5,12:00:00,6431.25,2025-07-28 10:29:00-04:00,6431.25,6430.0,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,6431.25,6392.5,6508.75,38.75,1,1.5,14.75,fixed_contracts,2025-07-28 12:00:00-04:00,6427.0,eod_flatten,-212.5,-217.5,-0.10967741935483871,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
11,trend_filtered_mes_participation_crowding,2025-07-30,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5674603174603174,0.3730540961276513,27.0,-13.0,2025-07-30 09:45:00-04:00,2025-07-30 10:15:00-04:00,0.4,4.0,4.0,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,0.0045,1.5,12:00:00,6416.0,2025-07-30 10:29:00-04:00,6416.25,6415.0,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,6415.5,6454.0,6338.5,38.5,1,13.25,5.5,fixed_contracts,2025-07-30 12:00:00-04:00,6414.25,eod_flatten,62.5,57.5,0.032467532467532464,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
12,trend_filtered_mes_participation_crowding,2025-08-01,short,trend_filtered_mes_participation_morning_trade_trend_pullback_reversal_1030,morning_trade_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5873015873015873,0.3777271112653135,58.0,-16.0,2025-08-01 09:45:00-04:00,2025-08-01 10:15:00-04:00,0.4,4.0,4.0,2025-08-01 10:30:00-04:00,2025-08-01 10:30:00-04:00,2025-08-01 10:30:00-04:00,2025-08-01 10:30:00-04:00,0.0045,1.5,12:00:00,6281.0,2025-08-01 10:29:00-04:00,6281.5,6278.25,2025-08-01 10:30:00-04:00,2025-08-01 10:30:00-04:00,6280.75,6318.5,6205.25,37.75,1,20.25,7.25,fixed_contracts,2025-08-01 12:00:00-04:00,6287.5,eod_flatten,-337.5,-342.5,-0.17880794701986755,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
