point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2023-08-25 10:30:00-04:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2023-08-25 12:00:00-04:00,1,-330.0,-330.0,149670.0,150000.0,330.0,0.0022
2,2023-08-30 12:00:00-04:00,2,882.5,552.5,150552.5,150552.5,0.0,0.0
3,2023-09-11 12:00:00-04:00,3,432.5,985.0,150985.0,150985.0,0.0,0.0
4,2023-09-13 12:00:00-04:00,4,-592.5,392.5,150392.5,150985.0,592.5,0.003924230883862636
5,2023-10-05 12:00:00-04:00,5,682.5,1075.0,151075.0,151075.0,0.0,0.0
6,2023-10-18 12:00:00-04:00,6,-555.0,520.0,150520.0,151075.0,555.0,0.003673672017209995
7,2023-10-19 12:00:00-04:00,7,470.0,990.0,150990.0,151075.0,85.0,0.0005626344530862155
8,2023-11-02 12:00:00-04:00,8,-305.0,685.0,150685.0,151075.0,390.0,0.002581499255336753
9,2023-11-06 12:00:00-05:00,9,-167.5,517.5,150517.5,151075.0,557.5,0.0036902200893595897
10,2023-11-22 12:00:00-05:00,10,-292.5,225.0,150225.0,151075.0,850.0,0.005626344530862155
11,2023-11-27 12:00:00-05:00,11,182.5,407.5,150407.5,151075.0,667.5,0.004418335263941751
12,2023-12-01 12:00:00-05:00,12,1320.0,1727.5,151727.5,151727.5,0.0,0.0
13,2023-12-06 12:00:00-05:00,13,-217.5,1510.0,151510.0,151727.5,217.5,0.0014334909624161738
14,2023-12-11 12:00:00-05:00,14,132.5,1642.5,151642.5,151727.5,85.0,0.0005602148588752863
15,2023-12-27 12:00:00-05:00,15,-42.5,1600.0,151600.0,151727.5,127.5,0.0008403222883129294
16,2024-01-04 12:00:00-05:00,16,-55.0,1545.0,151545.0,151727.5,182.5,0.0012028142558204676
17,2024-01-05 12:00:00-05:00,17,-380.0,1165.0,151165.0,151727.5,562.5,0.003707304213145277
18,2024-01-10 12:00:00-05:00,18,-142.5,1022.5,151022.5,151727.5,705.0,0.00464648794714208
19,2024-01-17 12:00:00-05:00,19,157.5,1180.0,151180.0,151727.5,547.5,0.003608442767461403
20,2024-01-23 12:00:00-05:00,20,-217.5,962.5,150962.5,151727.5,765.0,0.005041933729877577
21,2024-01-24 12:00:00-05:00,21,-417.5,545.0,150545.0,151727.5,1182.5,0.007793577301412071
22,2024-01-26 12:00:00-05:00,22,-342.5,202.5,150202.5,151727.5,1525.0,0.010050913644527195
23,2024-01-29 12:00:00-05:00,23,195.0,397.5,150397.5,151727.5,1330.0,0.008765714850636833
24,2024-02-06 12:00:00-05:00,24,45.0,442.5,150442.5,151727.5,1285.0,0.008469130513585211
25,2024-02-12 12:00:00-05:00,25,-1017.5,-575.0,149425.0,151727.5,2302.5,0.015175231912474666
26,2024-02-15 12:00:00-05:00,26,20.0,-555.0,149445.0,151727.5,2282.5,0.015043416651562835
27,2024-02-21 12:00:00-05:00,27,270.0,-285.0,149715.0,151727.5,2012.5,0.013263910629253101
28,2024-02-29 12:00:00-05:00,28,482.5,197.5,150197.5,151727.5,1530.0,0.010083867459755154
29,2024-03-04 12:00:00-05:00,29,-155.0,42.5,150042.5,151727.5,1685.0,0.011105435731821852
30,2024-03-11 12:00:00-04:00,30,-967.5,-925.0,149075.0,151727.5,2652.5,0.017481998978431727
31,2024-03-19 12:00:00-04:00,31,845.0,-80.0,149920.0,151727.5,1807.5,0.011912804204906823
32,2024-03-22 12:00:00-04:00,32,45.0,-35.0,149965.0,151727.5,1762.5,0.011616219867855201
33,2024-03-25 12:00:00-04:00,33,45.0,10.0,150010.0,151727.5,1717.5,0.011319635530803578
34,2024-04-02 12:00:00-04:00,34,7.5,17.5,150017.5,151727.5,1710.0,0.011270204807961641
35,2024-04-15 12:00:00-04:00,35,107.5,125.0,150125.0,151727.5,1602.5,0.010561697780560545
36,2024-04-16 12:00:00-04:00,36,520.0,645.0,150645.0,151727.5,1082.5,0.00713450099685291
37,2024-04-17 12:00:00-04:00,37,1320.0,1965.0,151965.0,151965.0,0.0,0.0
38,2024-04-22 12:00:00-04:00,38,445.0,2410.0,152410.0,152410.0,0.0,0.0
39,2024-04-26 12:00:00-04:00,39,232.5,2642.5,152642.5,152642.5,0.0,0.0
40,2024-05-02 12:00:00-04:00,40,-392.5,2250.0,152250.0,152642.5,392.5,0.00257136773834286
41,2024-05-06 12:00:00-04:00,41,7.5,2257.5,152257.5,152642.5,385.0,0.002522233322960512
42,2024-05-24 12:00:00-04:00,42,-442.5,1815.0,151815.0,152642.5,827.5,0.005421163830519023
43,2024-05-28 12:00:00-04:00,43,-267.5,1547.5,151547.5,152642.5,1095.0,0.0071736246458227555
44,2024-05-30 12:00:00-04:00,44,95.0,1642.5,151642.5,152642.5,1000.0,0.006551255384313019
45,2024-06-04 12:00:00-04:00,45,857.5,2500.0,152500.0,152642.5,142.5,0.0009335538922646052
46,2024-06-14 12:00:00-04:00,46,-292.5,2207.5,152207.5,152642.5,435.0,0.0028497960921761633
47,2024-06-17 12:00:00-04:00,47,682.5,2890.0,152890.0,152890.0,0.0,0.0
48,2024-06-20 12:00:00-04:00,48,332.5,3222.5,153222.5,153222.5,0.0,0.0
49,2024-06-21 12:00:00-04:00,49,557.5,3780.0,153780.0,153780.0,0.0,0.0
50,2024-06-24 12:00:00-04:00,50,345.0,4125.0,154125.0,154125.0,0.0,0.0
51,2024-06-26 12:00:00-04:00,51,745.0,4870.0,154870.0,154870.0,0.0,0.0
52,2024-06-27 12:00:00-04:00,52,-705.0,4165.0,154165.0,154870.0,705.0,0.0045522050752243816
53,2024-06-28 12:00:00-04:00,53,-992.5,3172.5,153172.5,154870.0,1697.5,0.010960805837153743
54,2024-07-01 12:00:00-04:00,54,-117.5,3055.0,153055.0,154870.0,1815.0,0.011719506683024471
55,2024-07-02 12:00:00-04:00,55,-192.5,2862.5,152862.5,154870.0,2007.5,0.01296248466455737
56,2024-07-05 12:00:00-04:00,56,-780.0,2082.5,152082.5,154870.0,2787.5,0.01799896687544392
57,2024-07-10 12:00:00-04:00,57,232.5,2315.0,152315.0,154870.0,2555.0,0.0164977077548912
58,2024-07-22 12:00:00-04:00,58,720.0,3035.0,153035.0,154870.0,1835.0,0.011848647252534384
59,2024-07-26 12:00:00-04:00,59,-642.5,2392.5,152392.5,154870.0,2477.5,0.015997288048040292
60,2024-08-02 12:00:00-04:00,60,-855.0,1537.5,151537.5,154870.0,3332.5,0.02151804739458901
61,2024-08-05 11:24:00-04:00,61,3107.5,4645.0,154645.0,154870.0,225.0,0.0014528314069865047
62,2024-08-06 12:00:00-04:00,62,1445.0,6090.0,156090.0,156090.0,0.0,0.0
63,2024-08-07 12:00:00-04:00,63,-392.5,5697.5,155697.5,156090.0,392.5,0.002514574924722916
64,2024-08-09 12:00:00-04:00,64,-180.0,5517.5,155517.5,156090.0,572.5,0.0036677557819206866
65,2024-08-13 12:00:00-04:00,65,-817.5,4700.0,154700.0,156090.0,1390.0,0.008905118841693895
66,2024-08-14 12:00:00-04:00,66,-1455.0,3245.0,153245.0,156090.0,2845.0,0.01822666410404254
67,2024-08-21 12:00:00-04:00,67,607.5,3852.5,153852.5,156090.0,2237.5,0.014334678711000064
68,2024-08-22 12:00:00-04:00,68,1657.5,5510.0,155510.0,156090.0,580.0,0.003715804984303927
69,2024-08-28 12:00:00-04:00,69,1295.0,6805.0,156805.0,156805.0,0.0,0.0
70,2024-09-03 12:00:00-04:00,70,770.0,7575.0,157575.0,157575.0,0.0,0.0
