session_date,net_pnl,gross_pnl,trades,wins,losses
2026-05-01,407.5,412.5,1,1,0
2026-05-04,82.5,87.5,1,1,0
2026-05-05,207.5,212.5,1,1,0
2026-05-06,170.0,175.0,1,1,0
2026-05-07,157.5,162.5,1,1,0
2026-05-08,-230.0,-225.0,1,0,1
2026-05-11,357.5,362.5,1,1,0
2026-05-12,307.5,312.5,1,1,0
2026-05-13,-217.5,-212.5,1,0,1
2026-05-14,982.5,987.5,1,1,0
2026-05-15,-292.5,-287.5,1,0,1
2026-05-19,-117.5,-112.5,1,0,1
2026-05-20,345.0,350.0,1,1,0
2026-05-21,245.0,250.0,1,1,0
2026-05-26,-205.0,-200.0,1,0,1
2026-05-27,132.5,137.5,1,1,0
2026-05-28,-255.0,-250.0,1,0,1
2026-05-29,-130.0,-125.0,1,0,1
