trade_id,session_date,contract,order_id,timestamp,source_ordinal,event_index,transition,direction,price,active_from_event_index,stop_price,target_price,reason,state_json,evidence_json
,2025-07-14,ESU5,VAH,2025-07-14 09:30:01.737190565-04:00,44824,510,order_submitted,short,6293.5,511,6295.25,,strategy_request,"{""active_from_event_index"": 511, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": null, ""stop_tick"": 25181, ""target_tick"": null, ""transition"": ""order_submitted""}","{""event_index"": 510, ""event_price_tick"": 25177, ""event_side"": ""B"", ""event_signed_size"": 2, ""event_size"": 2, ""source_ordinal"": 44824, ""timestamp_ns"": 1752499801737190565}"
,2025-07-14,ESU5,VAH,2025-07-14 09:30:03.044862321-04:00,44932,618,order_cancelled,short,6293.5,511,6295.25,,fill_gate_rejected,"{""active_from_event_index"": 511, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": null, ""stop_tick"": 25181, ""target_tick"": null, ""transition"": ""order_cancelled""}","{""event_index"": 618, ""event_price_tick"": 25174, ""event_side"": ""A"", ""event_signed_size"": -1, ""event_size"": 1, ""source_ordinal"": 44932, ""timestamp_ns"": 1752499803044862321}"
,2025-07-14,ESU5,VAH,2025-07-14 09:30:04.684758463-04:00,45036,722,order_submitted,short,6293.5,723,6295.25,,strategy_request,"{""active_from_event_index"": 723, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": null, ""stop_tick"": 25181, ""target_tick"": null, ""transition"": ""order_submitted""}","{""event_index"": 722, ""event_price_tick"": 25176, ""event_side"": ""B"", ""event_signed_size"": 1, ""event_size"": 1, ""source_ordinal"": 45036, ""timestamp_ns"": 1752499804684758463}"
,2025-07-14,ESU5,VAH,2025-07-14 09:30:04.983928193-04:00,45077,763,order_cancelled,short,6293.5,723,6295.25,,fill_gate_rejected,"{""active_from_event_index"": 723, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": null, ""stop_tick"": 25181, ""target_tick"": null, ""transition"": ""order_cancelled""}","{""event_index"": 763, ""event_price_tick"": 25174, ""event_side"": ""A"", ""event_signed_size"": -2, ""event_size"": 2, ""source_ordinal"": 45077, ""timestamp_ns"": 1752499804983928193}"
,2025-07-14,ESU5,VAL,2025-07-14 09:31:47.130561179-04:00,51443,7114,order_submitted,long,6292.25,7115,6291.25,,strategy_request,"{""active_from_event_index"": 7115, ""direction"": ""long"", ""order_id"": ""VAL"", ""position_trade_id"": null, ""stop_tick"": 25165, ""target_tick"": null, ""transition"": ""order_submitted""}","{""event_index"": 7114, ""event_price_tick"": 25167, ""event_side"": ""A"", ""event_signed_size"": -4, ""event_size"": 4, ""source_ordinal"": 51443, ""timestamp_ns"": 1752499907130561179}"
,2025-07-14,ESU5,VAL,2025-07-14 09:31:47.134867105-04:00,51444,7115,order_cancelled,long,6292.25,7115,6291.25,,order_not_live,"{""active_from_event_index"": 7115, ""direction"": ""long"", ""order_id"": ""VAL"", ""position_trade_id"": null, ""stop_tick"": 25165, ""target_tick"": null, ""transition"": ""order_cancelled""}","{""event_index"": 7115, ""event_price_tick"": 25167, ""event_side"": ""B"", ""event_signed_size"": 2, ""event_size"": 2, ""source_ordinal"": 51444, ""timestamp_ns"": 1752499907134867105}"
,2025-07-14,ESU5,VAL,2025-07-14 09:31:47.394810913-04:00,51494,7165,order_submitted,long,6292.25,7166,6291.25,,strategy_request,"{""active_from_event_index"": 7166, ""direction"": ""long"", ""order_id"": ""VAL"", ""position_trade_id"": null, ""stop_tick"": 25165, ""target_tick"": null, ""transition"": ""order_submitted""}","{""event_index"": 7165, ""event_price_tick"": 25167, ""event_side"": ""A"", ""event_signed_size"": -11, ""event_size"": 11, ""source_ordinal"": 51494, ""timestamp_ns"": 1752499907394810913}"
,2025-07-14,ESU5,VAL,2025-07-14 09:31:47.404243129-04:00,51496,7167,order_cancelled,long,6292.25,7166,6291.25,,order_not_live,"{""active_from_event_index"": 7166, ""direction"": ""long"", ""order_id"": ""VAL"", ""position_trade_id"": null, ""stop_tick"": 25165, ""target_tick"": null, ""transition"": ""order_cancelled""}","{""event_index"": 7167, ""event_price_tick"": 25167, ""event_side"": ""B"", ""event_signed_size"": 5, ""event_size"": 5, ""source_ordinal"": 51496, ""timestamp_ns"": 1752499907404243129}"
,2025-07-14,ESU5,VAL,2025-07-14 09:31:48.533085695-04:00,51529,7200,order_submitted,long,6292.25,7201,6291.25,,strategy_request,"{""active_from_event_index"": 7201, ""direction"": ""long"", ""order_id"": ""VAL"", ""position_trade_id"": null, ""stop_tick"": 25165, ""target_tick"": null, ""transition"": ""order_submitted""}","{""event_index"": 7200, ""event_price_tick"": 25166, ""event_side"": ""A"", ""event_signed_size"": -19, ""event_size"": 19, ""source_ordinal"": 51529, ""timestamp_ns"": 1752499908533085695}"
,2025-07-14,ESU5,VAL,2025-07-14 09:31:48.771783259-04:00,51538,7209,order_replaced,long,6292.25,7210,6291.0,,strategy_request,"{""active_from_event_index"": 7210, ""direction"": ""long"", ""order_id"": ""VAL"", ""position_trade_id"": null, ""stop_tick"": 25164, ""target_tick"": null, ""transition"": ""order_replaced""}","{""event_index"": 7209, ""event_price_tick"": 25166, ""event_side"": ""A"", ""event_signed_size"": -10, ""event_size"": 10, ""source_ordinal"": 51538, ""timestamp_ns"": 1752499908771783259}"
,2025-07-14,ESU5,VAL,2025-07-14 09:32:06.054435023-04:00,52179,7850,order_cancelled,long,6292.25,7210,6291.0,,order_not_live,"{""active_from_event_index"": 7210, ""direction"": ""long"", ""order_id"": ""VAL"", ""position_trade_id"": null, ""stop_tick"": 25164, ""target_tick"": null, ""transition"": ""order_cancelled""}","{""event_index"": 7850, ""event_price_tick"": 25166, ""event_side"": ""B"", ""event_signed_size"": 1, ""event_size"": 1, ""source_ordinal"": 52179, ""timestamp_ns"": 1752499926054435023}"
,2025-07-14,ESU5,VAL,2025-07-14 09:32:06.529175779-04:00,52202,7873,order_submitted,long,6292.25,7874,6291.0,,strategy_request,"{""active_from_event_index"": 7874, ""direction"": ""long"", ""order_id"": ""VAL"", ""position_trade_id"": null, ""stop_tick"": 25164, ""target_tick"": null, ""transition"": ""order_submitted""}","{""event_index"": 7873, ""event_price_tick"": 25166, ""event_side"": ""A"", ""event_signed_size"": -18, ""event_size"": 18, ""source_ordinal"": 52202, ""timestamp_ns"": 1752499926529175779}"
,2025-07-14,ESU5,VAL,2025-07-14 09:32:06.566806175-04:00,52205,7876,order_cancelled,long,6292.25,7874,6291.0,,order_not_live,"{""active_from_event_index"": 7874, ""direction"": ""long"", ""order_id"": ""VAL"", ""position_trade_id"": null, ""stop_tick"": 25164, ""target_tick"": null, ""transition"": ""order_cancelled""}","{""event_index"": 7876, ""event_price_tick"": 25166, ""event_side"": ""B"", ""event_signed_size"": 5, ""event_size"": 5, ""source_ordinal"": 52205, ""timestamp_ns"": 1752499926566806175}"
,2025-07-14,ESU5,VAH,2025-07-14 10:25:20.467712657-04:00,110322,65942,order_submitted,short,6295.25,65943,6296.5,,strategy_request,"{""active_from_event_index"": 65943, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": null, ""stop_tick"": 25186, ""target_tick"": null, ""transition"": ""order_submitted""}","{""event_index"": 65942, ""event_price_tick"": 25188, ""event_side"": ""B"", ""event_signed_size"": 3, ""event_size"": 3, ""source_ordinal"": 110322, ""timestamp_ns"": 1752503120467712657}"
1.0,2025-07-14,ESU5,VAH,2025-07-14 10:25:24.750817421-04:00,110544,66164,entry_filled,short,6295.25,66164,6296.5,,stop_entry_triggered,"{""active_from_event_index"": 66164, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": 1, ""stop_tick"": 25186, ""target_tick"": null, ""transition"": ""entry_filled""}","{""event_index"": 66164, ""event_price_tick"": 25181, ""event_side"": ""A"", ""event_signed_size"": -1, ""event_size"": 1, ""source_ordinal"": 110544, ""timestamp_ns"": 1752503124750817421}"
1.0,2025-07-14,ESU5,VAH,2025-07-14 10:25:31.337502589-04:00,110718,66334,position_closed,short,6296.5,66334,6296.5,,initial_stop,"{""active_from_event_index"": 66334, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": 1, ""stop_tick"": 25186, ""target_tick"": null, ""transition"": ""position_closed""}","{""event_index"": 66334, ""event_price_tick"": 25186, ""event_side"": ""B"", ""event_signed_size"": 1, ""event_size"": 1, ""source_ordinal"": 110718, ""timestamp_ns"": 1752503131337502589}"
,2025-07-14,ESU5,VAH,2025-07-14 10:57:57.396229359-04:00,134967,90565,order_submitted,short,6295.0,90566,6296.5,,strategy_request,"{""active_from_event_index"": 90566, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": null, ""stop_tick"": 25186, ""target_tick"": null, ""transition"": ""order_submitted""}","{""event_index"": 90565, ""event_price_tick"": 25187, ""event_side"": ""B"", ""event_signed_size"": 22, ""event_size"": 22, ""source_ordinal"": 134967, ""timestamp_ns"": 1752505077396229359}"
,2025-07-14,ESU5,VAH,2025-07-14 11:00:00-04:00,-1,91746,order_cancelled,short,6295.0,90566,6296.5,,session_end,"{""active_from_event_index"": 90566, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": null, ""stop_tick"": 25186, ""target_tick"": null, ""transition"": ""order_cancelled""}","{""event_index"": 91746, ""event_price_tick"": 25190, ""event_side"": null, ""event_signed_size"": null, ""event_size"": null, ""source_ordinal"": -1, ""timestamp_ns"": 1752505200000000000}"
,2025-07-15,ESU5,VAH,2025-07-15 09:30:54.135910919-04:00,78705,2850,order_submitted,short,6340.0,2851,6342.25,,strategy_request,"{""active_from_event_index"": 2851, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": null, ""stop_tick"": 25369, ""target_tick"": null, ""transition"": ""order_submitted""}","{""event_index"": 2850, ""event_price_tick"": 25361, ""event_side"": ""A"", ""event_signed_size"": -1, ""event_size"": 1, ""source_ordinal"": 78705, ""timestamp_ns"": 1752586254135910919}"
2.0,2025-07-15,ESU5,VAH,2025-07-15 09:30:54.897247149-04:00,78716,2861,entry_filled,short,6340.0,2861,6342.25,,stop_entry_triggered,"{""active_from_event_index"": 2861, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": 2, ""stop_tick"": 25369, ""target_tick"": null, ""transition"": ""entry_filled""}","{""event_index"": 2861, ""event_price_tick"": 25360, ""event_side"": ""A"", ""event_signed_size"": -11, ""event_size"": 11, ""source_ordinal"": 78716, ""timestamp_ns"": 1752586254897247149}"
2.0,2025-07-15,ESU5,VAH,2025-07-15 09:31:23.618015359-04:00,79785,3930,bracket_amended,short,6338.75,3931,6338.75,6338.5,managed_stop,"{""active_from_event_index"": 3931, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": 2, ""stop_tick"": 25355, ""target_tick"": 25354, ""transition"": ""bracket_amended""}","{""event_index"": 3930, ""event_price_tick"": 25355, ""event_side"": ""A"", ""event_signed_size"": -4, ""event_size"": 4, ""source_ordinal"": 79785, ""timestamp_ns"": 1752586283618015359}"
2.0,2025-07-15,ESU5,VAH,2025-07-15 09:31:23.618015359-04:00,79786,3931,position_closed,short,6338.75,3931,6338.75,6338.5,managed_stop,"{""active_from_event_index"": 3931, ""direction"": ""short"", ""order_id"": ""VAH"", ""position_trade_id"": 2, ""stop_tick"": 25355, ""target_tick"": 25354, ""transition"": ""position_closed""}","{""event_index"": 3931, ""event_price_tick"": 25355, ""event_side"": ""A"", ""event_signed_size"": -2, ""event_size"": 2, ""source_ordinal"": 79786, ""timestamp_ns"": 1752586283618015359}"
,2025-07-15,ESU5,VAL,2025-07-15 10:32:38.497377837-04:00,156897,81009,order_submitted,long,6316.75,81010,6314.5,,strategy_request,"{""active_from_event_index"": 81010, ""direction"": ""long"", ""order_id"": ""VAL"", ""position_trade_id"": null, ""stop_tick"": 25258, ""target_tick"": null, ""transition"": ""order_submitted""}","{""event_index"": 81009, ""event_price_tick"": 25260, ""event_side"": ""A"", ""event_signed_size"": -24, ""event_size"": 24, ""source_ordinal"": 156897, ""timestamp_ns"": 1752589958497377837}"
