month,trades,net_profit,average_trade,win_rate
2025-07,16,207.5,12.96875,0.6875
2025-08,16,-680.0,-42.5,0.4375
2025-09,34,555.0,16.323529411764707,0.7058823529411765
2025-10,30,575.0,19.166666666666668,0.5666666666666667
2025-11,24,-782.5,-32.604166666666664,0.5
2025-12,20,-562.5,-28.125,0.4
2026-01,26,-480.0,-18.46153846153846,0.5
2026-02,21,-905.0,-43.095238095238095,0.42857142857142855
2026-03,19,-632.5,-33.28947368421053,0.42105263157894735
2026-04,28,1235.0,44.107142857142854,0.8571428571428571
2026-05,26,-405.0,-15.576923076923077,0.38461538461538464
2026-06,17,-472.5,-27.794117647058822,0.47058823529411764
2026-07,4,-257.5,-64.375,0.25
