point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2025-09-02 11:36:02.398438575-04:00,,0.0,0.0,50000.0,50000.0,0.0,0.0
1,2025-09-02 11:36:18.419342559-04:00,1,-160.0,-160.0,49840.0,50000.0,160.0,0.0032
2,2025-09-03 13:45:11.981740839-04:00,2,115.0,-45.0,49955.0,50000.0,45.0,0.0009
3,2025-09-04 10:18:42.941430395-04:00,3,-235.0,-280.0,49720.0,50000.0,280.0,0.0056
4,2025-09-05 10:01:55.175275789-04:00,4,565.0,285.0,50285.0,50285.0,0.0,0.0
5,2025-09-08 10:18:05.854381619-04:00,5,-210.0,75.0,50075.0,50285.0,210.0,0.004176195684597792
6,2025-09-09 10:39:42.185860119-04:00,6,-235.0,-160.0,49840.0,50285.0,445.0,0.008849557522123894
7,2025-09-10 11:18:19.114274603-04:00,7,65.0,-95.0,49905.0,50285.0,380.0,0.007556925524510291
8,2025-09-12 11:49:43.840877537-04:00,8,-260.0,-355.0,49645.0,50285.0,640.0,0.0127274535149647
9,2025-09-16 10:03:23.766588471-04:00,9,-185.0,-540.0,49460.0,50285.0,825.0,0.016406483046634186
10,2025-09-17 14:15:09.881720573-04:00,10,-235.0,-775.0,49225.0,50285.0,1060.0,0.021079844884160287
11,2025-09-19 10:47:22.000005037-04:00,11,290.0,-485.0,49515.0,50285.0,770.0,0.015312717510191906
12,2025-09-23 12:07:32.188312039-04:00,12,165.0,-320.0,49680.0,50285.0,605.0,0.01203142090086507
13,2025-09-24 11:19:16.497736797-04:00,13,-260.0,-580.0,49420.0,50285.0,865.0,0.017201948891319478
14,2025-09-25 13:44:13.090559655-04:00,14,-385.0,-965.0,49035.0,50285.0,1250.0,0.02485830764641543
15,2025-09-26 10:35:06.225362351-04:00,15,315.0,-650.0,49350.0,50285.0,935.0,0.018594014119518745
16,2025-09-29 11:12:18.063154743-04:00,16,90.0,-560.0,49440.0,50285.0,845.0,0.016804215968976834
