point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2015-01-07 11:30:00-05:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2015-01-07 15:55:00-05:00,1,420.0,420.0,150420.0,150420.0,0.0,0.0
2,2015-01-08 15:55:00-05:00,2,165.0,585.0,150585.0,150585.0,0.0,0.0
3,2015-01-09 15:55:00-05:00,3,390.0,975.0,150975.0,150975.0,0.0,0.0
4,2015-01-14 13:39:00-05:00,4,-345.0,630.0,150630.0,150975.0,345.0,0.0022851465474416294
5,2015-01-16 15:51:00-05:00,5,815.0,1445.0,151445.0,151445.0,0.0,0.0
6,2015-01-20 11:47:00-05:00,6,-345.0,1100.0,151100.0,151445.0,345.0,0.0022780547393443165
7,2015-01-21 12:53:00-05:00,7,-350.0,750.0,150750.0,151445.0,695.0,0.004589124764766086
8,2015-01-23 15:55:00-05:00,8,-140.0,610.0,150610.0,151445.0,835.0,0.005513552774934795
9,2015-01-27 15:55:00-05:00,9,-150.0,460.0,150460.0,151445.0,985.0,0.006504011357258411
10,2015-01-29 14:30:00-05:00,10,815.0,1275.0,151275.0,151445.0,170.0,0.0011225197266334314
11,2015-02-03 15:51:00-05:00,11,827.5,2102.5,152102.5,152102.5,0.0,0.0
12,2015-02-04 15:46:00-05:00,12,-350.0,1752.5,151752.5,152102.5,350.0,0.0023010798639075624
13,2015-02-11 13:11:00-05:00,13,-355.0,1397.5,151397.5,152102.5,705.0,0.004635032297299518
14,2015-02-13 15:55:00-05:00,14,360.0,1757.5,151757.5,152102.5,345.0,0.0022682072944231685
15,2015-02-20 15:55:00-05:00,15,440.0,2197.5,152197.5,152197.5,0.0,0.0
16,2015-02-23 15:55:00-05:00,16,80.0,2277.5,152277.5,152277.5,0.0,0.0
17,2015-03-04 15:55:00-05:00,17,-25.0,2252.5,152252.5,152277.5,25.0,0.00016417395872666678
18,2015-03-05 12:59:00-05:00,18,-370.0,1882.5,151882.5,152277.5,395.0,0.002593948547881335
19,2015-03-10 11:59:00-04:00,19,-360.0,1522.5,151522.5,152277.5,755.0,0.004958053553545337
20,2015-03-13 15:55:00-04:00,20,380.0,1902.5,151902.5,152277.5,375.0,0.002462609380900002
