point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2015-01-05 10:30:00-05:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2015-01-05 14:51:00-05:00,1,827.5,827.5,150827.5,150827.5,0.0,0.0
2,2015-01-06 11:24:00-05:00,2,827.5,1655.0,151655.0,151655.0,0.0,0.0
3,2015-01-08 11:00:00-05:00,3,-350.0,1305.0,151305.0,151655.0,350.0,0.0023078698361412415
4,2015-01-12 10:45:00-05:00,4,-345.0,960.0,150960.0,151655.0,695.0,0.004582770103194751
5,2015-01-13 13:22:00-05:00,5,840.0,1800.0,151800.0,151800.0,0.0,0.0
6,2015-01-14 13:40:00-05:00,6,827.5,2627.5,152627.5,152627.5,0.0,0.0
7,2015-01-15 12:44:00-05:00,7,827.5,3455.0,153455.0,153455.0,0.0,0.0
8,2015-01-16 10:57:00-05:00,8,-340.0,3115.0,153115.0,153455.0,340.0,0.00221563324753185
9,2015-01-20 14:05:00-05:00,9,-345.0,2770.0,152770.0,153455.0,685.0,0.004463849336939168
10,2015-01-26 13:47:00-05:00,10,-355.0,2415.0,152415.0,153455.0,1040.0,0.006777231110097422
11,2015-01-27 13:16:00-05:00,11,-345.0,2070.0,152070.0,153455.0,1385.0,0.009025447199504742
12,2015-01-28 14:33:00-05:00,12,840.0,2910.0,152910.0,153455.0,545.0,0.003551529764426053
13,2015-01-29 13:42:00-05:00,13,-345.0,2565.0,152565.0,153455.0,890.0,0.0057997458538333714
14,2015-01-30 12:00:00-05:00,14,-345.0,2220.0,152220.0,153455.0,1235.0,0.00804796194324069
15,2015-02-02 10:53:00-05:00,15,-340.0,1880.0,151880.0,153455.0,1575.0,0.010263595190772539
16,2015-02-03 15:50:00-05:00,16,-350.0,1530.0,151530.0,153455.0,1925.0,0.012544394122055326
17,2015-02-06 15:41:00-05:00,17,852.5,2382.5,152382.5,153455.0,1072.5,0.006989019582287967
18,2015-02-09 12:29:00-05:00,18,-350.0,2032.5,152032.5,153455.0,1422.5,0.009269818513570754
19,2015-02-10 11:43:00-05:00,19,-350.0,1682.5,151682.5,153455.0,1772.5,0.01155061744485354
20,2015-02-11 15:55:00-05:00,20,-55.0,1627.5,151627.5,153455.0,1827.5,0.011909028705483693
21,2015-02-26 12:47:00-05:00,21,-370.0,1257.5,151257.5,153455.0,2197.5,0.014320159004268352
22,2015-02-27 15:55:00-05:00,22,425.0,1682.5,151682.5,153455.0,1772.5,0.01155061744485354
23,2015-03-02 15:55:00-05:00,23,-160.0,1522.5,151522.5,153455.0,1932.5,0.012593268384868529
24,2015-03-04 11:14:00-05:00,24,-365.0,1157.5,151157.5,153455.0,2297.5,0.01497181584177772
25,2015-03-06 12:21:00-05:00,25,890.0,2047.5,152047.5,153455.0,1407.5,0.00917206998794435
26,2015-03-09 13:40:00-04:00,26,-365.0,1682.5,151682.5,153455.0,1772.5,0.01155061744485354
27,2015-03-10 15:55:00-04:00,27,375.0,2057.5,152057.5,153455.0,1397.5,0.009106904304193413
28,2015-03-11 15:55:00-04:00,28,485.0,2542.5,152542.5,153455.0,912.5,0.005946368642272979
29,2015-03-12 15:55:00-04:00,29,-275.0,2267.5,152267.5,153455.0,1187.5,0.00773842494542374
30,2015-03-13 15:55:00-04:00,30,-10.0,2257.5,152257.5,153455.0,1197.5,0.007803590629174677
31,2015-03-16 14:45:00-04:00,31,-360.0,1897.5,151897.5,153455.0,1557.5,0.0101495552442084
32,2015-03-17 14:03:00-04:00,32,-360.0,1537.5,151537.5,153455.0,1917.5,0.012495519859242124
33,2015-03-18 14:01:00-04:00,33,-360.0,1177.5,151177.5,153455.0,2277.5,0.014841484474275846
34,2015-03-19 15:55:00-04:00,34,115.0,1292.5,151292.5,153455.0,2162.5,0.014092079111140073
35,2015-03-25 11:40:00-04:00,35,877.5,2170.0,152170.0,153455.0,1285.0,0.008373790361995374
36,2015-03-26 10:45:00-04:00,36,-355.0,1815.0,151815.0,153455.0,1640.0,0.010687172135153628
37,2015-03-30 13:10:00-04:00,37,-360.0,1455.0,151455.0,153455.0,2000.0,0.013033136750187352
38,2015-04-01 11:14:00-04:00,38,-355.0,1100.0,151100.0,153455.0,2355.0,0.015346518523345606
39,2015-04-02 15:55:00-04:00,39,-165.0,935.0,150935.0,153455.0,2520.0,0.016421752305236063
40,2015-04-06 13:00:00-04:00,40,-360.0,575.0,150575.0,153455.0,2880.0,0.018767716920269784
41,2015-04-15 14:08:00-04:00,41,-365.0,210.0,150210.0,153455.0,3245.0,0.021146264377178977
42,2015-04-17 15:55:00-04:00,42,70.0,280.0,150280.0,153455.0,3175.0,0.02069010459092242
43,2015-04-20 11:01:00-04:00,43,-365.0,-85.0,149915.0,153455.0,3540.0,0.023068652047831612
44,2015-04-24 15:55:00-04:00,44,-205.0,-290.0,149710.0,153455.0,3745.0,0.024404548564725816
45,2015-04-28 11:02:00-04:00,45,-370.0,-660.0,149340.0,153455.0,4115.0,0.026815678863510474
46,2015-04-30 11:11:00-04:00,46,-365.0,-1025.0,148975.0,153455.0,4480.0,0.029194226320419667
47,2015-05-01 14:27:00-04:00,47,-370.0,-1395.0,148605.0,153455.0,4850.0,0.03160535661920433
48,2015-05-06 15:55:00-04:00,48,290.0,-1105.0,148895.0,153455.0,4560.0,0.02971555179042716
49,2015-05-07 10:52:00-04:00,49,-365.0,-1470.0,148530.0,153455.0,4925.0,0.032094099247336354
50,2015-05-08 15:55:00-04:00,50,-105.0,-1575.0,148425.0,153455.0,5030.0,0.03277833892672119
51,2015-05-19 15:55:00-04:00,51,240.0,-1335.0,148665.0,153455.0,4790.0,0.031214362516698707
52,2015-05-22 15:55:00-04:00,52,95.0,-1240.0,148760.0,153455.0,4695.0,0.030595288521064808
53,2015-05-27 11:52:00-04:00,53,-375.0,-1615.0,148385.0,153455.0,5070.0,0.03303900166172494
54,2015-05-29 15:55:00-04:00,54,125.0,-1490.0,148510.0,153455.0,4945.0,0.03222443061483823
55,2015-06-02 12:05:00-04:00,55,-375.0,-1865.0,148135.0,153455.0,5320.0,0.03466814375549836
56,2015-06-15 11:10:00-04:00,56,-365.0,-2230.0,147770.0,153455.0,5685.0,0.03704669121240755
57,2015-06-16 12:46:00-04:00,57,-365.0,-2595.0,147405.0,153455.0,6050.0,0.039425238669316735
58,2015-06-26 15:55:00-04:00,58,515.0,-2080.0,147920.0,153455.0,5535.0,0.0360692059561435
59,2015-06-29 14:31:00-04:00,59,877.5,-1202.5,148797.5,153455.0,4657.5,0.030350917206998795
60,2015-06-30 14:08:00-04:00,60,-365.0,-1567.5,148432.5,153455.0,5022.5,0.032729464663907984
61,2015-07-01 15:55:00-04:00,61,220.0,-1347.5,148652.5,153455.0,4802.5,0.031295819621387375
62,2015-07-06 10:45:00-04:00,62,-365.0,-1712.5,148287.5,153455.0,5167.5,0.03367436707829657
63,2015-07-07 12:58:00-04:00,63,-360.0,-2072.5,147927.5,153455.0,5527.5,0.03602033169333029
64,2015-07-08 15:55:00-04:00,64,345.0,-1727.5,148272.5,153455.0,5182.5,0.03377211560392297
65,2015-07-09 11:12:00-04:00,65,-365.0,-2092.5,147907.5,153455.0,5547.5,0.036150663060832165
66,2015-07-10 11:45:00-04:00,66,-365.0,-2457.5,147542.5,153455.0,5912.5,0.03852921051774136
67,2015-07-13 15:24:00-04:00,67,-370.0,-2827.5,147172.5,153455.0,6282.5,0.04094034081652602
68,2015-07-16 12:22:00-04:00,68,-375.0,-3202.5,146797.5,153455.0,6657.5,0.04338405395718615
69,2015-07-17 14:49:00-04:00,69,-385.0,-3587.5,146412.5,153455.0,7042.5,0.04589293278159721
70,2015-07-22 15:55:00-04:00,70,310.0,-3277.5,146722.5,153455.0,6732.5,0.043872796585318175
71,2015-07-24 14:52:00-04:00,71,915.0,-2362.5,147637.5,153455.0,5817.5,0.03791013652210746
72,2015-07-27 15:55:00-04:00,72,430.0,-1932.5,148067.5,153455.0,5387.5,0.03510801212081718
73,2015-07-28 10:56:00-04:00,73,-370.0,-2302.5,147697.5,153455.0,5757.5,0.03751914241960184
74,2015-08-03 15:55:00-04:00,74,260.0,-2042.5,147957.5,153455.0,5497.5,0.03582483464207748
75,2015-08-04 15:55:00-04:00,75,300.0,-1742.5,148257.5,153455.0,5197.5,0.03386986412954938
76,2015-08-05 15:55:00-04:00,76,425.0,-1317.5,148682.5,153455.0,4772.5,0.031100322570134568
77,2015-08-06 11:59:00-04:00,77,902.5,-415.0,149585.0,153455.0,3870.0,0.025219119611612526
78,2015-08-07 15:32:00-04:00,78,-370.0,-785.0,149215.0,153455.0,4240.0,0.027630249910397184
79,2015-08-10 14:15:00-04:00,79,-375.0,-1160.0,148840.0,153455.0,4615.0,0.030073963051057313
80,2015-08-11 12:59:00-04:00,80,902.5,-257.5,149742.5,153455.0,3712.5,0.024192760092535272
81,2015-08-12 11:27:00-04:00,81,-370.0,-627.5,149372.5,153455.0,4082.5,0.02660389039131993
82,2015-08-13 10:42:00-04:00,82,-375.0,-1002.5,148997.5,153455.0,4457.5,0.02904760353198006
83,2015-08-14 15:03:00-04:00,83,-375.0,-1377.5,148622.5,153455.0,4832.5,0.031491316672640185
84,2015-08-17 11:10:00-04:00,84,-375.0,-1752.5,148247.5,153455.0,5207.5,0.033935029813300314
85,2015-08-18 15:55:00-04:00,85,245.0,-1507.5,148492.5,153455.0,4962.5,0.03233847056140236
86,2015-08-19 14:07:00-04:00,86,-375.0,-1882.5,148117.5,153455.0,5337.5,0.03478218370206249
87,2015-08-20 15:55:00-04:00,87,695.0,-1187.5,148812.5,153455.0,4642.5,0.03025316868137239
88,2015-08-21 11:07:00-04:00,88,865.0,-322.5,149677.5,153455.0,3777.5,0.02461633703691636
89,2015-08-24 10:39:00-04:00,89,-340.0,-662.5,149337.5,153455.0,4117.5,0.026831970284448208
90,2015-08-25 11:04:00-04:00,90,-345.0,-1007.5,148992.5,153455.0,4462.5,0.029080186373855527
91,2015-08-26 10:33:00-04:00,91,-340.0,-1347.5,148652.5,153455.0,4802.5,0.031295819621387375
92,2015-08-27 10:49:00-04:00,92,-355.0,-1702.5,148297.5,153455.0,5157.5,0.03360920139454563
93,2015-08-28 11:20:00-04:00,93,-355.0,-2057.5,147942.5,153455.0,5512.5,0.035922583167703886
94,2015-08-31 11:41:00-04:00,94,-355.0,-2412.5,147587.5,153455.0,5867.5,0.03823596494086214
95,2015-09-02 11:24:00-04:00,95,-345.0,-2757.5,147242.5,153455.0,6212.5,0.04048418103026946
96,2015-09-03 13:06:00-04:00,96,852.5,-1905.0,148095.0,153455.0,5360.0,0.034928806490502104
97,2015-09-04 14:26:00-04:00,97,840.0,-1065.0,148935.0,153455.0,4520.0,0.029454889055423414
98,2015-09-08 14:37:00-04:00,98,-355.0,-1420.0,148580.0,153455.0,4875.0,0.03176827082858167
99,2015-09-10 10:35:00-04:00,99,-355.0,-1775.0,148225.0,153455.0,5230.0,0.034081652601739926
100,2015-09-11 11:58:00-04:00,100,-355.0,-2130.0,147870.0,153455.0,5585.0,0.03639503437489818
101,2015-09-14 15:55:00-04:00,101,65.0,-2065.0,147935.0,153455.0,5520.0,0.03597145743051709
102,2015-09-15 10:45:00-04:00,102,-360.0,-2425.0,147575.0,153455.0,5880.0,0.03831742204555081
103,2015-09-16 11:26:00-04:00,103,-360.0,-2785.0,147215.0,153455.0,6240.0,0.040663386660584534
104,2015-09-17 13:27:00-04:00,104,-365.0,-3150.0,146850.0,153455.0,6605.0,0.04304193411749373
105,2015-09-18 11:46:00-04:00,105,-360.0,-3510.0,146490.0,153455.0,6965.0,0.04538789873252745
106,2015-09-21 12:50:00-04:00,106,865.0,-2645.0,147355.0,153455.0,6100.0,0.03975106708807142
107,2015-09-23 15:55:00-04:00,107,80.0,-2565.0,147435.0,153455.0,6020.0,0.039229741618063925
108,2015-09-24 12:30:00-04:00,108,-350.0,-2915.0,147085.0,153455.0,6370.0,0.04151054054934671
109,2015-09-25 10:59:00-04:00,109,-355.0,-3270.0,146730.0,153455.0,6725.0,0.04382392232250497
110,2015-09-28 12:38:00-04:00,110,827.5,-2442.5,147557.5,153455.0,5897.5,0.03843146199211495
111,2015-09-29 12:08:00-04:00,111,827.5,-1615.0,148385.0,153455.0,5070.0,0.03303900166172494
112,2015-09-30 12:15:00-04:00,112,827.5,-787.5,149212.5,153455.0,4242.5,0.027646541331334918
113,2015-10-01 15:01:00-04:00,113,-345.0,-1132.5,148867.5,153455.0,4587.5,0.029894757420742237
114,2015-10-02 10:40:00-04:00,114,-345.0,-1477.5,148522.5,153455.0,4932.5,0.03214297351014955
115,2015-10-08 14:01:00-04:00,115,-355.0,-1832.5,148167.5,153455.0,5287.5,0.03445635528330781
116,2015-10-09 10:40:00-04:00,116,-360.0,-2192.5,147807.5,153455.0,5647.5,0.03680231989834153
117,2015-10-14 12:40:00-04:00,117,-360.0,-2552.5,147447.5,153455.0,6007.5,0.03914828451337526
118,2015-10-15 13:24:00-04:00,118,-360.0,-2912.5,147087.5,153455.0,6367.5,0.04149424912840898
119,2015-10-16 15:55:00-04:00,119,-305.0,-3217.5,146782.5,153455.0,6672.5,0.043481802482812554
120,2015-10-21 10:55:00-04:00,120,-365.0,-3582.5,146417.5,153455.0,7037.5,0.04586034993972174
121,2015-10-22 10:57:00-04:00,121,-370.0,-3952.5,146047.5,153455.0,7407.5,0.0482714802385064
122,2015-10-27 11:04:00-04:00,122,-380.0,-4332.5,145667.5,153455.0,7787.5,0.050747776221042
123,2015-10-28 11:11:00-04:00,123,-380.0,-4712.5,145287.5,153455.0,8167.5,0.053224072203577596
124,2015-11-04 15:55:00-05:00,124,245.0,-4467.5,145532.5,153455.0,7922.5,0.051627512951679645
125,2015-11-05 13:05:00-05:00,125,-385.0,-4852.5,145147.5,153455.0,8307.5,0.05413639177609071
126,2015-11-10 14:44:00-05:00,126,-380.0,-5232.5,144767.5,153455.0,8687.5,0.05661268775862631
127,2015-11-11 12:12:00-05:00,127,-385.0,-5617.5,144382.5,153455.0,9072.5,0.059121566583037376
128,2015-11-13 15:55:00-05:00,128,680.0,-4937.5,145062.5,153455.0,8392.5,0.054690300087973674
129,2015-11-16 13:19:00-05:00,129,-375.0,-5312.5,144687.5,153455.0,8767.5,0.057134013228633804
130,2015-11-17 11:30:00-05:00,130,-380.0,-5692.5,144307.5,153455.0,9147.5,0.0596103092111694
131,2015-11-18 11:46:00-05:00,131,-380.0,-6072.5,143927.5,153455.0,9527.5,0.06208660519370499
132,2015-11-19 13:05:00-05:00,132,-385.0,-6457.5,143542.5,153455.0,9912.5,0.06459548401811606
133,2015-11-20 15:55:00-05:00,133,35.0,-6422.5,143577.5,153455.0,9877.5,0.06436740412498779
134,2015-11-30 15:55:00-05:00,134,140.0,-6282.5,143717.5,153455.0,9737.5,0.06345508455247467
135,2015-12-04 10:57:00-05:00,135,-385.0,-6667.5,143332.5,153455.0,10122.5,0.06596396337688573
136,2015-12-08 10:36:00-05:00,136,-385.0,-7052.5,142947.5,153455.0,10507.5,0.06847284220129679
137,2015-12-09 12:20:00-05:00,137,927.5,-6125.0,143875.0,153455.0,9580.0,0.062428725033397414
138,2015-12-11 12:18:00-05:00,138,915.0,-5210.0,144790.0,153455.0,8665.0,0.0564660649701867
