point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2015-01-05 12:00:00-05:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2015-01-05 15:55:00-05:00,1,340.0,340.0,150340.0,150340.0,0.0,0.0
2,2015-01-06 14:49:00-05:00,2,-425.0,-85.0,149915.0,150340.0,425.0,0.002826925635226819
3,2015-01-07 15:55:00-05:00,3,80.0,-5.0,149995.0,150340.0,345.0,0.0022947984568311825
4,2015-01-08 15:55:00-05:00,4,-105.0,-110.0,149890.0,150340.0,450.0,0.0029932153784754554
5,2015-01-09 15:55:00-05:00,5,-65.0,-175.0,149825.0,150340.0,515.0,0.0034255687109219102
6,2015-01-12 15:55:00-05:00,6,25.0,-150.0,149850.0,150340.0,490.0,0.003259278967673274
7,2015-01-13 13:27:00-05:00,7,840.0,690.0,150690.0,150690.0,0.0,0.0
8,2015-01-14 15:20:00-05:00,8,-425.0,265.0,150265.0,150690.0,425.0,0.0028203596788108037
9,2015-01-15 15:55:00-05:00,9,460.0,725.0,150725.0,150725.0,0.0,0.0
10,2015-01-16 12:51:00-05:00,10,-420.0,305.0,150305.0,150725.0,420.0,0.0027865317631448
11,2015-01-20 13:20:00-05:00,11,-425.0,-120.0,149880.0,150725.0,845.0,0.005606236523469896
12,2015-01-21 15:55:00-05:00,12,170.0,50.0,150050.0,150725.0,675.0,0.0044783546193398575
13,2015-01-22 14:53:00-05:00,13,-435.0,-385.0,149615.0,150725.0,1110.0,0.007364405374025543
14,2015-01-23 15:55:00-05:00,14,5.0,-380.0,149620.0,150725.0,1105.0,0.007331232376845248
15,2015-01-26 15:55:00-05:00,15,-135.0,-515.0,149485.0,150725.0,1240.0,0.008226903300713219
16,2015-01-27 13:15:00-05:00,16,-430.0,-945.0,149055.0,150725.0,1670.0,0.01107978105821861
17,2015-01-28 12:27:00-05:00,17,-430.0,-1375.0,148625.0,150725.0,2100.0,0.013932658815724001
18,2015-01-29 13:42:00-05:00,18,-425.0,-1800.0,148200.0,150725.0,2525.0,0.016752363576049097
19,2015-01-30 14:30:00-05:00,19,-430.0,-2230.0,147770.0,150725.0,2955.0,0.019605241333554485
20,2015-02-02 15:40:00-05:00,20,-430.0,-2660.0,147340.0,150725.0,3385.0,0.022458119091059877
21,2015-02-03 13:22:00-05:00,21,-430.0,-3090.0,146910.0,150725.0,3815.0,0.02531099684856527
22,2015-02-04 15:55:00-05:00,22,380.0,-2710.0,147290.0,150725.0,3435.0,0.02278984906286283
23,2015-02-05 15:55:00-05:00,23,-295.0,-3005.0,146995.0,150725.0,3730.0,0.02474705589650025
24,2015-02-06 15:19:00-05:00,24,850.0,-2155.0,147845.0,150725.0,2880.0,0.01910764637585006
25,2015-02-09 15:55:00-05:00,25,40.0,-2115.0,147885.0,150725.0,2840.0,0.018842262398407698
26,2015-02-10 14:55:00-05:00,26,-440.0,-2555.0,147445.0,150725.0,3280.0,0.02176148615027368
27,2015-02-11 15:55:00-05:00,27,110.0,-2445.0,147555.0,150725.0,3170.0,0.021031680212307183
28,2015-02-12 15:55:00-05:00,28,-290.0,-2735.0,147265.0,150725.0,3460.0,0.022955714048764307
29,2015-02-17 15:55:00-05:00,29,15.0,-2720.0,147280.0,150725.0,3445.0,0.02285619505722342
30,2015-02-18 15:55:00-05:00,30,-125.0,-2845.0,147155.0,150725.0,3570.0,0.0236855199867308
31,2015-02-19 15:55:00-05:00,31,30.0,-2815.0,147185.0,150725.0,3540.0,0.02348648200364903
32,2015-03-09 13:46:00-04:00,32,-455.0,-3270.0,146730.0,150725.0,3995.0,0.026505224747055897
33,2015-03-10 15:55:00-04:00,33,130.0,-3140.0,146860.0,150725.0,3865.0,0.02564272682036822
34,2015-03-11 15:55:00-04:00,34,510.0,-2630.0,147370.0,150725.0,3355.0,0.022259081107978106
35,2015-03-12 15:55:00-04:00,35,-255.0,-2885.0,147115.0,150725.0,3610.0,0.023950903964173164
36,2015-03-13 15:55:00-04:00,36,-360.0,-3245.0,146755.0,150725.0,3970.0,0.02633935976115442
37,2015-03-16 15:55:00-04:00,37,-195.0,-3440.0,146560.0,150725.0,4165.0,0.027633106651185936
38,2015-03-17 15:55:00-04:00,38,-340.0,-3780.0,146220.0,150725.0,4505.0,0.02988887045944601
39,2015-03-18 14:01:00-04:00,39,-450.0,-4230.0,145770.0,150725.0,4955.0,0.03287444020567258
40,2015-03-20 15:55:00-04:00,40,90.0,-4140.0,145860.0,150725.0,4865.0,0.03227732625642727
41,2015-03-26 15:55:00-04:00,41,165.0,-3975.0,146025.0,150725.0,4700.0,0.031182617349477526
42,2015-03-27 15:55:00-04:00,42,-370.0,-4345.0,145655.0,150725.0,5070.0,0.03363741914081937
43,2015-03-30 15:55:00-04:00,43,-280.0,-4625.0,145375.0,150725.0,5350.0,0.03549510698291591
44,2015-06-16 14:11:00-04:00,44,-455.0,-5080.0,144920.0,150725.0,5805.0,0.038513849726322776
45,2015-06-30 14:07:00-04:00,45,-450.0,-5530.0,144470.0,150725.0,6255.0,0.04149941947254934
46,2015-07-01 15:55:00-04:00,46,-85.0,-5615.0,144385.0,150725.0,6340.0,0.042063360424614366
47,2015-07-02 15:55:00-04:00,47,-230.0,-5845.0,144155.0,150725.0,6570.0,0.04358931829490795
48,2015-07-06 15:55:00-04:00,48,110.0,-5735.0,144265.0,150725.0,6460.0,0.04285951235694145
49,2015-07-07 12:58:00-04:00,49,-450.0,-6185.0,143815.0,150725.0,6910.0,0.04584508210316802
50,2015-07-08 15:55:00-04:00,50,85.0,-6100.0,143900.0,150725.0,6825.0,0.045281141151103
51,2015-07-09 15:55:00-04:00,51,505.0,-5595.0,144405.0,150725.0,6320.0,0.04193066843589318
52,2015-07-10 15:55:00-04:00,52,-120.0,-5715.0,144285.0,150725.0,6440.0,0.042726820368220265
53,2015-07-13 15:55:00-04:00,53,-220.0,-5935.0,144065.0,150725.0,6660.0,0.04418643224415326
54,2015-07-14 15:55:00-04:00,54,50.0,-5885.0,144115.0,150725.0,6610.0,0.043854702272350304
55,2015-07-16 15:55:00-04:00,55,-265.0,-6150.0,143850.0,150725.0,6875.0,0.045612871122905956
56,2015-07-28 14:00:00-04:00,56,-465.0,-6615.0,143385.0,150725.0,7340.0,0.048697959860673413
57,2015-08-12 12:34:00-04:00,57,-455.0,-7070.0,142930.0,150725.0,7795.0,0.051716702604080275
58,2015-08-13 15:55:00-04:00,58,255.0,-6815.0,143185.0,150725.0,7540.0,0.05002487974788522
59,2015-08-14 15:55:00-04:00,59,-315.0,-7130.0,142870.0,150725.0,7855.0,0.052114778570243825
60,2015-08-20 15:55:00-04:00,60,815.0,-6315.0,143685.0,150725.0,7040.0,0.0467075800298557
61,2015-08-21 14:49:00-04:00,61,850.0,-5465.0,144535.0,150725.0,6190.0,0.041068170509205505
62,2015-08-24 12:11:00-04:00,62,-430.0,-5895.0,144105.0,150725.0,6620.0,0.0439210482667109
63,2015-08-25 13:26:00-04:00,63,830.0,-5065.0,144935.0,150725.0,5790.0,0.038414330734781885
64,2015-08-26 13:23:00-04:00,64,-420.0,-5485.0,144515.0,150725.0,6210.0,0.04120086249792669
65,2015-08-27 12:29:00-04:00,65,-440.0,-5925.0,144075.0,150725.0,6650.0,0.04412008624979267
66,2015-08-28 15:52:00-04:00,66,-445.0,-6370.0,143630.0,150725.0,7095.0,0.04707248299883895
67,2015-08-31 14:50:00-04:00,67,860.0,-5510.0,144490.0,150725.0,6235.0,0.041366727483828164
68,2015-09-01 13:12:00-04:00,68,840.0,-4670.0,145330.0,150725.0,5395.0,0.035793663957538566
69,2015-09-02 12:49:00-04:00,69,-430.0,-5100.0,144900.0,150725.0,5825.0,0.038646541715043954
70,2015-09-03 14:00:00-04:00,70,850.0,-4250.0,145750.0,150725.0,4975.0,0.033007132194393766
71,2015-09-04 15:55:00-04:00,71,-80.0,-4330.0,145670.0,150725.0,5055.0,0.03353790014927849
72,2015-09-08 14:16:00-04:00,72,-440.0,-4770.0,145230.0,150725.0,5495.0,0.036457123901144466
73,2015-09-09 15:31:00-04:00,73,860.0,-3910.0,146090.0,150725.0,4635.0,0.03075136838613369
74,2015-09-10 13:28:00-04:00,74,-440.0,-4350.0,145650.0,150725.0,5075.0,0.033670592137999666
75,2015-09-11 14:37:00-04:00,75,-440.0,-4790.0,145210.0,150725.0,5515.0,0.03658981588986565
76,2015-09-14 15:55:00-04:00,76,-45.0,-4835.0,145165.0,150725.0,5560.0,0.03688837286448831
77,2015-09-15 14:13:00-04:00,77,-445.0,-5280.0,144720.0,150725.0,6005.0,0.03984076961353458
78,2015-09-16 15:55:00-04:00,78,-300.0,-5580.0,144420.0,150725.0,6305.0,0.041831149444352296
79,2015-09-17 14:00:00-04:00,79,-450.0,-6030.0,143970.0,150725.0,6755.0,0.04481671919057887
80,2015-09-18 13:57:00-04:00,80,870.0,-5160.0,144840.0,150725.0,5885.0,0.0390446176812075
81,2015-09-21 15:55:00-04:00,81,245.0,-4915.0,145085.0,150725.0,5640.0,0.03741914081937303
82,2015-09-22 15:30:00-04:00,82,-435.0,-5350.0,144650.0,150725.0,6075.0,0.040305191574058714
83,2015-09-23 14:05:00-04:00,83,-440.0,-5790.0,144210.0,150725.0,6515.0,0.0432244153259247
84,2015-09-24 12:34:00-04:00,84,-435.0,-6225.0,143775.0,150725.0,6950.0,0.04611046608061038
85,2015-09-25 14:28:00-04:00,85,850.0,-5375.0,144625.0,150725.0,6100.0,0.040471056559960195
86,2015-09-28 14:14:00-04:00,86,820.0,-4555.0,145445.0,150725.0,5280.0,0.035030685022391775
87,2015-09-29 15:01:00-04:00,87,820.0,-3735.0,146265.0,150725.0,4460.0,0.029590313484823355
88,2015-09-30 15:35:00-04:00,88,-425.0,-4160.0,145840.0,150725.0,4885.0,0.03241001824514845
89,2015-10-01 14:09:00-04:00,89,-425.0,-4585.0,145415.0,150725.0,5310.0,0.03522972300547354
90,2015-10-02 12:22:00-04:00,90,-430.0,-5015.0,144985.0,150725.0,5740.0,0.03808260076297894
91,2015-10-05 14:00:00-04:00,91,-440.0,-5455.0,144545.0,150725.0,6180.0,0.041001824514844916
92,2015-10-06 13:21:00-04:00,92,-440.0,-5895.0,144105.0,150725.0,6620.0,0.0439210482667109
93,2015-10-07 14:04:00-04:00,93,-440.0,-6335.0,143665.0,150725.0,7060.0,0.04684027201857688
94,2015-10-08 14:31:00-04:00,94,-440.0,-6775.0,143225.0,150725.0,7500.0,0.049759495770442856
95,2015-10-09 15:55:00-04:00,95,-10.0,-6785.0,143215.0,150725.0,7510.0,0.04982584176480345
96,2015-10-12 15:55:00-04:00,96,35.0,-6750.0,143250.0,150725.0,7475.0,0.04959363078454138
97,2015-10-13 15:55:00-04:00,97,640.0,-6110.0,143890.0,150725.0,6835.0,0.04534748714546359
98,2015-10-14 12:46:00-04:00,98,-445.0,-6555.0,143445.0,150725.0,7280.0,0.04829988389450987
99,2015-10-15 13:04:00-04:00,99,-450.0,-7005.0,142995.0,150725.0,7730.0,0.05128545364073644
100,2015-10-16 15:55:00-04:00,100,-80.0,-7085.0,142915.0,150725.0,7810.0,0.051816221595621166
101,2015-11-10 15:55:00-05:00,101,-30.0,-7115.0,142885.0,150725.0,7840.0,0.052015259578702934
102,2015-11-13 15:55:00-05:00,102,690.0,-6425.0,143575.0,150725.0,7150.0,0.047437385967822196
103,2015-11-16 13:05:00-05:00,103,-465.0,-6890.0,143110.0,150725.0,7615.0,0.05052247470558965
104,2015-11-17 15:55:00-05:00,104,485.0,-6405.0,143595.0,150725.0,7130.0,0.04730469397910101
105,2015-11-18 14:12:00-05:00,105,-475.0,-6880.0,143120.0,150725.0,7605.0,0.05045612871122906
106,2015-11-19 15:55:00-05:00,106,-35.0,-6915.0,143085.0,150725.0,7640.0,0.05068833969149113
107,2015-11-20 15:55:00-05:00,107,-65.0,-6980.0,143020.0,150725.0,7705.0,0.051119588654834965
108,2015-12-04 12:42:00-05:00,108,-480.0,-7460.0,142540.0,150725.0,8185.0,0.054304196384143306
109,2015-12-09 12:41:00-05:00,109,920.0,-6540.0,143460.0,150725.0,7265.0,0.04820036490296898
110,2015-12-10 14:28:00-05:00,110,-475.0,-7015.0,142985.0,150725.0,7740.0,0.051351799635097034
111,2015-12-11 15:55:00-05:00,111,475.0,-6540.0,143460.0,150725.0,7265.0,0.04820036490296898
112,2015-12-14 12:25:00-05:00,112,-465.0,-7005.0,142995.0,150725.0,7730.0,0.05128545364073644
113,2015-12-15 12:31:00-05:00,113,-475.0,-7480.0,142520.0,150725.0,8205.0,0.054436888372864485
114,2015-12-16 14:03:00-05:00,114,-470.0,-7950.0,142050.0,150725.0,8675.0,0.05755515010781224
115,2015-12-17 15:55:00-05:00,115,420.0,-7530.0,142470.0,150725.0,8255.0,0.05476861834466744
116,2015-12-18 15:55:00-05:00,116,650.0,-6880.0,143120.0,150725.0,7605.0,0.05045612871122906
117,2015-12-21 15:55:00-05:00,117,-455.0,-7335.0,142665.0,150725.0,8060.0,0.053474871454635926
118,2015-12-22 15:21:00-05:00,118,-470.0,-7805.0,142195.0,150725.0,8530.0,0.05659313318958368
