point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2015-01-15 13:30:00-05:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2015-01-15 15:55:00-05:00,1,215.0,215.0,150215.0,150215.0,0.0,0.0
2,2015-01-20 14:46:00-05:00,2,-510.0,-295.0,149705.0,150215.0,510.0,0.003395133641780115
3,2015-01-30 15:55:00-05:00,3,700.0,405.0,150405.0,150405.0,0.0,0.0
4,2015-02-02 15:38:00-05:00,4,-510.0,-105.0,149895.0,150405.0,510.0,0.0033908447192580035
5,2015-02-05 15:55:00-05:00,5,-310.0,-415.0,149585.0,150405.0,820.0,0.005451946411356006
6,2015-02-06 15:55:00-05:00,6,265.0,-150.0,149850.0,150405.0,555.0,0.0036900369003690036
7,2015-02-09 15:55:00-05:00,7,95.0,-55.0,149945.0,150405.0,460.0,0.003058408962468003
8,2015-02-10 15:55:00-05:00,8,-410.0,-465.0,149535.0,150405.0,870.0,0.005784382168146006
9,2015-02-20 15:55:00-05:00,9,-255.0,-720.0,149280.0,150405.0,1125.0,0.007479804527775007
10,2015-02-23 15:55:00-05:00,10,-150.0,-870.0,149130.0,150405.0,1275.0,0.00847711179814501
11,2015-03-06 15:55:00-05:00,11,200.0,-670.0,149330.0,150405.0,1075.0,0.007147368770985007
12,2015-03-11 15:55:00-04:00,12,375.0,-295.0,149705.0,150405.0,700.0,0.004654100595060004
13,2015-03-16 15:55:00-04:00,13,-295.0,-590.0,149410.0,150405.0,995.0,0.006615471560121006
14,2015-03-18 14:00:00-04:00,14,-535.0,-1125.0,148875.0,150405.0,1530.0,0.01017253415777401
15,2015-05-06 15:55:00-04:00,15,-5.0,-1130.0,148870.0,150405.0,1535.0,0.01020577773345301
16,2015-05-15 15:55:00-04:00,16,-125.0,-1255.0,148745.0,150405.0,1660.0,0.01103686712542801
17,2015-05-26 15:55:00-04:00,17,-60.0,-1315.0,148685.0,150405.0,1720.0,0.011435790033576011
18,2015-05-28 15:55:00-04:00,18,-145.0,-1460.0,148540.0,150405.0,1865.0,0.012399853728267012
19,2015-05-29 15:55:00-04:00,19,385.0,-1075.0,148925.0,150405.0,1480.0,0.00984009840098401
20,2015-06-01 15:55:00-04:00,20,200.0,-875.0,149125.0,150405.0,1280.0,0.008510355373824009
21,2015-06-02 15:55:00-04:00,21,285.0,-590.0,149410.0,150405.0,995.0,0.006615471560121006
22,2015-06-03 15:55:00-04:00,22,40.0,-550.0,149450.0,150405.0,955.0,0.0063495229546890065
23,2015-06-05 15:55:00-04:00,23,70.0,-480.0,149520.0,150405.0,885.0,0.005884112895183006
24,2015-06-08 15:55:00-04:00,24,-140.0,-620.0,149380.0,150405.0,1025.0,0.006814933014195007
25,2015-06-09 15:55:00-04:00,25,175.0,-445.0,149555.0,150405.0,850.0,0.005651407865430005
26,2015-06-11 15:55:00-04:00,26,85.0,-360.0,149640.0,150405.0,765.0,0.005086267078887005
27,2015-06-12 15:55:00-04:00,27,35.0,-325.0,149675.0,150405.0,730.0,0.004853562049134005
28,2015-06-15 15:55:00-04:00,28,-125.0,-450.0,149550.0,150405.0,855.0,0.005684651441109006
29,2015-06-16 15:55:00-04:00,29,45.0,-405.0,149595.0,150405.0,810.0,0.005385459259998005
30,2015-06-17 14:40:00-04:00,30,-545.0,-950.0,149050.0,150405.0,1355.0,0.009009009009009009
31,2015-06-30 15:55:00-04:00,31,-220.0,-1170.0,148830.0,150405.0,1575.0,0.010471726338885011
32,2015-07-28 15:55:00-04:00,32,-75.0,-1245.0,148755.0,150405.0,1650.0,0.010970379974070011
33,2015-08-07 15:24:00-04:00,33,-550.0,-1795.0,148205.0,150405.0,2200.0,0.014627173298760015
34,2015-08-18 15:55:00-04:00,34,115.0,-1680.0,148320.0,150405.0,2085.0,0.013862571058143014
35,2015-08-24 14:06:00-04:00,35,990.0,-690.0,149310.0,150405.0,1095.0,0.007280343073701007
36,2015-08-28 15:55:00-04:00,36,-320.0,-1010.0,148990.0,150405.0,1415.0,0.00940793191715701
37,2015-08-31 15:55:00-04:00,37,430.0,-580.0,149420.0,150405.0,985.0,0.006548984408763007
38,2015-09-01 15:41:00-04:00,38,1000.0,420.0,150420.0,150420.0,0.0,0.0
39,2015-09-02 15:55:00-04:00,39,-390.0,30.0,150030.0,150420.0,390.0,0.0025927403270841645
40,2015-09-03 15:55:00-04:00,40,270.0,300.0,150300.0,150420.0,120.0,0.0007977662544874351
41,2015-09-04 15:45:00-04:00,41,-515.0,-215.0,149785.0,150420.0,635.0,0.0042215130966626775
42,2015-09-08 14:16:00-04:00,42,-525.0,-740.0,149260.0,150420.0,1160.0,0.007711740460045207
43,2015-09-10 15:55:00-04:00,43,405.0,-335.0,149665.0,150420.0,755.0,0.005019279351150113
44,2015-09-11 15:55:00-04:00,44,-420.0,-755.0,149245.0,150420.0,1175.0,0.007811461241856136
45,2015-09-14 15:55:00-04:00,45,-115.0,-870.0,149130.0,150420.0,1290.0,0.008575987235739928
46,2015-09-15 15:55:00-04:00,46,-105.0,-975.0,149025.0,150420.0,1395.0,0.009274032708416435
47,2015-09-17 14:43:00-04:00,47,-540.0,-1515.0,148485.0,150420.0,1935.0,0.012863980853609892
48,2015-09-21 15:55:00-04:00,48,-80.0,-1595.0,148405.0,150420.0,2015.0,0.013395825023268183
49,2015-09-22 14:59:00-04:00,49,-520.0,-2115.0,147885.0,150420.0,2535.0,0.016852812126047067
50,2015-09-24 14:23:00-04:00,50,-515.0,-2630.0,147370.0,150420.0,3050.0,0.02027655896822231
51,2015-09-25 14:42:00-04:00,51,1020.0,-1610.0,148390.0,150420.0,2030.0,0.013495545805079112
52,2015-11-05 15:55:00-05:00,52,-115.0,-1725.0,148275.0,150420.0,2145.0,0.014260071798962904
53,2015-11-12 15:55:00-05:00,53,695.0,-1030.0,148970.0,150420.0,1450.0,0.009639675575056508
54,2015-11-16 15:03:00-05:00,54,-555.0,-1585.0,148415.0,150420.0,2005.0,0.013329344502060896
55,2015-11-17 15:55:00-05:00,55,130.0,-1455.0,148545.0,150420.0,1875.0,0.012465097726366175
56,2015-11-24 15:55:00-05:00,56,70.0,-1385.0,148615.0,150420.0,1805.0,0.01199973407791517
57,2015-11-25 15:55:00-05:00,57,60.0,-1325.0,148675.0,150420.0,1745.0,0.011600850950671454
58,2015-12-01 15:55:00-05:00,58,-400.0,-1725.0,148275.0,150420.0,2145.0,0.014260071798962904
59,2015-12-04 15:55:00-05:00,59,-165.0,-1890.0,148110.0,150420.0,2310.0,0.015357000398883127
60,2015-12-08 15:55:00-05:00,60,-370.0,-2260.0,147740.0,150420.0,2680.0,0.01781677968355272
61,2015-12-09 15:36:00-05:00,61,-565.0,-2825.0,147175.0,150420.0,3245.0,0.021572929131764392
62,2015-12-10 15:55:00-05:00,62,240.0,-2585.0,147415.0,150420.0,3005.0,0.019977396622789523
63,2015-12-11 15:55:00-05:00,63,275.0,-2310.0,147690.0,150420.0,2730.0,0.01814918228958915
64,2015-12-14 14:54:00-05:00,64,-555.0,-2865.0,147135.0,150420.0,3285.0,0.021838851216593538
65,2015-12-17 15:55:00-05:00,65,485.0,-2380.0,147620.0,150420.0,2800.0,0.018614545938040156
66,2015-12-18 15:55:00-05:00,66,235.0,-2145.0,147855.0,150420.0,2565.0,0.017052253689668926
67,2015-12-21 15:55:00-05:00,67,-160.0,-2305.0,147695.0,150420.0,2725.0,0.018115942028985508
68,2015-12-22 15:55:00-05:00,68,-320.0,-2625.0,147375.0,150420.0,3045.0,0.020243318707618668
69,2015-12-23 15:55:00-05:00,69,-275.0,-2900.0,147100.0,150420.0,3320.0,0.02207153304081904
