trade_id,wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_train_objective,wfa_selected_params,source_trade_id,strategy_name,session_date,direction,level_type,academic_source_key,setup_mode,feature_method,signal_bar_timestamp,signal_close_timestamp,intended_entry_timestamp,signal_direction,flow_mode,impulse_start_timestamp,impulse_end_timestamp,pause_start_timestamp,pause_end_timestamp,impulse_move_ticks,pause_high,pause_low,pause_retrace_fraction,breakout_level,breakout_ticks,signal_open,signal_high,signal_low,signal_close,signal_signed_flow,signal_flow_volume,signal_orderflow_imbalance,impulse_bars,pause_bars,max_pullback_fraction,min_impulse_ticks,min_orderflow_imbalance,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.847720090271861,"{'entry.params.min_impulse_ticks': 12, 'entry.params.min_orderflow_imbalance': 0.06, 'sl.params.stop_pct': 0.005, 'tp.params.target_r_multiple': 1.5}",1,impulse_pause_orderflow_continuation,2015-01-05,short,short_large10_late_morning_large10_two_sided_impulse_pause_breakout_1230,impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,completed_impulse_pause_breakout_with_sierra_aggregate_orderflow,2015-01-05 12:25:00-05:00,2015-01-05 12:30:00-05:00,2015-01-05 12:30:00-05:00,short,large10,2015-01-05 11:55:00-05:00,2015-01-05 12:10:00-05:00,2015-01-05 12:15:00-05:00,2015-01-05 12:20:00-05:00,34.0,4177.5,4170.0,0.3235294117647059,4170.0,10.0,4171.75,4173.5,4167.0,4167.5,-238.0,424.0,-0.5613207547169812,4,2,0.55,12.0,0.06,15:55:00,4170.0,2015-01-05 12:25:00-05:00,4173.5,4167.0,2015-01-05 12:30:00-05:00,2015-01-05 12:30:00-05:00,4167.25,4188.25,4135.75,21.0,1,22.25,6.75,fixed_contracts,2015-01-05 15:55:00-05:00,4163.5,eod_flatten,75.0,70.0,0.17857142857142858,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.847720090271861,"{'entry.params.min_impulse_ticks': 12, 'entry.params.min_orderflow_imbalance': 0.06, 'sl.params.stop_pct': 0.005, 'tp.params.target_r_multiple': 1.5}",2,impulse_pause_orderflow_continuation,2015-01-06,short,short_large10_late_morning_large10_two_sided_impulse_pause_breakout_1230,impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,completed_impulse_pause_breakout_with_sierra_aggregate_orderflow,2015-01-06 10:55:00-05:00,2015-01-06 11:00:00-05:00,2015-01-06 11:00:00-05:00,short,large10,2015-01-06 10:25:00-05:00,2015-01-06 10:40:00-05:00,2015-01-06 10:45:00-05:00,2015-01-06 10:50:00-05:00,65.0,4151.25,4142.25,0.16923076923076924,4142.25,13.0,4146.5,4147.0,4137.75,4139.0,-66.0,186.0,-0.3548387096774194,4,2,0.55,12.0,0.06,15:55:00,4142.25,2015-01-06 10:55:00-05:00,4147.0,4137.75,2015-01-06 11:00:00-05:00,2015-01-06 11:00:00-05:00,4138.75,4159.5,4107.625,20.75,1,31.5,1.25,fixed_contracts,2015-01-06 11:40:00-05:00,4107.875,target,617.5,612.5,1.4879518072289157,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.847720090271861,"{'entry.params.min_impulse_ticks': 12, 'entry.params.min_orderflow_imbalance': 0.06, 'sl.params.stop_pct': 0.005, 'tp.params.target_r_multiple': 1.5}",3,impulse_pause_orderflow_continuation,2015-01-07,long,long_large10_late_morning_large10_two_sided_impulse_pause_breakout_1230,impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,completed_impulse_pause_breakout_with_sierra_aggregate_orderflow,2015-01-07 11:45:00-05:00,2015-01-07 11:50:00-05:00,2015-01-07 11:50:00-05:00,long,large10,2015-01-07 11:15:00-05:00,2015-01-07 11:30:00-05:00,2015-01-07 11:35:00-05:00,2015-01-07 11:40:00-05:00,34.0,4142.75,4134.0,0.38235294117647056,4142.75,2.0,4141.75,4143.75,4137.75,4143.25,22.0,22.0,1.0,4,2,0.55,12.0,0.06,15:55:00,4142.75,2015-01-07 11:45:00-05:00,4143.75,4137.75,2015-01-07 11:50:00-05:00,2015-01-07 11:50:00-05:00,4143.5,4122.75,4174.625,20.75,1,19.75,2.75,fixed_contracts,2015-01-07 15:55:00-05:00,4149.75,eod_flatten,125.0,120.0,0.30120481927710846,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.847720090271861,"{'entry.params.min_impulse_ticks': 12, 'entry.params.min_orderflow_imbalance': 0.06, 'sl.params.stop_pct': 0.005, 'tp.params.target_r_multiple': 1.5}",4,impulse_pause_orderflow_continuation,2015-01-08,long,long_large10_late_morning_large10_two_sided_impulse_pause_breakout_1230,impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,completed_impulse_pause_breakout_with_sierra_aggregate_orderflow,2015-01-08 10:10:00-05:00,2015-01-08 10:15:00-05:00,2015-01-08 10:15:00-05:00,long,large10,2015-01-08 09:40:00-05:00,2015-01-08 09:55:00-05:00,2015-01-08 10:00:00-05:00,2015-01-08 10:05:00-05:00,45.0,4213.5,4207.25,0.044444444444444446,4213.5,8.0,4213.25,4215.75,4211.5,4215.5,47.0,119.0,0.3949579831932773,4,2,0.55,12.0,0.06,15:55:00,4213.5,2015-01-08 10:10:00-05:00,4215.75,4211.5,2015-01-08 10:15:00-05:00,2015-01-08 10:15:00-05:00,4216.0,4194.75,4247.875,21.25,1,26.75,4.0,fixed_contracts,2015-01-08 15:55:00-05:00,4234.75,eod_flatten,375.0,370.0,0.8823529411764706,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.847720090271861,"{'entry.params.min_impulse_ticks': 12, 'entry.params.min_orderflow_imbalance': 0.06, 'sl.params.stop_pct': 0.005, 'tp.params.target_r_multiple': 1.5}",5,impulse_pause_orderflow_continuation,2015-01-09,short,short_large10_late_morning_large10_two_sided_impulse_pause_breakout_1230,impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,completed_impulse_pause_breakout_with_sierra_aggregate_orderflow,2015-01-09 10:15:00-05:00,2015-01-09 10:20:00-05:00,2015-01-09 10:20:00-05:00,short,large10,2015-01-09 09:45:00-05:00,2015-01-09 10:00:00-05:00,2015-01-09 10:05:00-05:00,2015-01-09 10:10:00-05:00,55.0,4238.0,4227.5,0.41818181818181815,4227.5,3.0,4232.0,4233.0,4224.75,4226.75,-79.0,217.0,-0.3640552995391705,4,2,0.55,12.0,0.06,15:55:00,4227.5,2015-01-09 10:15:00-05:00,4233.0,4224.75,2015-01-09 10:20:00-05:00,2015-01-09 10:20:00-05:00,4226.75,4248.0,4194.875,21.25,1,33.5,1.5,fixed_contracts,2015-01-09 11:05:00-05:00,4195.125,target,632.5,627.5,1.488235294117647,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.847720090271861,"{'entry.params.min_impulse_ticks': 12, 'entry.params.min_orderflow_imbalance': 0.06, 'sl.params.stop_pct': 0.005, 'tp.params.target_r_multiple': 1.5}",6,impulse_pause_orderflow_continuation,2015-01-12,long,long_large10_late_morning_large10_two_sided_impulse_pause_breakout_1230,impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,completed_impulse_pause_breakout_with_sierra_aggregate_orderflow,2015-01-12 11:00:00-05:00,2015-01-12 11:05:00-05:00,2015-01-12 11:05:00-05:00,long,large10,2015-01-12 10:30:00-05:00,2015-01-12 10:45:00-05:00,2015-01-12 10:50:00-05:00,2015-01-12 10:55:00-05:00,53.0,4182.0,4169.25,0.33962264150943394,4182.0,3.0,4181.75,4185.0,4181.25,4182.75,12.0,108.0,0.1111111111111111,4,2,0.55,12.0,0.06,15:55:00,4182.0,2015-01-12 11:00:00-05:00,4185.0,4181.25,2015-01-12 11:05:00-05:00,2015-01-12 11:05:00-05:00,4183.0,4162.0,4214.5,21.0,1,2.0,25.25,fixed_contracts,2015-01-12 13:20:00-05:00,4161.75,stop,-425.0,-430.0,-1.0119047619047619,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.847720090271861,"{'entry.params.min_impulse_ticks': 12, 'entry.params.min_orderflow_imbalance': 0.06, 'sl.params.stop_pct': 0.005, 'tp.params.target_r_multiple': 1.5}",7,impulse_pause_orderflow_continuation,2015-01-14,long,long_large10_late_morning_large10_two_sided_impulse_pause_breakout_1230,impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,completed_impulse_pause_breakout_with_sierra_aggregate_orderflow,2015-01-14 10:00:00-05:00,2015-01-14 10:05:00-05:00,2015-01-14 10:05:00-05:00,long,large10,2015-01-14 09:30:00-05:00,2015-01-14 09:45:00-05:00,2015-01-14 09:50:00-05:00,2015-01-14 09:55:00-05:00,77.0,4141.25,4129.5,0.42857142857142855,4141.25,3.0,4138.25,4147.0,4137.75,4142.0,192.0,242.0,0.7933884297520661,4,2,0.55,12.0,0.06,15:55:00,4141.25,2015-01-14 10:00:00-05:00,4147.0,4137.75,2015-01-14 10:05:00-05:00,2015-01-14 10:05:00-05:00,4142.25,4121.5,4173.375,20.75,1,16.75,20.75,fixed_contracts,2015-01-14 11:15:00-05:00,4121.25,stop,-420.0,-425.0,-1.0120481927710843,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.847720090271861,"{'entry.params.min_impulse_ticks': 12, 'entry.params.min_orderflow_imbalance': 0.06, 'sl.params.stop_pct': 0.005, 'tp.params.target_r_multiple': 1.5}",8,impulse_pause_orderflow_continuation,2015-01-15,short,short_large10_late_morning_large10_two_sided_impulse_pause_breakout_1230,impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,completed_impulse_pause_breakout_with_sierra_aggregate_orderflow,2015-01-15 11:20:00-05:00,2015-01-15 11:25:00-05:00,2015-01-15 11:25:00-05:00,short,large10,2015-01-15 10:50:00-05:00,2015-01-15 11:05:00-05:00,2015-01-15 11:10:00-05:00,2015-01-15 11:15:00-05:00,41.0,4124.0,4111.75,0.5365853658536586,4111.75,17.0,4112.5,4113.75,4107.0,4107.5,-22.0,110.0,-0.2,4,2,0.55,12.0,0.06,15:55:00,4111.75,2015-01-15 11:20:00-05:00,4113.75,4107.0,2015-01-15 11:25:00-05:00,2015-01-15 11:25:00-05:00,4107.25,4128.0,4076.125,20.75,1,24.5,11.25,fixed_contracts,2015-01-15 15:55:00-05:00,4084.25,eod_flatten,460.0,455.0,1.108433734939759,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.847720090271861,"{'entry.params.min_impulse_ticks': 12, 'entry.params.min_orderflow_imbalance': 0.06, 'sl.params.stop_pct': 0.005, 'tp.params.target_r_multiple': 1.5}",9,impulse_pause_orderflow_continuation,2015-01-16,long,long_large10_late_morning_large10_two_sided_impulse_pause_breakout_1230,impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,completed_impulse_pause_breakout_with_sierra_aggregate_orderflow,2015-01-16 12:25:00-05:00,2015-01-16 12:30:00-05:00,2015-01-16 12:30:00-05:00,long,large10,2015-01-16 11:55:00-05:00,2015-01-16 12:10:00-05:00,2015-01-16 12:15:00-05:00,2015-01-16 12:20:00-05:00,15.0,4097.5,4093.0,0.4666666666666667,4097.5,2.0,4095.0,4100.0,4093.75,4098.0,58.0,102.0,0.5686274509803921,4,2,0.55,12.0,0.06,15:55:00,4097.5,2015-01-16 12:25:00-05:00,4100.0,4093.75,2015-01-16 12:30:00-05:00,2015-01-16 12:30:00-05:00,4098.0,4077.5,4128.75,20.5,1,32.25,1.25,fixed_contracts,2015-01-16 15:40:00-05:00,4128.5,target,610.0,605.0,1.4878048780487805,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.847720090271861,"{'entry.params.min_impulse_ticks': 12, 'entry.params.min_orderflow_imbalance': 0.06, 'sl.params.stop_pct': 0.005, 'tp.params.target_r_multiple': 1.5}",10,impulse_pause_orderflow_continuation,2015-01-21,long,long_large10_late_morning_large10_two_sided_impulse_pause_breakout_1230,impulse_pause_orderflow_continuation,late_morning_large10_two_sided_impulse_pause_breakout_1230,completed_impulse_pause_breakout_with_sierra_aggregate_orderflow,2015-01-21 10:40:00-05:00,2015-01-21 10:45:00-05:00,2015-01-21 10:45:00-05:00,long,large10,2015-01-21 10:10:00-05:00,2015-01-21 10:25:00-05:00,2015-01-21 10:30:00-05:00,2015-01-21 10:35:00-05:00,50.0,4173.75,4165.0,0.46,4173.75,17.0,4165.25,4178.0,4164.75,4178.0,30.0,70.0,0.42857142857142855,4,2,0.55,12.0,0.06,15:55:00,4173.75,2015-01-21 10:40:00-05:00,4178.0,4164.75,2015-01-21 10:45:00-05:00,2015-01-21 10:45:00-05:00,4178.25,4157.25,4209.75,21.0,1,27.0,15.5,fixed_contracts,2015-01-21 15:55:00-05:00,4185.0,eod_flatten,135.0,130.0,0.32142857142857145,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
