point,timestamp,trade_id,net_pnl,cumulative_net_pnl,equity,peak_equity,drawdown,drawdown_pct
0,2015-01-05 10:30:00-05:00,,0.0,0.0,150000.0,150000.0,0.0,0.0
1,2015-01-05 15:55:00-05:00,1,475.0,475.0,150475.0,150475.0,0.0,0.0
2,2015-01-06 15:55:00-05:00,2,945.0,1420.0,151420.0,151420.0,0.0,0.0
3,2015-01-07 15:55:00-05:00,3,-225.0,1195.0,151195.0,151420.0,225.0,0.0014859331660282658
4,2015-01-08 15:55:00-05:00,4,-425.0,770.0,150770.0,151420.0,650.0,0.004292695812970546
5,2015-01-09 15:55:00-05:00,5,65.0,835.0,150835.0,151420.0,585.0,0.003863426231673491
6,2015-01-12 15:55:00-05:00,6,-165.0,670.0,150670.0,151420.0,750.0,0.004953110553427552
7,2015-01-13 14:06:00-05:00,7,1902.5,2572.5,152572.5,152572.5,0.0,0.0
8,2015-01-14 15:55:00-05:00,8,190.0,2762.5,152762.5,152762.5,0.0,0.0
9,2015-01-15 15:55:00-05:00,9,925.0,3687.5,153687.5,153687.5,0.0,0.0
10,2015-01-16 15:43:00-05:00,10,-750.0,2937.5,152937.5,153687.5,750.0,0.004880032533550223
11,2015-01-20 15:18:00-05:00,11,-755.0,2182.5,152182.5,153687.5,1505.0,0.009792598617324115
12,2015-01-21 15:55:00-05:00,12,-305.0,1877.5,151877.5,153687.5,1810.0,0.011777145180967874
13,2015-01-22 14:32:00-05:00,13,-770.0,1107.5,151107.5,153687.5,2580.0,0.01678731191541277
14,2015-01-23 15:55:00-05:00,14,-100.0,1007.5,151007.5,153687.5,2680.0,0.017437982919886134
15,2015-01-26 15:55:00-05:00,15,-275.0,732.5,150732.5,153687.5,2955.0,0.01922732818218788
16,2015-01-27 15:55:00-05:00,16,160.0,892.5,150892.5,153687.5,2795.0,0.0181862545750305
17,2015-01-28 15:55:00-05:00,17,1350.0,2242.5,152242.5,153687.5,1445.0,0.009402196014640098
18,2015-01-29 15:09:00-05:00,18,-755.0,1487.5,151487.5,153687.5,2200.0,0.014314762098413989
19,2015-01-30 15:55:00-05:00,19,520.0,2007.5,152007.5,153687.5,1680.0,0.010931272875152501
20,2015-02-02 11:10:00-05:00,20,-750.0,1257.5,151257.5,153687.5,2430.0,0.015811305408702726
21,2015-02-03 15:55:00-05:00,21,-365.0,892.5,150892.5,153687.5,2795.0,0.0181862545750305
22,2015-02-04 15:16:00-05:00,22,-770.0,122.5,150122.5,153687.5,3565.0,0.023196421309475395
23,2015-02-05 15:55:00-05:00,23,-380.0,-257.5,149742.5,153687.5,3945.0,0.025668971126474177
24,2015-02-06 15:55:00-05:00,24,615.0,357.5,150357.5,153687.5,3330.0,0.021667344448962993
25,2015-02-09 15:55:00-05:00,25,-145.0,212.5,150212.5,153687.5,3475.0,0.02261081740544937
26,2015-02-10 14:39:00-05:00,26,-775.0,-562.5,149437.5,153687.5,4250.0,0.027653517690117934
27,2015-02-11 15:55:00-05:00,27,-55.0,-617.5,149382.5,153687.5,4305.0,0.028011386742578283
28,2015-02-12 15:55:00-05:00,28,-395.0,-1012.5,148987.5,153687.5,4700.0,0.030581537210248068
29,2015-02-13 15:55:00-05:00,29,-465.0,-1477.5,148522.5,153687.5,5165.0,0.033607157381049205
30,2015-02-17 15:55:00-05:00,30,45.0,-1432.5,148567.5,153687.5,5120.0,0.03331435542903619
31,2015-02-18 15:55:00-05:00,31,-225.0,-1657.5,148342.5,153687.5,5345.0,0.03477836518910126
32,2015-02-19 15:55:00-05:00,32,-50.0,-1707.5,148292.5,153687.5,5395.0,0.03510370069133794
33,2015-02-20 15:55:00-05:00,33,-635.0,-2342.5,147657.5,153687.5,6030.0,0.0392354615697438
34,2015-02-23 15:55:00-05:00,34,-305.0,-2647.5,147352.5,153687.5,6335.0,0.04122000813338755
35,2015-02-24 15:55:00-05:00,35,-125.0,-2772.5,147227.5,153687.5,6460.0,0.04203334688897926
36,2015-02-25 15:55:00-05:00,36,50.0,-2722.5,147277.5,153687.5,6410.0,0.04170801138674258
37,2015-02-26 15:55:00-05:00,37,-430.0,-3152.5,146847.5,153687.5,6840.0,0.04450589670597804
38,2015-02-27 15:55:00-05:00,38,425.0,-2727.5,147272.5,153687.5,6415.0,0.041740544936966245
39,2015-03-02 15:55:00-05:00,39,-160.0,-2887.5,147112.5,153687.5,6575.0,0.04278161854412363
40,2015-03-03 15:55:00-05:00,40,-90.0,-2977.5,147022.5,153687.5,6665.0,0.04336722244814965
41,2015-03-04 15:55:00-05:00,41,-400.0,-3377.5,146622.5,153687.5,7065.0,0.045969906466043105
42,2015-03-06 15:55:00-05:00,42,1095.0,-2282.5,147717.5,153687.5,5970.0,0.03884505896705978
43,2015-03-09 15:55:00-04:00,43,-385.0,-2667.5,147332.5,153687.5,6355.0,0.041350142334282226
44,2015-03-11 15:55:00-04:00,44,485.0,-2182.5,147817.5,153687.5,5870.0,0.03819438796258642
45,2015-03-12 15:55:00-04:00,45,-275.0,-2457.5,147542.5,153687.5,6145.0,0.039983733224888164
46,2015-03-13 15:55:00-04:00,46,-10.0,-2467.5,147532.5,153687.5,6155.0,0.040048800325335504
47,2015-03-16 15:55:00-04:00,47,-365.0,-2832.5,147167.5,153687.5,6520.0,0.042423749491663276
48,2015-03-17 15:55:00-04:00,48,-350.0,-3182.5,146817.5,153687.5,6870.0,0.04470109800732005
49,2015-03-18 14:08:00-04:00,49,-795.0,-3977.5,146022.5,153687.5,7665.0,0.049873932492883286
50,2015-03-19 15:55:00-04:00,50,115.0,-3862.5,146137.5,153687.5,7550.0,0.04912566083773892
51,2015-03-20 15:55:00-04:00,51,-120.0,-3982.5,146017.5,153687.5,7670.0,0.04990646604310695
52,2015-03-23 15:55:00-04:00,52,200.0,-3782.5,146217.5,153687.5,7470.0,0.04860512403416023
53,2015-03-24 15:55:00-04:00,53,490.0,-3292.5,146707.5,153687.5,6980.0,0.04541683611224075
54,2015-03-25 15:55:00-04:00,54,1750.0,-1542.5,148457.5,153687.5,5230.0,0.03403009353395689
55,2015-03-26 13:41:00-04:00,55,-785.0,-2327.5,147672.5,153687.5,6015.0,0.039137860919072794
56,2015-03-27 15:55:00-04:00,56,-425.0,-2752.5,147247.5,153687.5,6440.0,0.041903212688084585
57,2015-03-30 15:55:00-04:00,57,-420.0,-3172.5,146827.5,153687.5,6860.0,0.04463603090687271
58,2015-03-31 15:55:00-04:00,58,605.0,-2567.5,147432.5,153687.5,6255.0,0.04069947132980887
59,2015-04-01 15:55:00-04:00,59,-255.0,-2822.5,147177.5,153687.5,6510.0,0.04235868239121594
60,2015-04-02 15:55:00-04:00,60,-165.0,-2987.5,147012.5,153687.5,6675.0,0.04343228954859699
61,2015-04-06 15:55:00-04:00,61,-320.0,-3307.5,146692.5,153687.5,6995.0,0.04551443676291175
62,2015-04-07 15:55:00-04:00,62,545.0,-2762.5,147237.5,153687.5,6450.0,0.041968279788531924
63,2015-04-08 15:55:00-04:00,63,-35.0,-2797.5,147202.5,153687.5,6485.0,0.042196014640097604
64,2015-04-09 15:55:00-04:00,64,-405.0,-3202.5,146797.5,153687.5,6890.0,0.04483123220821472
65,2015-06-17 15:55:00-04:00,65,-95.0,-3297.5,146702.5,153687.5,6985.0,0.04544936966246441
66,2015-06-18 15:55:00-04:00,66,-260.0,-3557.5,146442.5,153687.5,7245.0,0.04714111427409516
67,2015-06-19 15:55:00-04:00,67,80.0,-3477.5,146522.5,153687.5,7165.0,0.04662057747051647
68,2015-06-22 15:55:00-04:00,68,110.0,-3367.5,146632.5,153687.5,7055.0,0.04590483936559577
69,2015-06-23 15:55:00-04:00,69,-330.0,-3697.5,146302.5,153687.5,7385.0,0.04805205368035787
70,2015-06-26 15:55:00-04:00,70,515.0,-3182.5,146817.5,153687.5,6870.0,0.04470109800732005
71,2015-07-01 15:55:00-04:00,71,220.0,-2962.5,147037.5,153687.5,6650.0,0.04326962179747865
72,2015-07-02 15:55:00-04:00,72,-20.0,-2982.5,147017.5,153687.5,6670.0,0.04339975599837332
73,2015-07-06 15:55:00-04:00,73,90.0,-2892.5,147107.5,153687.5,6580.0,0.042814152094347295
74,2015-07-07 14:43:00-04:00,74,-800.0,-3692.5,146307.5,153687.5,7380.0,0.0480195201301342
75,2015-07-08 15:55:00-04:00,75,345.0,-3347.5,146652.5,153687.5,7035.0,0.0457747051647011
76,2015-07-09 15:55:00-04:00,76,545.0,-2802.5,147197.5,153687.5,6490.0,0.04222854819032127
77,2015-07-10 15:55:00-04:00,77,-415.0,-3217.5,146782.5,153687.5,6905.0,0.04492883285888573
78,2015-07-13 15:55:00-04:00,78,-380.0,-3597.5,146402.5,153687.5,7285.0,0.04740138267588451
79,2015-07-14 15:55:00-04:00,79,-215.0,-3812.5,146187.5,153687.5,7500.0,0.048800325335502236
80,2015-07-15 15:55:00-04:00,80,105.0,-3707.5,146292.5,153687.5,7395.0,0.048117120780805205
81,2015-07-16 15:55:00-04:00,81,-490.0,-4197.5,145802.5,153687.5,7885.0,0.05130540870272469
82,2015-07-17 15:55:00-04:00,82,-490.0,-4687.5,145312.5,153687.5,8375.0,0.054493696624644164
83,2015-07-20 15:55:00-04:00,83,-260.0,-4947.5,145052.5,153687.5,8635.0,0.056185441236274905
84,2015-07-21 15:55:00-04:00,84,-120.0,-5067.5,144932.5,153687.5,8755.0,0.05696624644164294
85,2015-07-22 15:55:00-04:00,85,310.0,-4757.5,145242.5,153687.5,8445.0,0.054949166327775516
86,2015-07-23 15:55:00-04:00,86,770.0,-3987.5,146012.5,153687.5,7675.0,0.049938999593330625
87,2015-07-24 15:55:00-04:00,87,795.0,-3192.5,146807.5,153687.5,6880.0,0.04476616510776738
88,2015-07-27 15:55:00-04:00,88,430.0,-2762.5,147237.5,153687.5,6450.0,0.041968279788531924
89,2015-07-28 12:20:00-04:00,89,-820.0,-3582.5,146417.5,153687.5,7270.0,0.0473037820252135
90,2015-07-29 15:55:00-04:00,90,-460.0,-4042.5,145957.5,153687.5,7730.0,0.05029686864579097
91,2015-07-30 13:02:00-04:00,91,-830.0,-4872.5,145127.5,153687.5,8560.0,0.05569743798291989
92,2015-07-31 15:55:00-04:00,92,300.0,-4572.5,145427.5,153687.5,8260.0,0.0537454249694998
93,2015-08-03 15:55:00-04:00,93,260.0,-4312.5,145687.5,153687.5,8000.0,0.05205368035786905
94,2015-08-04 15:55:00-04:00,94,300.0,-4012.5,145987.5,153687.5,7700.0,0.050101667344448965
95,2015-08-05 15:55:00-04:00,95,425.0,-3587.5,146412.5,153687.5,7275.0,0.04733631557543717
96,2015-08-06 15:55:00-04:00,96,545.0,-3042.5,146957.5,153687.5,6730.0,0.04379015860105734
97,2015-08-07 15:55:00-04:00,97,-285.0,-3327.5,146672.5,153687.5,7015.0,0.045644570963806426
98,2015-08-10 15:55:00-04:00,98,-140.0,-3467.5,146532.5,153687.5,7155.0,0.046555510370069136
99,2015-08-11 15:55:00-04:00,99,700.0,-2767.5,147232.5,153687.5,6455.0,0.04200081333875559
100,2015-08-12 13:03:00-04:00,100,-815.0,-3582.5,146417.5,153687.5,7270.0,0.0473037820252135
101,2015-08-13 15:55:00-04:00,101,-50.0,-3632.5,146367.5,153687.5,7320.0,0.047629117527450186
102,2015-08-14 15:55:00-04:00,102,-415.0,-4047.5,145952.5,153687.5,7735.0,0.05032940219601464
103,2015-08-17 15:55:00-04:00,103,-655.0,-4702.5,145297.5,153687.5,8390.0,0.05459129727531517
104,2015-08-18 15:55:00-04:00,104,245.0,-4457.5,145542.5,153687.5,8145.0,0.05299715331435543
105,2015-08-19 15:55:00-04:00,105,-70.0,-4527.5,145472.5,153687.5,8215.0,0.05345262301748678
106,2015-08-20 15:55:00-04:00,106,695.0,-3832.5,146167.5,153687.5,7520.0,0.04893045953639691
107,2015-08-21 15:10:00-04:00,107,1940.0,-1892.5,148107.5,153687.5,5580.0,0.03630744204961366
108,2015-08-24 11:49:00-04:00,108,-750.0,-2642.5,147357.5,153687.5,6330.0,0.04118747458316389
109,2015-08-25 11:15:00-04:00,109,-760.0,-3402.5,146597.5,153687.5,7090.0,0.04613257421716145
110,2015-08-26 14:40:00-04:00,110,-750.0,-4152.5,145847.5,153687.5,7840.0,0.05101260675071167
111,2015-08-27 12:33:00-04:00,111,-785.0,-4937.5,145062.5,153687.5,8625.0,0.05612037413582757
112,2015-08-28 15:55:00-04:00,112,-160.0,-5097.5,144902.5,153687.5,8785.0,0.057161447742984955
113,2015-08-31 15:55:00-04:00,113,290.0,-4807.5,145192.5,153687.5,8495.0,0.0552745018300122
114,2015-09-01 15:43:00-04:00,114,1890.0,-2917.5,147082.5,153687.5,6605.0,0.042976819845465634
115,2015-09-02 13:21:00-04:00,115,-765.0,-3682.5,146317.5,153687.5,7370.0,0.047954453029686865
116,2015-09-03 15:55:00-04:00,116,935.0,-2747.5,147252.5,153687.5,6435.0,0.04187067913786092
117,2015-09-04 15:55:00-04:00,117,125.0,-2622.5,147377.5,153687.5,6310.0,0.041057340382269214
118,2015-09-08 15:55:00-04:00,118,-635.0,-3257.5,146742.5,153687.5,6945.0,0.045189101260675074
119,2015-09-09 15:55:00-04:00,119,1600.0,-1657.5,148342.5,153687.5,5345.0,0.03477836518910126
120,2015-09-10 10:50:00-04:00,120,-780.0,-2437.5,147562.5,153687.5,6125.0,0.03985359902399349
121,2015-09-11 15:06:00-04:00,121,-780.0,-3217.5,146782.5,153687.5,6905.0,0.04492883285888573
122,2015-09-14 15:55:00-04:00,122,65.0,-3152.5,146847.5,153687.5,6840.0,0.04450589670597804
123,2015-09-15 14:49:00-04:00,123,-790.0,-3942.5,146057.5,153687.5,7630.0,0.049646197641317606
124,2015-09-16 15:55:00-04:00,124,-595.0,-4537.5,145462.5,153687.5,8225.0,0.05351769011793412
125,2015-09-17 14:43:00-04:00,125,-800.0,-5337.5,144662.5,153687.5,9025.0,0.058723058153721024
126,2015-09-18 15:55:00-04:00,126,625.0,-4712.5,145287.5,153687.5,8400.0,0.0546563643757625
127,2015-09-21 15:55:00-04:00,127,555.0,-4157.5,145842.5,153687.5,7845.0,0.05104514030093534
128,2015-09-22 15:55:00-04:00,128,-160.0,-4317.5,145682.5,153687.5,8005.0,0.05208621390809272
129,2015-09-23 15:55:00-04:00,129,80.0,-4237.5,145762.5,153687.5,7925.0,0.05156567710451403
130,2015-09-24 14:47:00-04:00,130,-770.0,-5007.5,144992.5,153687.5,8695.0,0.056575843838958924
131,2015-09-25 15:55:00-04:00,131,1065.0,-3942.5,146057.5,153687.5,7630.0,0.049646197641317606
132,2015-09-28 15:55:00-04:00,132,1090.0,-2852.5,147147.5,153687.5,6540.0,0.04255388369255795
133,2015-09-29 15:24:00-04:00,133,1865.0,-987.5,149012.5,153687.5,4675.0,0.03041886945912973
134,2015-09-30 15:55:00-04:00,134,-50.0,-1037.5,148962.5,153687.5,4725.0,0.03074420496136641
135,2015-10-01 15:55:00-04:00,135,-430.0,-1467.5,148532.5,153687.5,5155.0,0.03354209028060187
136,2015-10-02 10:59:00-04:00,136,-755.0,-2222.5,147777.5,153687.5,5910.0,0.03845465636437576
137,2015-10-05 15:55:00-04:00,137,-380.0,-2602.5,147397.5,153687.5,6290.0,0.04092720618137454
138,2015-10-06 15:55:00-04:00,138,-200.0,-2802.5,147197.5,153687.5,6490.0,0.04222854819032127
139,2015-10-07 15:55:00-04:00,139,85.0,-2717.5,147282.5,153687.5,6405.0,0.04167547783651891
140,2015-10-08 14:41:00-04:00,140,-785.0,-3502.5,146497.5,153687.5,7190.0,0.04678324522163481
141,2015-10-09 15:55:00-04:00,141,-200.0,-3702.5,146297.5,153687.5,7390.0,0.04808458723058154
142,2015-10-12 15:55:00-04:00,142,-165.0,-3867.5,146132.5,153687.5,7555.0,0.04915819438796259
143,2015-10-13 15:55:00-04:00,143,700.0,-3167.5,146832.5,153687.5,6855.0,0.04460349735664904
144,2015-10-14 15:55:00-04:00,144,-5.0,-3172.5,146827.5,153687.5,6860.0,0.04463603090687271
145,2015-10-15 15:18:00-04:00,145,-800.0,-3972.5,146027.5,153687.5,7660.0,0.04984139894265962
146,2015-10-16 15:55:00-04:00,146,-305.0,-4277.5,145722.5,153687.5,7965.0,0.05182594550630337
147,2015-10-19 15:55:00-04:00,147,-255.0,-4532.5,145467.5,153687.5,8220.0,0.053485156567710454
