trade_id,wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_train_objective,wfa_selected_params,source_trade_id,strategy_name,session_date,direction,level_type,academic_source_key,setup_mode,spx_0dte_signal_timestamp,spx_0dte_session_date,spx_0dte_weekday,spx_0dte_weekday_name,spx_0dte_calendar_bucket,spx_0dte_trigger_mode,spx_0dte_direction,spx_0dte_session_open,spx_0dte_signal_close,spx_0dte_open_to_signal_ticks,spx_0dte_min_abs_move_ticks,spx_0dte_exclude_standard_monthly,spx_0dte_is_standard_monthly,spx_0dte_is_quarterly_month,signal_flatten_time,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,1.9230515870184886,"{'entry.params.min_abs_move_ticks': 256, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",1,spx_0dte_expiration_pressure,2023-05-12,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,spx_0dte_expiration_pressure,2023-05-12 14:30:00-04:00,2023-05-12,4,Friday,full_week,continue_move,short,13468.0,13324.25,-575.0,256.0,True,False,False,15:55:00,2023-05-12 14:30:00-04:00,13323.75,13377.25,13216.75,53.5,1,8.75,59.0,fixed_contracts,2023-05-12 15:35:00-04:00,13377.5,stop,-1075.0,-1080.0,-1.0046728971962617,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,1.9230515870184886,"{'entry.params.min_abs_move_ticks': 256, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",2,spx_0dte_expiration_pressure,2023-05-16,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,spx_0dte_expiration_pressure,2023-05-16 14:30:00-04:00,2023-05-16,1,Tuesday,full_week,continue_move,long,13436.0,13523.5,350.0,256.0,True,False,False,15:55:00,2023-05-16 14:30:00-04:00,13523.5,13469.25,13632.0,54.25,1,18.75,39.5,fixed_contracts,2023-05-16 15:55:00-04:00,13489.0,eod_flatten,-690.0,-695.0,-0.6359447004608295,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,1.9230515870184886,"{'entry.params.min_abs_move_ticks': 256, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",3,spx_0dte_expiration_pressure,2023-05-17,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,spx_0dte_expiration_pressure,2023-05-17 14:30:00-04:00,2023-05-17,2,Wednesday,full_week,continue_move,long,13525.0,13653.75,515.0,256.0,True,False,False,15:55:00,2023-05-17 14:30:00-04:00,13654.5,13599.75,13764.0,54.75,1,7.5,35.5,fixed_contracts,2023-05-17 15:55:00-04:00,13653.25,eod_flatten,-25.0,-30.0,-0.0228310502283105,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,1.9230515870184886,"{'entry.params.min_abs_move_ticks': 256, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",4,spx_0dte_expiration_pressure,2023-05-18,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,spx_0dte_expiration_pressure,2023-05-18 14:30:00-04:00,2023-05-18,3,Thursday,full_week,continue_move,long,13653.75,13788.5,539.0,256.0,True,False,False,15:55:00,2023-05-18 14:30:00-04:00,13788.75,13733.5,13899.25,55.25,1,112.5,0.25,fixed_contracts,2023-05-18 15:51:00-04:00,13899.0,target,2205.0,2200.0,1.995475113122172,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,1.9230515870184886,"{'entry.params.min_abs_move_ticks': 256, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",5,spx_0dte_expiration_pressure,2023-05-22,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,spx_0dte_expiration_pressure,2023-05-22 14:30:00-04:00,2023-05-22,0,Monday,full_week,continue_move,long,13848.0,13921.25,293.0,256.0,True,False,False,15:55:00,2023-05-22 14:30:00-04:00,13922.0,13866.25,14033.5,55.75,1,20.75,37.75,fixed_contracts,2023-05-22 15:55:00-04:00,13897.25,eod_flatten,-495.0,-500.0,-0.4439461883408072,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,1.9230515870184886,"{'entry.params.min_abs_move_ticks': 256, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",6,spx_0dte_expiration_pressure,2023-05-23,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,spx_0dte_expiration_pressure,2023-05-23 14:30:00-04:00,2023-05-23,1,Tuesday,full_week,continue_move,short,13831.0,13732.25,-395.0,256.0,True,False,False,15:55:00,2023-05-23 14:30:00-04:00,13732.0,13787.0,13622.0,55.0,1,22.0,25.25,fixed_contracts,2023-05-23 15:55:00-04:00,13736.75,eod_flatten,-95.0,-100.0,-0.08636363636363636,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,1.9230515870184886,"{'entry.params.min_abs_move_ticks': 256, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",7,spx_0dte_expiration_pressure,2023-05-26,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,spx_0dte_expiration_pressure,2023-05-26 14:30:00-04:00,2023-05-26,4,Friday,full_week,continue_move,long,14018.5,14325.25,1227.0,256.0,True,False,False,15:55:00,2023-05-26 14:30:00-04:00,14325.5,14268.0,14440.5,57.5,1,43.0,6.75,fixed_contracts,2023-05-26 15:55:00-04:00,14340.25,eod_flatten,295.0,290.0,0.2565217391304348,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,1.9230515870184886,"{'entry.params.min_abs_move_ticks': 256, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",8,spx_0dte_expiration_pressure,2023-05-30,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,spx_0dte_expiration_pressure,2023-05-30 14:30:00-04:00,2023-05-30,1,Tuesday,full_week,continue_move,short,14510.0,14403.0,-428.0,256.0,True,False,False,15:55:00,2023-05-30 14:30:00-04:00,14403.25,14461.0,14287.75,57.75,1,30.5,40.5,fixed_contracts,2023-05-30 15:55:00-04:00,14376.0,eod_flatten,545.0,540.0,0.47186147186147187,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,1.9230515870184886,"{'entry.params.min_abs_move_ticks': 256, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",9,spx_0dte_expiration_pressure,2023-06-01,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,spx_0dte_expiration_pressure,2023-06-01 14:30:00-04:00,2023-06-01,3,Thursday,full_week,continue_move,long,14298.0,14489.5,766.0,256.0,True,False,False,15:55:00,2023-06-01 14:30:00-04:00,14490.0,14432.0,14606.0,58.0,1,38.25,56.5,fixed_contracts,2023-06-01 15:55:00-04:00,14463.0,eod_flatten,-540.0,-545.0,-0.46551724137931033,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,1.9230515870184886,"{'entry.params.min_abs_move_ticks': 256, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",10,spx_0dte_expiration_pressure,2023-06-07,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,spx_0dte_expiration_pressure,2023-06-07 14:30:00-04:00,2023-06-07,2,Wednesday,full_week,continue_move,short,14592.25,14385.0,-829.0,256.0,True,False,False,15:55:00,2023-06-07 14:30:00-04:00,14384.5,14442.25,14269.0,57.75,1,79.0,2.25,fixed_contracts,2023-06-07 15:55:00-04:00,14326.0,eod_flatten,1170.0,1165.0,1.0129870129870129,5.0,10.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
