variant_id,share_rank_min,semivar_rank_min,window,signals,signals_per_year
morning15_trade_high_downside_window_1130,0.4,0.5,full,744,104.88074102663064
morning15_trade_high_downside_window_1130,0.4,0.5,limited_core,101,142.98546511627907
morning15_trade_high_downside_window_1130,0.4,0.5,wfa90,656,102.79021879021879
morning15_trade_high_downside_window_1130,0.4,0.5,latest1y,104,104.35714285714285
morning15_trade_high_downside_window_1130,0.4,0.6,full,611,86.13189888074102
morning15_trade_high_downside_window_1130,0.4,0.6,limited_core,88,124.5813953488372
morning15_trade_high_downside_window_1130,0.4,0.6,wfa90,544,85.24066924066923
morning15_trade_high_downside_window_1130,0.4,0.6,latest1y,75,75.25755494505495
morning15_trade_high_downside_window_1130,0.5,0.5,full,708,99.80586646082592
morning15_trade_high_downside_window_1130,0.5,0.5,limited_core,100,141.56976744186045
morning15_trade_high_downside_window_1130,0.5,0.5,wfa90,626,98.08944658944658
morning15_trade_high_downside_window_1130,0.5,0.5,latest1y,95,95.32623626373626
morning15_trade_high_downside_window_1130,0.5,0.6,full,592,83.45349285989965
morning15_trade_high_downside_window_1130,0.5,0.6,limited_core,88,124.5813953488372
morning15_trade_high_downside_window_1130,0.5,0.6,wfa90,529,82.89028314028313
morning15_trade_high_downside_window_1130,0.5,0.6,latest1y,70,70.24038461538461
morning15_trade_high_downside_window_1130,0.6,0.5,full,661,93.18033577769201
morning15_trade_high_downside_window_1130,0.6,0.5,limited_core,96,135.90697674418604
morning15_trade_high_downside_window_1130,0.6,0.5,wfa90,583,91.3516731016731
morning15_trade_high_downside_window_1130,0.6,0.5,latest1y,87,87.29876373626374
morning15_trade_high_downside_window_1130,0.6,0.6,full,556,78.37861829409493
morning15_trade_high_downside_window_1130,0.6,0.6,limited_core,86,121.75
morning15_trade_high_downside_window_1130,0.6,0.6,wfa90,496,77.71943371943372
morning15_trade_high_downside_window_1130,0.6,0.6,latest1y,65,65.22321428571428
morning15_notional_high_downside_window_1130,0.4,0.5,full,740,104.31686607487455
morning15_notional_high_downside_window_1130,0.4,0.5,limited_core,98,138.73837209302326
morning15_notional_high_downside_window_1130,0.4,0.5,wfa90,658,103.1036036036036
morning15_notional_high_downside_window_1130,0.4,0.5,latest1y,96,96.32967032967032
morning15_notional_high_downside_window_1130,0.4,0.6,full,607,85.56802392898494
morning15_notional_high_downside_window_1130,0.4,0.6,limited_core,86,121.75
morning15_notional_high_downside_window_1130,0.4,0.6,wfa90,544,85.24066924066923
morning15_notional_high_downside_window_1130,0.4,0.6,latest1y,70,70.24038461538461
morning15_notional_high_downside_window_1130,0.5,0.5,full,707,99.6648977228869
morning15_notional_high_downside_window_1130,0.5,0.5,limited_core,97,137.32267441860463
morning15_notional_high_downside_window_1130,0.5,0.5,wfa90,631,98.87290862290862
morning15_notional_high_downside_window_1130,0.5,0.5,latest1y,88,88.3021978021978
morning15_notional_high_downside_window_1130,0.5,0.6,full,580,81.76186800463141
morning15_notional_high_downside_window_1130,0.5,0.6,limited_core,85,120.33430232558139
morning15_notional_high_downside_window_1130,0.5,0.6,wfa90,520,81.48005148005147
morning15_notional_high_downside_window_1130,0.5,0.6,latest1y,66,66.22664835164835
morning15_notional_high_downside_window_1130,0.6,0.5,full,660,93.03936703975299
morning15_notional_high_downside_window_1130,0.6,0.5,limited_core,93,131.65988372093022
morning15_notional_high_downside_window_1130,0.6,0.5,wfa90,593,92.91859716859716
morning15_notional_high_downside_window_1130,0.6,0.5,latest1y,77,77.26442307692308
morning15_notional_high_downside_window_1130,0.6,0.6,full,542,76.40505596294867
morning15_notional_high_downside_window_1130,0.6,0.6,limited_core,83,117.50290697674419
morning15_notional_high_downside_window_1130,0.6,0.6,wfa90,491,76.93597168597168
morning15_notional_high_downside_window_1130,0.6,0.6,latest1y,55,55.18887362637362
late_morning30_notional_high_downside_window_1230,0.4,0.5,full,725,102.20233500578927
late_morning30_notional_high_downside_window_1230,0.4,0.5,limited_core,100,141.56976744186045
late_morning30_notional_high_downside_window_1230,0.4,0.5,wfa90,647,101.37998712998713
late_morning30_notional_high_downside_window_1230,0.4,0.5,latest1y,91,91.3125
late_morning30_notional_high_downside_window_1230,0.4,0.6,full,598,84.29930528753377
late_morning30_notional_high_downside_window_1230,0.4,0.6,limited_core,88,124.5813953488372
late_morning30_notional_high_downside_window_1230,0.4,0.6,wfa90,537,84.14382239382239
late_morning30_notional_high_downside_window_1230,0.4,0.6,latest1y,68,68.23351648351648
late_morning30_notional_high_downside_window_1230,0.5,0.5,full,691,97.4093979158626
late_morning30_notional_high_downside_window_1230,0.5,0.5,limited_core,96,135.90697674418604
late_morning30_notional_high_downside_window_1230,0.5,0.5,wfa90,620,97.14929214929215
late_morning30_notional_high_downside_window_1230,0.5,0.5,latest1y,84,84.28846153846153
late_morning30_notional_high_downside_window_1230,0.5,0.6,full,571,80.49314936318024
late_morning30_notional_high_downside_window_1230,0.5,0.6,limited_core,85,120.33430232558139
late_morning30_notional_high_downside_window_1230,0.5,0.6,wfa90,516,80.85328185328186
late_morning30_notional_high_downside_window_1230,0.5,0.6,latest1y,62,62.21291208791209
late_morning30_notional_high_downside_window_1230,0.6,0.5,full,636,89.65611732921651
late_morning30_notional_high_downside_window_1230,0.6,0.5,limited_core,94,133.07558139534882
late_morning30_notional_high_downside_window_1230,0.6,0.5,wfa90,571,89.47136422136421
late_morning30_notional_high_downside_window_1230,0.6,0.5,latest1y,75,75.25755494505495
late_morning30_notional_high_downside_window_1230,0.6,0.6,full,528,74.43149363180238
late_morning30_notional_high_downside_window_1230,0.6,0.6,limited_core,83,117.50290697674419
late_morning30_notional_high_downside_window_1230,0.6,0.6,wfa90,479,75.0556628056628
late_morning30_notional_high_downside_window_1230,0.6,0.6,latest1y,54,54.185439560439555
midday60_notional_high_downside_window_1430,0.4,0.5,full,727,102.4842724816673
midday60_notional_high_downside_window_1430,0.4,0.5,limited_core,98,138.73837209302326
midday60_notional_high_downside_window_1430,0.4,0.5,wfa90,649,101.69337194337194
midday60_notional_high_downside_window_1430,0.4,0.5,latest1y,93,93.31936813186813
midday60_notional_high_downside_window_1430,0.4,0.6,full,596,84.01736781165573
midday60_notional_high_downside_window_1430,0.4,0.6,limited_core,87,123.1656976744186
midday60_notional_high_downside_window_1430,0.4,0.6,wfa90,536,83.98712998712999
