variant_id,period,start_date,end_date,opening_range_minutes,last_entry_time,flow_mode,max_reclaim_bars,min_reclaim_orderflow_imbalance,signals,years,signals_per_year
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:45:00,large10,6,0.0,2127,15.433264887063656,137.8191857370942
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:45:00,large10,6,0.0,210,1.541409993155373,136.23889875666075
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:45:00,large10,6,0.005,2121,15.433264887063656,137.43041511442257
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:45:00,large10,6,0.005,210,1.541409993155373,136.23889875666075
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:45:00,large10,6,0.01,2117,15.433264887063656,137.17123469930814
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:45:00,large10,6,0.01,210,1.541409993155373,136.23889875666075
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:45:00,large10,12,0.0,1936,15.433264887063656,125.44332091538051
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:45:00,large10,12,0.0,192,1.541409993155373,124.56127886323267
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:45:00,large10,12,0.005,1935,15.433264887063656,125.3785258116019
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:45:00,large10,12,0.005,192,1.541409993155373,124.56127886323267
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:45:00,large10,12,0.01,1935,15.433264887063656,125.3785258116019
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:45:00,large10,12,0.01,192,1.541409993155373,124.56127886323267
or15_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:45:00,signed_volume,6,0.0,2215,15.433264887063656,143.52115486961148
or15_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:45:00,signed_volume,6,0.0,213,1.541409993155373,138.18516873889874
or15_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:45:00,signed_volume,6,0.005,2214,15.433264887063656,143.45635976583287
or15_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:45:00,signed_volume,6,0.005,213,1.541409993155373,138.18516873889874
or15_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:45:00,signed_volume,6,0.01,2209,15.433264887063656,143.13238424693986
or15_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:45:00,signed_volume,6,0.01,213,1.541409993155373,138.18516873889874
or15_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:45:00,signed_volume,12,0.0,1978,15.433264887063656,128.16471527408194
or15_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:45:00,signed_volume,12,0.0,192,1.541409993155373,124.56127886323267
