variant_id,min_sector_count,min_orderflow_imbalance,window,start_date,end_date,signals,signals_per_year
broad_up_vwap_accept_long_1030,4,0.0,full,2011-01-03,2026-06-09,916,59.362845990063875
broad_up_vwap_accept_long_1030,4,0.0,limited_core,2011-02-22,2012-09-06,93,60.44172597864768
broad_up_vwap_accept_long_1030,4,0.0,wfa90,2011-01-03,2024-12-22,818,58.56027048216386
broad_up_vwap_accept_long_1030,4,0.0,latest1y,2025-06-10,2026-06-09,71,71.24381868131867
broad_up_vwap_accept_long_1030,4,0.02,full,2011-01-03,2026-06-09,595,38.559927253371185
broad_up_vwap_accept_long_1030,4,0.02,limited_core,2011-02-22,2012-09-06,69,44.84386120996441
broad_up_vwap_accept_long_1030,4,0.02,wfa90,2011-01-03,2024-12-22,544,38.944727557820464
broad_up_vwap_accept_long_1030,4,0.02,latest1y,2025-06-10,2026-06-09,32,32.10989010989011
broad_up_vwap_accept_long_1030,4,0.04,full,2011-01-03,2026-06-09,292,18.923527324343507
broad_up_vwap_accept_long_1030,4,0.04,limited_core,2011-02-22,2012-09-06,54,35.095195729537366
broad_up_vwap_accept_long_1030,4,0.04,wfa90,2011-01-03,2024-12-22,280,20.045080360642885
broad_up_vwap_accept_long_1030,4,0.04,latest1y,2025-06-10,2026-06-09,6,6.020604395604395
broad_up_vwap_accept_long_1030,5,0.0,full,2011-01-03,2026-06-09,804,52.104506742370475
broad_up_vwap_accept_long_1030,5,0.0,limited_core,2011-02-22,2012-09-06,87,56.54225978647686
broad_up_vwap_accept_long_1030,5,0.0,wfa90,2011-01-03,2024-12-22,721,51.61608192865543
broad_up_vwap_accept_long_1030,5,0.0,latest1y,2025-06-10,2026-06-09,62,62.21291208791209
broad_up_vwap_accept_long_1030,5,0.02,full,2011-01-03,2026-06-09,529,34.282691625266146
broad_up_vwap_accept_long_1030,5,0.02,limited_core,2011-02-22,2012-09-06,67,43.54403914590747
broad_up_vwap_accept_long_1030,5,0.02,wfa90,2011-01-03,2024-12-22,485,34.72094276754214
broad_up_vwap_accept_long_1030,5,0.02,latest1y,2025-06-10,2026-06-09,30,30.103021978021978
broad_up_vwap_accept_long_1030,5,0.04,full,2011-01-03,2026-06-09,264,17.108942512420157
