variant,window,start_date,end_date,calendar_sessions,min_abs_move_ticks,min_orderflow_imbalance,signals,signals_per_year,density_pass
early_large10_flow_continuation_1000,full,2016-02-24,2026-06-09,1787,4,0.0,1091,106.00897845171589,True
early_large10_flow_continuation_1000,full,2016-02-24,2026-06-09,1787,4,0.005,1052,102.21947326416601,True
early_large10_flow_continuation_1000,full,2016-02-24,2026-06-09,1787,4,0.01,1027,99.79030327214686,True
early_large10_flow_continuation_1000,full,2016-02-24,2026-06-09,1787,6,0.0,1045,101.53930566640064,True
early_large10_flow_continuation_1000,full,2016-02-24,2026-06-09,1787,6,0.005,1010,98.13846767757383,True
early_large10_flow_continuation_1000,full,2016-02-24,2026-06-09,1787,6,0.01,988,96.00079808459697,True
early_large10_flow_continuation_1000,full,2016-02-24,2026-06-09,1787,8,0.0,1000,97.16679968076616,True
early_large10_flow_continuation_1000,full,2016-02-24,2026-06-09,1787,8,0.005,969,94.15462889066241,True
early_large10_flow_continuation_1000,full,2016-02-24,2026-06-09,1787,8,0.01,948,92.11412609736632,True
early_large10_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,4,0.0,74,72.07600000000001,True
early_large10_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,4,0.005,70,68.18,True
early_large10_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,4,0.01,64,62.336000000000006,True
early_large10_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,6,0.0,63,61.36200000000001,True
early_large10_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,6,0.005,61,59.41400000000001,True
early_large10_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,6,0.01,58,56.492000000000004,True
early_large10_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.0,60,58.440000000000005,True
early_large10_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.005,58,56.492000000000004,True
early_large10_flow_continuation_1000,limited_core_random_10pct,2016-04-14,2017-04-23,122,8,0.01,55,53.57000000000001,True
early_large10_flow_continuation_1000,wfa_first_90pct,2016-02-24,2025-05-29,1544,4,0.0,937,101.16442506650903,True
