variant_id,window,start_date,end_date,bar_count,signals,signals_per_year,long_signals,short_signals,first_signal,last_signal,strict_breakout_buffer_ticks,strict_min_orderflow_imbalance,setup_mode,flow_mode,short_trend_bars,long_trend_bars,min_trend_move_ticks,density_pass_50_per_year
afternoon_large20_two_sided_trend_acceptance,configured_full,2011-01-03,2026-06-09,297726,3312,214.601384,1866,1446,2011-01-05T12:35:00-05:00,2026-06-09T15:30:00-04:00,2,0.1,two_sided_acceptance,large20,2,4,0,True
afternoon_large20_two_sided_trend_acceptance,limited_core_grid_test,2011-02-22,2012-09-06,29172,324,210.197158,182,142,2011-02-23T13:15:00-05:00,2012-09-06T12:55:00-04:00,2,0.1,two_sided_acceptance,large20,2,4,0,True
late_morning_large10_two_sided_trend_acceptance,configured_full,2011-01-03,2026-06-09,297726,3091,200.281666,1740,1351,2011-01-07T11:25:00-05:00,2026-06-09T10:55:00-04:00,2,0.07,two_sided_acceptance,large10,2,4,0,True
late_morning_large10_two_sided_trend_acceptance,limited_core_grid_test,2011-02-22,2012-09-06,29172,318,206.304618,170,148,2011-02-23T10:10:00-05:00,2012-09-06T10:25:00-04:00,2,0.07,two_sided_acceptance,large10,2,4,0,True
midday_signed_two_sided_trend_acceptance,configured_full,2011-01-03,2026-06-09,297726,3088,200.08728,1743,1345,2011-01-05T14:00:00-05:00,2026-06-09T11:30:00-04:00,3,0.03,two_sided_acceptance,signed_volume,3,6,0,True
midday_signed_two_sided_trend_acceptance,limited_core_grid_test,2011-02-22,2012-09-06,29172,304,197.222025,170,134,2011-02-23T11:40:00-05:00,2012-09-06T11:00:00-04:00,3,0.03,two_sided_acceptance,signed_volume,3,6,0,True
morning_signed_vah_trend_acceptance_long,configured_full,2011-01-03,2026-06-09,297726,1059,68.618015,1059,0,2011-01-11T10:55:00-05:00,2026-06-02T11:10:00-04:00,3,0.08,vah_acceptance_long,signed_volume,2,4,1,True
morning_signed_vah_trend_acceptance_long,limited_core_grid_test,2011-02-22,2012-09-06,29172,125,81.094583,125,0,2011-02-25T10:10:00-05:00,2012-09-06T10:25:00-04:00,3,0.08,vah_acceptance_long,signed_volume,2,4,1,True
morning_signed_val_trend_acceptance_short,configured_full,2011-01-03,2026-06-09,297726,859,55.658994,0,859,2011-01-07T11:25:00-05:00,2026-06-05T11:15:00-04:00,3,0.06,val_acceptance_short,signed_volume,2,4,1,True
morning_signed_val_trend_acceptance_short,limited_core_grid_test,2011-02-22,2012-09-06,29172,118,76.553286,0,118,2011-02-23T10:10:00-05:00,2012-09-04T10:10:00-04:00,3,0.06,val_acceptance_short,signed_volume,2,4,1,True
