variant_id,entry.params.rrp_drain_threshold,entry.params.rrp_release_threshold,signals,signals_per_year,latest252_signals,config
rrp_drain_short_1000,0.25,,842,72.24514811031665,50,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1000/config.yaml
rrp_drain_short_1130,0.25,,842,72.24514811031665,50,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1130/config.yaml
rrp_drain_short_1330,0.25,,842,72.24514811031665,50,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1330/config.yaml
rrp_drain_short_1430,0.25,,842,72.24514811031665,50,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1430/config.yaml
rrp_drain_short_1500,0.25,,842,72.24514811031665,50,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1500/config.yaml
rrp_drain_short_1000,0.125,,1048,89.92032686414709,97,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1000/config.yaml
rrp_drain_short_1130,0.125,,1048,89.92032686414709,97,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1130/config.yaml
rrp_drain_short_1330,0.125,,1048,89.92032686414709,97,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1330/config.yaml
rrp_drain_short_1430,0.125,,1048,89.92032686414709,97,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1430/config.yaml
rrp_drain_short_1500,0.125,,1048,89.92032686414709,97,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1500/config.yaml
