variant_id,entry.params.rrp_drain_threshold,entry.params.rrp_release_threshold,signals,signals_per_year,latest252_signals,config
rrp_drain_short_1000,0.125,,1048,89.92032686414709,97,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1000/config.yaml
rrp_drain_short_1000,0.25,,842,72.24514811031665,50,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1000/config.yaml
rrp_drain_short_1000,0.375,,687,58.945863125638404,28,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1000/config.yaml
rrp_drain_short_1330,0.125,,1048,89.92032686414709,97,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1330/config.yaml
rrp_drain_short_1330,0.25,,842,72.24514811031665,50,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1330/config.yaml
rrp_drain_short_1330,0.375,,687,58.945863125638404,28,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1330/config.yaml
rrp_drain_short_1500,0.125,,1048,89.92032686414709,97,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1500/config.yaml
rrp_drain_short_1500,0.25,,842,72.24514811031665,50,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1500/config.yaml
rrp_drain_short_1500,0.375,,687,58.945863125638404,28,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_drain_short_1500/config.yaml
rrp_release_long_1000,,-0.25,860,73.78958120531153,27,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_release_long_1000/config.yaml
rrp_release_long_1000,,-0.375,712,61.090909090909086,18,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_release_long_1000/config.yaml
rrp_release_long_1000,,-0.5,604,51.82431052093973,12,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_release_long_1000/config.yaml
rrp_release_long_1330,,-0.25,860,73.78958120531153,27,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_release_long_1330/config.yaml
rrp_release_long_1330,,-0.375,712,61.090909090909086,18,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_release_long_1330/config.yaml
rrp_release_long_1330,,-0.5,604,51.82431052093973,12,campaigns/nq_nyfed_rrp_liquidity_state/variants/rrp_release_long_1330/config.yaml
