variant_id,entry.params.min_volume_ratio,entry.params.reclaim_window_bars,signals,signals_per_year,latest252_signals,source_config
midday_two_sided_reclaim,1.25,1,68,4.4940991345397325,8,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/tp_min_rr_floor_rescue_1/midday_two_sided_reclaim/config.yaml
midday_two_sided_reclaim,1.25,3,73,4.8245476003147125,8,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/tp_min_rr_floor_rescue_1/midday_two_sided_reclaim/config.yaml
midday_two_sided_reclaim,1.25,5,74,4.890637293469709,8,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/tp_min_rr_floor_rescue_1/midday_two_sided_reclaim/config.yaml
afternoon_two_sided_reclaim,1.25,1,129,8.525570416994492,8,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/afternoon_two_sided_reclaim/config.yaml
morning_prior_low_reclaim_long,1.75,1,134,8.856018882769472,9,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/morning_prior_low_reclaim_long/config.yaml
morning_prior_low_reclaim_long,1.75,2,136,8.988198269079465,9,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/morning_prior_low_reclaim_long/config.yaml
afternoon_two_sided_reclaim,1.25,3,141,9.318646734854445,9,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/afternoon_two_sided_reclaim/config.yaml
midday_two_sided_reclaim,0.75,1,141,9.318646734854445,15,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/tp_min_rr_floor_rescue_1/midday_two_sided_reclaim/config.yaml
morning_prior_low_reclaim_long,1.75,3,141,9.318646734854445,9,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/morning_prior_low_reclaim_long/config.yaml
afternoon_two_sided_reclaim,1.25,5,147,9.715184893784421,9,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/afternoon_two_sided_reclaim/config.yaml
midday_two_sided_reclaim,0.75,3,162,10.706530291109363,17,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/tp_min_rr_floor_rescue_1/midday_two_sided_reclaim/config.yaml
midday_two_sided_reclaim,0.75,5,169,11.169158143194334,17,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/tp_min_rr_floor_rescue_1/midday_two_sided_reclaim/config.yaml
midday_two_sided_reclaim,0.0,1,171,11.301337529504327,16,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/tp_min_rr_floor_rescue_1/midday_two_sided_reclaim/config.yaml
afternoon_two_sided_reclaim,0.75,1,181,11.962234461054287,10,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/afternoon_two_sided_reclaim/config.yaml
afternoon_two_sided_reclaim,0.0,1,184,12.160503540519276,10,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/afternoon_two_sided_reclaim/config.yaml
midday_two_sided_reclaim,0.0,3,194,12.821400472069236,17,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/tp_min_rr_floor_rescue_1/midday_two_sided_reclaim/config.yaml
afternoon_two_sided_reclaim,0.75,3,196,12.953579858379229,11,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/afternoon_two_sided_reclaim/config.yaml
afternoon_two_sided_reclaim,0.0,3,198,13.085759244689221,11,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/afternoon_two_sided_reclaim/config.yaml
afternoon_two_sided_reclaim,0.75,5,201,13.284028324154209,12,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/afternoon_two_sided_reclaim/config.yaml
afternoon_two_sided_reclaim,0.0,5,204,13.482297403619198,12,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/parameter_space_rescue_1/afternoon_two_sided_reclaim/config.yaml
midday_two_sided_reclaim,0.0,5,207,13.680566483084185,17,campaigns/es_prior_day_stop_run_reclaim/rescue_attempts/tp_min_rr_floor_rescue_1/midday_two_sided_reclaim/config.yaml
