variant,low_ibs_threshold,high_ibs_threshold,min_prior_range_points,signals,signals_per_year,latest_252_signals
open_low_ibs_long,0.3,,25,921,61.87470007997867,52
open_high_ibs_short,,0.7,25,1413,94.92828579045589,102
open_high_ibs_short,,0.7,50,1011,67.92108770994402,102
open_high_ibs_short,,0.8,25,1071,71.95201279658758,71
open_high_ibs_short,,0.8,50,784,52.67075446547587,71
delayed_low_ibs_long_range_filtered,0.3,,25,921,61.87470007997867,52
delayed_high_ibs_short_range_filtered,,0.7,25,1413,94.92828579045589,102
delayed_high_ibs_short_range_filtered,,0.7,50,1011,67.92108770994402,102
delayed_high_ibs_short_range_filtered,,0.8,25,1071,71.95201279658758,71
delayed_high_ibs_short_range_filtered,,0.8,50,784,52.67075446547587,71
open_two_sided_ibs_reversion,0.1,0.7,25,1752,117.70301252999201,117
open_two_sided_ibs_reversion,0.1,0.8,25,1410,94.7267395361237,86
open_two_sided_ibs_reversion,0.1,0.9,25,965,64.83071181018396,55
open_two_sided_ibs_reversion,0.2,0.7,25,2030,136.37963209810718,129
open_two_sided_ibs_reversion,0.2,0.8,25,1688,113.40335910423887,98
open_two_sided_ibs_reversion,0.2,0.9,25,1243,83.50733137829913,67
open_two_sided_ibs_reversion,0.3,0.7,25,2334,156.80298587043455,154
open_two_sided_ibs_reversion,0.3,0.8,25,1992,133.82671287656626,123
open_two_sided_ibs_reversion,0.3,0.9,25,1547,103.9306851506265,92
