campaign_id,variant_id,lookback_bars,min_absorption_imbalance,full_signals,full_signal_days,full_signals_per_year,limited_core_start,limited_core_end,limited_core_signals,limited_core_signal_days,limited_core_signals_per_year,latest252_start,latest252_end,latest252_signals,latest252_signal_days,latest252_signals_per_year,full_long_signals,full_short_signals,density_pass
nq_rolling_range_orderflow_sweep_reversal,afternoon_signed_24bar_sweep_reclaim_1500,12,0.0,3439,3439,222.75133002305373,2011-02-22,2012-09-07,335,335,217.33348134991118,2025-06-09,2026-06-12,235,235,233.24388586956525,1581,1858,True
nq_rolling_range_orderflow_sweep_reversal,afternoon_signed_24bar_sweep_reclaim_1500,12,0.02,3218,3218,208.4366909026423,2011-02-22,2012-09-07,329,329,213.44094138543517,2025-06-09,2026-06-12,209,209,207.4381793478261,1483,1735,True
nq_rolling_range_orderflow_sweep_reversal,afternoon_signed_24bar_sweep_reclaim_1500,12,0.05,2728,2728,176.69835077141337,2011-02-22,2012-09-07,312,312,202.4120781527531,2025-06-09,2026-06-12,154,154,152.84918478260872,1244,1484,True
nq_rolling_range_orderflow_sweep_reversal,afternoon_signed_24bar_sweep_reclaim_1500,24,0.0,2844,2844,184.21191700656144,2011-02-22,2012-09-07,287,287,186.193161634103,2025-06-09,2026-06-12,178,178,176.66983695652175,1246,1598,True
nq_rolling_range_orderflow_sweep_reversal,afternoon_signed_24bar_sweep_reclaim_1500,24,0.02,2586,2586,167.50070934562865,2011-02-22,2012-09-07,278,278,180.35435168738897,2025-06-09,2026-06-12,151,151,149.8716032608696,1121,1465,True
nq_rolling_range_orderflow_sweep_reversal,afternoon_signed_24bar_sweep_reclaim_1500,24,0.05,2118,2118,137.18735591416916,2011-02-22,2012-09-07,253,253,164.1354351687389,2025-06-09,2026-06-12,107,107,106.20040760869566,897,1221,True
nq_rolling_range_orderflow_sweep_reversal,afternoon_signed_24bar_sweep_reclaim_1500,36,0.0,2347,2347,152.02017201631494,2011-02-22,2012-09-07,230,230,149.21403197158082,2025-06-09,2026-06-12,143,143,141.93138586956522,965,1382,True
nq_rolling_range_orderflow_sweep_reversal,afternoon_signed_24bar_sweep_reclaim_1500,36,0.02,2103,2103,136.21577407341726,2011-02-22,2012-09-07,220,220,142.72646536412077,2025-06-09,2026-06-12,120,120,119.10326086956523,855,1248,True
nq_rolling_range_orderflow_sweep_reversal,afternoon_signed_24bar_sweep_reclaim_1500,36,0.05,1717,1717,111.21373470473488,2011-02-22,2012-09-07,204,204,132.34635879218473,2025-06-09,2026-06-12,90,90,89.32744565217392,681,1036,True
nq_rolling_range_orderflow_sweep_reversal,all_day_large20_36bar_sweep_reclaim_1500,18,0.0,3105,3105,201.11744103564462,2011-02-22,2012-09-07,312,312,202.4120781527531,2025-06-09,2026-06-12,208,208,206.44565217391306,1389,1716,True
