campaign_id,variant_id,config_path,direction_mode,start_time,end_time,min_extreme_break_ticks,max_delta_progress_ratio,full_signals,full_sessions,full_signals_per_year,limited_start_date,limited_end_date,limited_signals,limited_sessions,limited_signals_per_year,latest_252_start_date,latest_252_end_date,latest_252_session_signals,latest_252_session_signals_per_year,density_pass,failure_reason
nq_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,campaigns/nq_session_extreme_delta_divergence/variants/afternoon_high_delta_divergence_short/config.yaml,high_short,13:00:00,15:15:00,1,0.05,1316,3813,86.974036,2011-02-22,2012-09-07,133,371,90.339623,2025-06-09,2026-06-12,80,80.0,True,
nq_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,campaigns/nq_session_extreme_delta_divergence/variants/afternoon_high_delta_divergence_short/config.yaml,high_short,13:00:00,15:15:00,1,0.1,1332,3813,88.031471,2011-02-22,2012-09-07,136,371,92.377358,2025-06-09,2026-06-12,81,81.0,True,
nq_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,campaigns/nq_session_extreme_delta_divergence/variants/afternoon_high_delta_divergence_short/config.yaml,high_short,13:00:00,15:15:00,2,0.05,1275,3813,84.264359,2011-02-22,2012-09-07,119,371,80.830189,2025-06-09,2026-06-12,79,79.0,True,
nq_session_extreme_delta_divergence,afternoon_high_delta_divergence_short,campaigns/nq_session_extreme_delta_divergence/variants/afternoon_high_delta_divergence_short/config.yaml,high_short,13:00:00,15:15:00,2,0.1,1299,3813,85.850511,2011-02-22,2012-09-07,124,371,84.226415,2025-06-09,2026-06-12,81,81.0,True,
nq_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,campaigns/nq_session_extreme_delta_divergence/variants/afternoon_low_delta_divergence_long/config.yaml,low_long,13:00:00,15:15:00,1,0.05,1034,3813,68.336743,2011-02-22,2012-09-07,103,371,69.962264,2025-06-09,2026-06-12,62,62.0,True,
nq_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,campaigns/nq_session_extreme_delta_divergence/variants/afternoon_low_delta_divergence_long/config.yaml,low_long,13:00:00,15:15:00,1,0.1,1039,3813,68.667191,2011-02-22,2012-09-07,104,371,70.641509,2025-06-09,2026-06-12,62,62.0,True,
nq_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,campaigns/nq_session_extreme_delta_divergence/variants/afternoon_low_delta_divergence_long/config.yaml,low_long,13:00:00,15:15:00,2,0.05,1004,3813,66.354052,2011-02-22,2012-09-07,94,371,63.849057,2025-06-09,2026-06-12,62,62.0,True,
nq_session_extreme_delta_divergence,afternoon_low_delta_divergence_long,campaigns/nq_session_extreme_delta_divergence/variants/afternoon_low_delta_divergence_long/config.yaml,low_long,13:00:00,15:15:00,2,0.1,1022,3813,67.543666,2011-02-22,2012-09-07,99,371,67.245283,2025-06-09,2026-06-12,62,62.0,True,
nq_session_extreme_delta_divergence,midday_two_sided_delta_divergence,campaigns/nq_session_extreme_delta_divergence/variants/midday_two_sided_delta_divergence/config.yaml,two_sided,11:00:00,14:00:00,1,0.05,3090,3813,204.217152,2011-02-22,2012-09-07,297,371,201.735849,2025-06-09,2026-06-12,205,205.0,True,
nq_session_extreme_delta_divergence,midday_two_sided_delta_divergence,campaigns/nq_session_extreme_delta_divergence/variants/midday_two_sided_delta_divergence/config.yaml,two_sided,11:00:00,14:00:00,1,0.1,3119,3813,206.133753,2011-02-22,2012-09-07,301,371,204.45283,2025-06-09,2026-06-12,206,206.0,True,
nq_session_extreme_delta_divergence,midday_two_sided_delta_divergence,campaigns/nq_session_extreme_delta_divergence/variants/midday_two_sided_delta_divergence/config.yaml,two_sided,11:00:00,14:00:00,2,0.05,3029,3813,200.185681,2011-02-22,2012-09-07,288,371,195.622642,2025-06-09,2026-06-12,204,204.0,True,
nq_session_extreme_delta_divergence,midday_two_sided_delta_divergence,campaigns/nq_session_extreme_delta_divergence/variants/midday_two_sided_delta_divergence/config.yaml,two_sided,11:00:00,14:00:00,2,0.1,3077,3813,203.357986,2011-02-22,2012-09-07,293,371,199.018868,2025-06-09,2026-06-12,205,205.0,True,
nq_session_extreme_delta_divergence,morning_high_delta_divergence_short,campaigns/nq_session_extreme_delta_divergence/variants/morning_high_delta_divergence_short/config.yaml,high_short,10:00:00,12:00:00,1,0.05,2269,3813,149.957514,2011-02-22,2012-09-07,230,371,156.226415,2025-06-09,2026-06-12,148,148.0,True,
nq_session_extreme_delta_divergence,morning_high_delta_divergence_short,campaigns/nq_session_extreme_delta_divergence/variants/morning_high_delta_divergence_short/config.yaml,high_short,10:00:00,12:00:00,1,0.1,2310,3813,152.667191,2011-02-22,2012-09-07,236,371,160.301887,2025-06-09,2026-06-12,150,150.0,True,
nq_session_extreme_delta_divergence,morning_high_delta_divergence_short,campaigns/nq_session_extreme_delta_divergence/variants/morning_high_delta_divergence_short/config.yaml,high_short,10:00:00,12:00:00,2,0.05,2218,3813,146.586939,2011-02-22,2012-09-07,218,371,148.075472,2025-06-09,2026-06-12,147,147.0,True,
nq_session_extreme_delta_divergence,morning_high_delta_divergence_short,campaigns/nq_session_extreme_delta_divergence/variants/morning_high_delta_divergence_short/config.yaml,high_short,10:00:00,12:00:00,2,0.1,2264,3813,149.627065,2011-02-22,2012-09-07,224,371,152.150943,2025-06-09,2026-06-12,149,149.0,True,
nq_session_extreme_delta_divergence,morning_low_delta_divergence_long,campaigns/nq_session_extreme_delta_divergence/variants/morning_low_delta_divergence_long/config.yaml,low_long,10:00:00,12:00:00,1,0.05,2051,3813,135.549961,2011-02-22,2012-09-07,201,371,136.528302,2025-06-09,2026-06-12,131,131.0,True,
nq_session_extreme_delta_divergence,morning_low_delta_divergence_long,campaigns/nq_session_extreme_delta_divergence/variants/morning_low_delta_divergence_long/config.yaml,low_long,10:00:00,12:00:00,1,0.1,2092,3813,138.259638,2011-02-22,2012-09-07,213,371,144.679245,2025-06-09,2026-06-12,133,133.0,True,
nq_session_extreme_delta_divergence,morning_low_delta_divergence_long,campaigns/nq_session_extreme_delta_divergence/variants/morning_low_delta_divergence_long/config.yaml,low_long,10:00:00,12:00:00,2,0.05,2016,3813,133.236821,2011-02-22,2012-09-07,190,371,129.056604,2025-06-09,2026-06-12,131,131.0,True,
nq_session_extreme_delta_divergence,morning_low_delta_divergence_long,campaigns/nq_session_extreme_delta_divergence/variants/morning_low_delta_divergence_long/config.yaml,low_long,10:00:00,12:00:00,2,0.1,2066,3813,136.541306,2011-02-22,2012-09-07,205,371,139.245283,2025-06-09,2026-06-12,133,133.0,True,
