variant,vol_col,tech_col,tech_min_fixed,vol_gate_max,min_return_bps,signals,signals_per_year
range10_tech5d_1030_long,range10_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.75,20,266,16.625
range10_tech5d_1030_long,range10_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.75,30,226,14.125
range10_tech5d_1030_long,range10_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.75,40,179,11.1875
range10_tech5d_1030_long,range10_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.6,20,217,13.5625
range10_tech5d_1030_long,range10_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.6,30,181,11.3125
range10_tech5d_1030_long,range10_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.6,40,139,8.6875
range10_tech5d_1030_long,range10_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.45,20,173,10.8125
range10_tech5d_1030_long,range10_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.45,30,139,8.6875
range10_tech5d_1030_long,range10_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.45,40,103,6.4375
vol20_tech5d_1030_long,vol20_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.75,20,265,16.5625
vol20_tech5d_1030_long,vol20_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.75,30,225,14.0625
vol20_tech5d_1030_long,vol20_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.75,40,174,10.875
vol20_tech5d_1030_long,vol20_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.6,20,222,13.875
vol20_tech5d_1030_long,vol20_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.6,30,186,11.625
vol20_tech5d_1030_long,vol20_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.6,40,141,8.8125
vol20_tech5d_1030_long,vol20_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.45,20,169,10.5625
vol20_tech5d_1030_long,vol20_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.45,30,137,8.5625
vol20_tech5d_1030_long,vol20_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.45,40,103,6.4375
absret5_tech5d_1030_long,absret5_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.75,20,262,16.375
absret5_tech5d_1030_long,absret5_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.75,30,223,13.9375
absret5_tech5d_1030_long,absret5_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.75,40,174,10.875
absret5_tech5d_1030_long,absret5_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.6,20,221,13.8125
absret5_tech5d_1030_long,absret5_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.6,30,186,11.625
absret5_tech5d_1030_long,absret5_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.6,40,141,8.8125
absret5_tech5d_1030_long,absret5_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.45,20,178,11.125
absret5_tech5d_1030_long,absret5_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.45,30,149,9.3125
absret5_tech5d_1030_long,absret5_rank_252,xlk_minus_spy_5d_rank_252,0.55,0.45,40,109,6.8125
range10_tech1d_1030_long,range10_rank_252,xlk_minus_spy_1d_rank_252,0.55,0.75,20,266,16.625
range10_tech1d_1030_long,range10_rank_252,xlk_minus_spy_1d_rank_252,0.55,0.75,30,226,14.125
range10_tech1d_1030_long,range10_rank_252,xlk_minus_spy_1d_rank_252,0.55,0.75,40,179,11.1875
range10_tech1d_1030_long,range10_rank_252,xlk_minus_spy_1d_rank_252,0.55,0.6,20,206,12.875
range10_tech1d_1030_long,range10_rank_252,xlk_minus_spy_1d_rank_252,0.55,0.6,30,171,10.6875
range10_tech1d_1030_long,range10_rank_252,xlk_minus_spy_1d_rank_252,0.55,0.6,40,131,8.1875
range10_tech1d_1030_long,range10_rank_252,xlk_minus_spy_1d_rank_252,0.55,0.45,20,161,10.0625
range10_tech1d_1030_long,range10_rank_252,xlk_minus_spy_1d_rank_252,0.55,0.45,30,129,8.0625
range10_tech1d_1030_long,range10_rank_252,xlk_minus_spy_1d_rank_252,0.55,0.45,40,94,5.875
range10_attention_1030_long,range10_rank_252,xlk_attention_pressure_1d_rank_252,0.55,0.75,20,267,16.6875
range10_attention_1030_long,range10_rank_252,xlk_attention_pressure_1d_rank_252,0.55,0.75,30,228,14.25
range10_attention_1030_long,range10_rank_252,xlk_attention_pressure_1d_rank_252,0.55,0.75,40,179,11.1875
range10_attention_1030_long,range10_rank_252,xlk_attention_pressure_1d_rank_252,0.55,0.6,20,209,13.0625
range10_attention_1030_long,range10_rank_252,xlk_attention_pressure_1d_rank_252,0.55,0.6,30,176,11.0
range10_attention_1030_long,range10_rank_252,xlk_attention_pressure_1d_rank_252,0.55,0.6,40,133,8.3125
range10_attention_1030_long,range10_rank_252,xlk_attention_pressure_1d_rank_252,0.55,0.45,20,165,10.3125
range10_attention_1030_long,range10_rank_252,xlk_attention_pressure_1d_rank_252,0.55,0.45,30,135,8.4375
range10_attention_1030_long,range10_rank_252,xlk_attention_pressure_1d_rank_252,0.55,0.45,40,97,6.0625
