session_date,net_pnl,gross_pnl,trades,wins,losses
2011-08-15,-105.0,-100.0,1,0,1
2011-09-09,-55.0,-50.0,1,0,1
2011-09-20,-30.0,-25.0,1,0,1
2011-09-22,132.5,137.5,1,1,0
2011-09-23,-30.0,-25.0,1,0,1
2011-09-27,-92.5,-87.5,1,0,1
2011-10-06,-55.0,-50.0,1,0,1
2011-10-20,-42.5,-37.5,1,0,1
2011-10-24,-30.0,-25.0,1,0,1
2011-10-28,-17.5,-12.5,1,0,1
2011-11-16,-17.5,-12.5,1,0,1
2011-12-02,-30.0,-25.0,1,0,1
2011-12-29,-30.0,-25.0,1,0,1
2012-01-10,32.5,37.5,1,1,0
2012-01-11,132.5,137.5,1,1,0
2012-01-19,-30.0,-25.0,1,0,1
2012-02-01,-42.5,-37.5,1,0,1
2012-02-16,-55.0,-50.0,1,0,1
2012-03-02,-30.0,-25.0,1,0,1
2012-03-20,-30.0,-25.0,1,0,1
2012-03-26,-30.0,-25.0,1,0,1
2012-04-03,27.5,37.5,2,1,1
2012-04-05,-17.5,-12.5,1,0,1
2012-04-09,-17.5,-12.5,1,0,1
2012-04-11,-55.0,-50.0,1,0,1
2012-04-19,-67.5,-62.5,1,0,1
2012-04-20,15.0,25.0,2,1,1
2012-04-26,45.0,50.0,1,1,0
2012-05-15,57.5,62.5,1,1,0
2012-05-24,-30.0,-25.0,1,0,1
2012-05-29,-42.5,-37.5,1,0,1
2012-06-05,-55.0,-50.0,1,0,1
2012-06-08,-42.5,-37.5,1,0,1
2012-06-13,-42.5,-37.5,1,0,1
2012-06-15,-80.0,-75.0,1,0,1
2012-06-18,-42.5,-37.5,1,0,1
2012-06-22,-30.0,-25.0,1,0,1
2012-07-11,-42.5,-37.5,1,0,1
2012-07-18,-30.0,-25.0,1,0,1
2012-07-20,-55.0,-50.0,1,0,1
2012-07-23,20.0,25.0,1,1,0
2012-07-26,57.5,62.5,1,1,0
2012-08-02,-55.0,-50.0,1,0,1
2012-08-07,-42.5,-37.5,1,0,1
2012-08-08,-17.5,-12.5,1,0,1
2012-09-05,-117.5,-112.5,1,0,1
2012-09-10,-55.0,-50.0,1,0,1
2012-09-13,-42.5,-37.5,1,0,1
2012-09-18,-17.5,-12.5,1,0,1
2012-09-24,-30.0,-25.0,1,0,1
2012-09-25,-17.5,-12.5,1,0,1
2012-10-04,-55.0,-50.0,1,0,1
2012-10-08,-30.0,-25.0,1,0,1
2012-10-10,57.5,62.5,1,1,0
2012-11-19,-42.5,-37.5,1,0,1
2012-11-29,-30.0,-25.0,1,0,1
2012-11-30,57.5,62.5,1,1,0
2012-12-04,-42.5,-37.5,1,0,1
2012-12-20,45.0,50.0,1,1,0
2012-12-21,57.5,62.5,1,1,0
2012-12-28,-92.5,-87.5,1,0,1
2012-12-31,-42.5,-37.5,1,0,1
2013-01-03,45.0,50.0,1,1,0
2013-01-07,-42.5,-37.5,1,0,1
2013-01-15,-67.5,-62.5,1,0,1
2013-01-16,-17.5,-12.5,1,0,1
2013-02-06,-17.5,-12.5,1,0,1
2013-02-12,-55.0,-50.0,1,0,1
2013-02-26,-30.0,-25.0,1,0,1
2013-03-01,-92.5,-87.5,1,0,1
2013-03-04,32.5,37.5,1,1,0
2013-03-05,-30.0,-25.0,1,0,1
2013-03-12,32.5,37.5,1,1,0
2013-03-18,-30.0,-25.0,1,0,1
2013-03-26,57.5,62.5,1,1,0
2013-03-28,-55.0,-50.0,1,0,1
2013-04-02,-67.5,-62.5,1,0,1
2013-04-10,-30.0,-25.0,1,0,1
2013-04-23,-30.0,-25.0,1,0,1
2013-04-25,-30.0,-25.0,1,0,1
2013-05-02,-30.0,-25.0,1,0,1
2013-05-03,-30.0,-25.0,1,0,1
2013-05-08,-30.0,-25.0,1,0,1
2013-05-13,-42.5,-37.5,1,0,1
2013-05-15,45.0,50.0,1,1,0
2013-05-20,-17.5,-12.5,1,0,1
2013-05-23,57.5,62.5,1,1,0
2013-05-29,-42.5,-37.5,1,0,1
2013-06-04,45.0,50.0,1,1,0
2013-06-05,7.5,12.5,1,1,0
2013-06-07,-42.5,-37.5,1,0,1
2013-06-14,-67.5,-62.5,1,0,1
2013-06-27,-30.0,-25.0,1,0,1
2013-06-28,-55.0,-50.0,1,0,1
2013-07-01,-17.5,-12.5,1,0,1
2013-08-01,70.0,75.0,1,1,0
2013-08-02,70.0,75.0,1,1,0
2013-08-05,-30.0,-25.0,1,0,1
2013-08-16,-42.5,-37.5,1,0,1
2013-08-19,-55.0,-50.0,1,0,1
2013-08-21,32.5,37.5,1,1,0
2013-09-10,-42.5,-37.5,1,0,1
2013-09-18,32.5,37.5,1,1,0
2013-09-24,-30.0,-25.0,1,0,1
2013-09-27,57.5,62.5,1,1,0
2013-10-15,-30.0,-25.0,1,0,1
2013-10-28,107.5,112.5,1,1,0
2013-11-15,40.0,50.0,2,1,1
2013-11-22,-30.0,-25.0,1,0,1
2013-12-05,-17.5,-12.5,1,0,1
2013-12-10,-42.5,-37.5,1,0,1
2013-12-20,-30.0,-25.0,1,0,1
2014-01-08,-30.0,-25.0,1,0,1
2014-01-13,-30.0,-25.0,1,0,1
2014-01-29,-42.5,-37.5,1,0,1
2014-01-31,-42.5,-37.5,1,0,1
2014-02-06,-55.0,-50.0,1,0,1
2014-02-20,-30.0,-25.0,1,0,1
2014-02-26,-30.0,-25.0,1,0,1
2014-02-27,-55.0,-50.0,1,0,1
2014-02-28,-30.0,-25.0,1,0,1
2014-03-12,-67.5,-62.5,1,0,1
2014-03-18,-30.0,-25.0,1,0,1
2014-04-09,57.5,62.5,1,1,0
2014-04-17,-42.5,-37.5,1,0,1
2014-04-21,-30.0,-25.0,1,0,1
2014-04-30,-30.0,-25.0,1,0,1
2014-05-01,-55.0,-50.0,1,0,1
2014-05-02,-30.0,-25.0,1,0,1
2014-05-13,-55.0,-50.0,1,0,1
2014-05-23,-42.5,-37.5,1,0,1
2014-05-27,-42.5,-37.5,1,0,1
2014-05-30,-17.5,-12.5,1,0,1
2014-06-06,-42.5,-37.5,1,0,1
2014-06-09,20.0,25.0,1,1,0
2014-06-13,-17.5,-12.5,1,0,1
2014-06-16,-30.0,-25.0,1,0,1
2014-06-23,-42.5,-37.5,1,0,1
2014-06-25,-42.5,-37.5,1,0,1
2014-06-27,-42.5,-37.5,1,0,1
2014-07-02,7.5,12.5,1,1,0
2014-07-14,20.0,25.0,1,1,0
2014-07-17,-30.0,-25.0,1,0,1
2014-07-18,45.0,50.0,1,1,0
2014-07-22,-42.5,-37.5,1,0,1
2014-07-23,-17.5,-12.5,1,0,1
2014-07-25,57.5,62.5,1,1,0
2014-07-29,-55.0,-50.0,1,0,1
2014-08-04,107.5,112.5,1,1,0
2014-08-05,-42.5,-37.5,1,0,1
2014-08-06,-55.0,-50.0,1,0,1
2014-08-08,7.5,12.5,1,1,0
2014-08-15,-30.0,-25.0,1,0,1
2014-08-18,-30.0,-25.0,1,0,1
2014-08-19,-55.0,-50.0,1,0,1
2014-08-21,-17.5,-12.5,1,0,1
2014-08-25,-42.5,-37.5,1,0,1
2014-08-26,-42.5,-37.5,1,0,1
2014-09-11,270.0,275.0,1,1,0
2014-09-17,82.5,87.5,1,1,0
2014-09-18,-5.0,0.0,1,0,1
2014-09-23,-42.5,-37.5,1,0,1
2014-09-26,-42.5,-37.5,1,0,1
2014-09-29,57.5,62.5,1,1,0
2014-09-30,-42.5,-37.5,1,0,1
2014-10-17,-30.0,-25.0,1,0,1
