campaign_tests_dir,source_config,campaign_id,variant_id,symbol,dataset_id,timeframe,decision,reason,status,passed,failed_criteria,acceptance_profit_factor,acceptance_mar,acceptance_total_trades,selected_params,error
data/reports/campaigns/morning_orderflow_momentum/ES/sierra_trade_orderflow_1m_20101229_20260609_full_rth_ny/1m/two_sided_signed_flow_1515_flatten_continuation/campaign_tests,research_artifacts/campaign_benchmark_shortlist_refresh_20260614_source_snapshots/data_reports_campaigns_morning_orderflow_momentum_ES_sierra_trade_orderflow_1m_20101229_20260609_full_rth_ny_1m_two_sided_signed_flow_1515_flatten_continuation.yaml,morning_orderflow_momentum,two_sided_signed_flow_1515_flatten_continuation,ES,sierra_trade_orderflow_1m_20101229_20260609_full_rth_ny,1m,acceptance_oos_present,acceptance_oos_test present; terminal result recorded,failed,False,metrics.profit_factor actual=0.8631798747141295 expected={'min': 1.0}; metrics.mar actual=-1.1086973404413312 expected={'min': 1.0},0.8631798747141295,-1.1086973404413312,53,"{""entry.params.min_orderflow_imbalance"": 0.01, ""entry.params.min_signal_return_ticks"": ""20"", ""entry.params.stop_pct"": 0.002, ""entry.params.target_r_multiple"": 4.0}",
data/reports/campaigns/morning_orderflow_momentum/ES/sierra_trade_orderflow_1m_20101229_20260609_full_rth_ny/1m/two_sided_signed_flow_continuation/campaign_tests,configs/campaigns/morning_orderflow_momentum/variants/ES/1m/two_sided_signed_flow_continuation.yaml,morning_orderflow_momentum,two_sided_signed_flow_continuation,ES,sierra_trade_orderflow_1m_20101229_20260609_full_rth_ny,1m,skip,summary did not pass shortlist/full-stack gates,skipped,,,,,,,
data/reports/campaigns/nq_connors_rsi2_mean_reversion/NQ/databento_nq_1m_20110103_20260529_dominant_session_volume/15m/fifteen_min_long_uptrend_pullback_1559/campaign_tests,configs/campaigns/nq_connors_rsi2_mean_reversion/variants/NQ/15m/fifteen_min_long_uptrend_pullback_1559.yaml,nq_connors_rsi2_mean_reversion,fifteen_min_long_uptrend_pullback_1559,NQ,databento_nq_1m_20110103_20260529_dominant_session_volume,15m,skip,summary did not pass shortlist/full-stack gates,skipped,,,,,,,
data/reports/campaigns/nq_connors_rsi2_mean_reversion/NQ/databento_nq_1m_20110103_20260529_dominant_session_volume/30m/thirty_min_classic_trend_pullback_1559/campaign_tests,configs/campaigns/nq_connors_rsi2_mean_reversion/variants/NQ/30m/thirty_min_classic_trend_pullback_1559.yaml,nq_connors_rsi2_mean_reversion,thirty_min_classic_trend_pullback_1559,NQ,databento_nq_1m_20110103_20260529_dominant_session_volume,30m,skip,summary did not pass shortlist/full-stack gates,skipped,,,,,,,
data/reports/campaigns/nq_connors_rsi2_mean_reversion/NQ/databento_nq_1m_20110103_20260529_dominant_session_volume/5m/five_min_two_sided_vwap_extreme_1430/campaign_tests,configs/campaigns/nq_connors_rsi2_mean_reversion/variants/NQ/5m/five_min_two_sided_vwap_extreme_1430.yaml,nq_connors_rsi2_mean_reversion,five_min_two_sided_vwap_extreme_1430,NQ,databento_nq_1m_20110103_20260529_dominant_session_volume,5m,skip,summary did not pass shortlist/full-stack gates,skipped,,,,,,,
data/reports/campaigns/nq_intraday_momentum_priority/NQ/databento_nq_1m_20110103_20260529_dominant_session_volume/5m/short_first_1030_weakness_1130_strength_long50/campaign_tests,configs/campaigns/nq_intraday_momentum_priority/variants/NQ/5m/short_first_1030_weakness_1130_strength_long50.yaml,nq_intraday_momentum_priority,short_first_1030_weakness_1130_strength_long50,NQ,databento_nq_1m_20110103_20260529_dominant_session_volume,5m,acceptance_oos_present,acceptance_oos_test present; terminal result recorded,failed,False,metrics.profit_factor actual=0.8358413738160574 expected={'min': 1.0}; metrics.mar actual=-1.011726207063023 expected={'min': 1.0},0.8358413738160574,-1.011726207063023,56,"{""entry.params.long_min_signal_return_bps"": ""50"", ""entry.params.long_stop_pct"": 0.0035, ""entry.params.long_target_r_multiple"": 2.5, ""entry.params.short_min_signal_return_bps"": ""45"", ""entry.params.short_stop_pct"": 0.0035, ""entry.params.short_target_r_multiple"": 3.5}",
data/reports/campaigns/nq_late_day_intraday_momentum/NQ/databento_nq_1m_20110103_20260529_dominant_session_volume/5m/first_and_penultimate_alignment_1530/campaign_tests,/private/tmp/nq_late_day_intraday_momentum/first_and_penultimate_alignment_1530.yaml,nq_late_day_intraday_momentum,first_and_penultimate_alignment_1530,NQ,databento_nq_1m_20110103_20260529_dominant_session_volume,5m,skip,summary did not pass shortlist/full-stack gates,skipped,,,,,,,
data/reports/campaigns/nq_late_day_intraday_momentum/NQ/databento_nq_1m_20110103_20260529_dominant_session_volume/5m/first_half_hour_sign_1530/campaign_tests,/private/tmp/nq_late_day_intraday_momentum/first_half_hour_sign_1530.yaml,nq_late_day_intraday_momentum,first_half_hour_sign_1530,NQ,databento_nq_1m_20110103_20260529_dominant_session_volume,5m,skip,summary did not pass shortlist/full-stack gates,skipped,,,,,,,
data/reports/campaigns/nq_opening_range_breakout/NQ/databento_nq_1m_20110103_20260529_dominant_session_volume/5m/fifteen_min_close_breakout_1559/campaign_tests,configs/campaigns/nq_opening_range_breakout/variants/NQ/5m/fifteen_min_close_breakout_1559.yaml,nq_opening_range_breakout,fifteen_min_close_breakout_1559,NQ,databento_nq_1m_20110103_20260529_dominant_session_volume,5m,skip,summary did not pass shortlist/full-stack gates,skipped,,,,,,,
data/reports/campaigns/nq_opening_range_breakout/NQ/databento_nq_1m_20110103_20260529_dominant_session_volume/5m/five_min_volume_extension_1130/campaign_tests,configs/campaigns/nq_opening_range_breakout/variants/NQ/5m/five_min_volume_extension_1130.yaml,nq_opening_range_breakout,five_min_volume_extension_1130,NQ,databento_nq_1m_20110103_20260529_dominant_session_volume,5m,skip,summary did not pass shortlist/full-stack gates,skipped,,,,,,,
