variant_id,share_rank_min,semivar_rank_min,window,signals,signals_per_year
morning_trade_high_downside1_1030,0.4,0.55,full,273,38.48446545735237
morning_trade_high_downside1_1030,0.4,0.55,limited_core,45,63.706395348837205
morning_trade_high_downside1_1030,0.4,0.55,wfa90,240,37.6061776061776
morning_trade_high_downside1_1030,0.4,0.55,latest1y,35,35.12019230769231
morning_trade_high_downside1_1030,0.4,0.65,full,233,32.84571593979158
morning_trade_high_downside1_1030,0.4,0.65,limited_core,42,59.45930232558139
morning_trade_high_downside1_1030,0.4,0.65,wfa90,206,32.278635778635774
morning_trade_high_downside1_1030,0.4,0.65,latest1y,28,28.096153846153847
morning_trade_high_downside1_1030,0.5,0.55,full,254,35.806059436511
morning_trade_high_downside1_1030,0.5,0.55,limited_core,43,60.875
morning_trade_high_downside1_1030,0.5,0.55,wfa90,224,35.0990990990991
morning_trade_high_downside1_1030,0.5,0.55,latest1y,32,32.10989010989011
morning_trade_high_downside1_1030,0.5,0.65,full,218,30.73118487070629
morning_trade_high_downside1_1030,0.5,0.65,limited_core,40,56.627906976744185
morning_trade_high_downside1_1030,0.5,0.65,wfa90,194,30.398326898326896
morning_trade_high_downside1_1030,0.5,0.65,latest1y,25,25.085851648351646
morning_trade_high_downside1_1030,0.6,0.55,full,236,33.268622153608646
morning_trade_high_downside1_1030,0.6,0.55,limited_core,41,58.04360465116279
morning_trade_high_downside1_1030,0.6,0.55,wfa90,209,32.748712998712996
morning_trade_high_downside1_1030,0.6,0.55,latest1y,27,27.092719780219777
morning_trade_high_downside1_1030,0.6,0.65,full,203,28.616653801620995
morning_trade_high_downside1_1030,0.6,0.65,limited_core,38,53.79651162790697
morning_trade_high_downside1_1030,0.6,0.65,wfa90,181,28.36132561132561
morning_trade_high_downside1_1030,0.6,0.65,latest1y,22,22.07554945054945
morning_notional_high_downside1_1030,0.4,0.55,full,276,38.90737167116943
morning_notional_high_downside1_1030,0.4,0.55,limited_core,44,62.2906976744186
morning_notional_high_downside1_1030,0.4,0.55,wfa90,243,38.076254826254825
morning_notional_high_downside1_1030,0.4,0.55,latest1y,36,36.12362637362637
morning_notional_high_downside1_1030,0.4,0.65,full,231,32.56377846391354
morning_notional_high_downside1_1030,0.4,0.65,limited_core,41,58.04360465116279
morning_notional_high_downside1_1030,0.4,0.65,wfa90,206,32.278635778635774
morning_notional_high_downside1_1030,0.4,0.65,latest1y,26,26.08928571428571
morning_notional_high_downside1_1030,0.5,0.55,full,262,36.93380934002315
morning_notional_high_downside1_1030,0.5,0.55,limited_core,41,58.04360465116279
morning_notional_high_downside1_1030,0.5,0.55,wfa90,231,36.195945945945944
morning_notional_high_downside1_1030,0.5,0.55,latest1y,33,33.113324175824175
morning_notional_high_downside1_1030,0.5,0.65,full,221,31.154091084523348
morning_notional_high_downside1_1030,0.5,0.65,limited_core,39,55.212209302325576
morning_notional_high_downside1_1030,0.5,0.65,wfa90,197,30.86840411840412
morning_notional_high_downside1_1030,0.5,0.65,latest1y,25,25.085851648351646
morning_notional_high_downside1_1030,0.6,0.55,full,241,33.97346584330374
morning_notional_high_downside1_1030,0.6,0.55,limited_core,39,55.212209302325576
morning_notional_high_downside1_1030,0.6,0.55,wfa90,214,33.53217503217503
morning_notional_high_downside1_1030,0.6,0.55,latest1y,28,28.096153846153847
morning_notional_high_downside1_1030,0.6,0.65,full,203,28.616653801620995
morning_notional_high_downside1_1030,0.6,0.65,limited_core,37,52.38081395348837
morning_notional_high_downside1_1030,0.6,0.65,wfa90,183,28.674710424710423
morning_notional_high_downside1_1030,0.6,0.65,latest1y,21,21.072115384615383
midday_notional_high_downside1_1200,0.4,0.55,full,266,37.49768429177924
midday_notional_high_downside1_1200,0.4,0.55,limited_core,39,55.212209302325576
midday_notional_high_downside1_1200,0.4,0.55,wfa90,241,37.76287001287001
midday_notional_high_downside1_1200,0.4,0.55,latest1y,29,29.099587912087912
midday_notional_high_downside1_1200,0.4,0.65,full,227,31.999903512157466
midday_notional_high_downside1_1200,0.4,0.65,limited_core,36,50.96511627906977
midday_notional_high_downside1_1200,0.4,0.65,wfa90,209,32.748712998712996
midday_notional_high_downside1_1200,0.4,0.65,latest1y,19,19.065247252747252
midday_notional_high_downside1_1200,0.5,0.55,full,243,34.25540331918178
midday_notional_high_downside1_1200,0.5,0.55,limited_core,36,50.96511627906977
midday_notional_high_downside1_1200,0.5,0.55,wfa90,221,34.62902187902188
midday_notional_high_downside1_1200,0.5,0.55,latest1y,26,26.08928571428571
midday_notional_high_downside1_1200,0.5,0.65,full,206,29.039560015438052
midday_notional_high_downside1_1200,0.5,0.65,limited_core,33,46.718023255813954
midday_notional_high_downside1_1200,0.5,0.65,wfa90,191,29.928249678249678
midday_notional_high_downside1_1200,0.5,0.65,latest1y,16,16.054945054945055
midday_notional_high_downside1_1200,0.6,0.55,full,227,31.999903512157466
midday_notional_high_downside1_1200,0.6,0.55,limited_core,34,48.133720930232556
midday_notional_high_downside1_1200,0.6,0.55,wfa90,207,32.43532818532818
midday_notional_high_downside1_1200,0.6,0.55,latest1y,24,24.08241758241758
midday_notional_high_downside1_1200,0.6,0.65,full,193,27.206966422230796
midday_notional_high_downside1_1200,0.6,0.65,limited_core,31,43.88662790697674
midday_notional_high_downside1_1200,0.6,0.65,wfa90,178,27.89124839124839
midday_notional_high_downside1_1200,0.6,0.65,latest1y,16,16.054945054945055
morning_trade_high_downside_share_1030,0.4,0.55,full,238,33.550559629486685
morning_trade_high_downside_share_1030,0.4,0.55,limited_core,30,42.47093023255814
morning_trade_high_downside_share_1030,0.4,0.55,wfa90,216,33.84555984555985
morning_trade_high_downside_share_1030,0.4,0.55,latest1y,29,29.099587912087912
morning_trade_high_downside_share_1030,0.4,0.65,full,199,28.052778849864914
morning_trade_high_downside_share_1030,0.4,0.65,limited_core,24,33.97674418604651
morning_trade_high_downside_share_1030,0.4,0.65,wfa90,180,28.204633204633204
morning_trade_high_downside_share_1030,0.4,0.65,latest1y,25,25.085851648351646
morning_trade_high_downside_share_1030,0.5,0.55,full,217,30.59021613276727
morning_trade_high_downside_share_1030,0.5,0.55,limited_core,29,41.05523255813953
morning_trade_high_downside_share_1030,0.5,0.55,wfa90,197,30.86840411840412
morning_trade_high_downside_share_1030,0.5,0.55,latest1y,27,27.092719780219777
morning_trade_high_downside_share_1030,0.5,0.65,full,179,25.233404091084523
morning_trade_high_downside_share_1030,0.5,0.65,limited_core,23,32.56104651162791
morning_trade_high_downside_share_1030,0.5,0.65,wfa90,162,25.384169884169882
morning_trade_high_downside_share_1030,0.5,0.65,latest1y,23,23.078983516483515
morning_trade_high_downside_share_1030,0.6,0.55,full,193,27.206966422230796
morning_trade_high_downside_share_1030,0.6,0.55,limited_core,25,35.39244186046511
morning_trade_high_downside_share_1030,0.6,0.55,wfa90,176,27.577863577863578
morning_trade_high_downside_share_1030,0.6,0.55,latest1y,18,18.061813186813186
morning_trade_high_downside_share_1030,0.6,0.65,full,159,22.41402933230413
morning_trade_high_downside_share_1030,0.6,0.65,limited_core,20,28.313953488372093
morning_trade_high_downside_share_1030,0.6,0.65,wfa90,144,22.563706563706564
morning_trade_high_downside_share_1030,0.6,0.65,latest1y,16,16.054945054945055
midday_notional_high_semivar_balance_1200,0.4,0.55,full,220,31.01312234658433
midday_notional_high_semivar_balance_1200,0.4,0.55,limited_core,29,41.05523255813953
midday_notional_high_semivar_balance_1200,0.4,0.55,wfa90,205,32.121943371943374
midday_notional_high_semivar_balance_1200,0.4,0.55,latest1y,26,26.08928571428571
midday_notional_high_semivar_balance_1200,0.4,0.65,full,174,24.528560401389424
midday_notional_high_semivar_balance_1200,0.4,0.65,limited_core,21,29.729651162790695
midday_notional_high_semivar_balance_1200,0.4,0.65,wfa90,162,25.384169884169882
midday_notional_high_semivar_balance_1200,0.4,0.65,latest1y,22,22.07554945054945
midday_notional_high_semivar_balance_1200,0.5,0.55,full,205,28.898591277499033
midday_notional_high_semivar_balance_1200,0.5,0.55,limited_core,29,41.05523255813953
midday_notional_high_semivar_balance_1200,0.5,0.55,wfa90,192,30.084942084942085
midday_notional_high_semivar_balance_1200,0.5,0.55,latest1y,24,24.08241758241758
midday_notional_high_semivar_balance_1200,0.5,0.65,full,160,22.554998070243148
midday_notional_high_semivar_balance_1200,0.5,0.65,limited_core,21,29.729651162790695
midday_notional_high_semivar_balance_1200,0.5,0.65,wfa90,150,23.503861003861005
midday_notional_high_semivar_balance_1200,0.5,0.65,latest1y,20,20.068681318681318
midday_notional_high_semivar_balance_1200,0.6,0.55,full,175,24.669529139328443
midday_notional_high_semivar_balance_1200,0.6,0.55,limited_core,26,36.80813953488372
midday_notional_high_semivar_balance_1200,0.6,0.55,wfa90,164,25.697554697554697
midday_notional_high_semivar_balance_1200,0.6,0.55,latest1y,20,20.068681318681318
midday_notional_high_semivar_balance_1200,0.6,0.65,full,136,19.171748359706676
midday_notional_high_semivar_balance_1200,0.6,0.65,limited_core,18,25.482558139534884
midday_notional_high_semivar_balance_1200,0.6,0.65,wfa90,127,19.89993564993565
midday_notional_high_semivar_balance_1200,0.6,0.65,latest1y,17,17.05837912087912
afternoon_notional_high_downside1_1400,0.4,0.55,full,259,36.510903126206095
afternoon_notional_high_downside1_1400,0.4,0.55,limited_core,35,49.54941860465116
afternoon_notional_high_downside1_1400,0.4,0.55,wfa90,228,35.72586872586872
afternoon_notional_high_downside1_1400,0.4,0.55,latest1y,37,37.12706043956044
afternoon_notional_high_downside1_1400,0.4,0.65,full,202,28.475685063681976
afternoon_notional_high_downside1_1400,0.4,0.65,limited_core,31,43.88662790697674
