variant_id,period,start_date,end_date,min_sweep_ticks,min_orderflow_imbalance,signals,years,signals_per_year
afternoon_large20_two_sided_key_reversal_1530,full_history,2011-01-03,2026-06-09,1,0.0,3098,15.433264887063656,200.73523150612027
afternoon_large20_two_sided_key_reversal_1530,limited_core_window,2011-02-22,2012-09-06,1,0.0,279,1.541409993155373,181.003108348135
afternoon_large20_two_sided_key_reversal_1530,full_history,2011-01-03,2026-06-09,1,0.02,3038,15.433264887063656,196.84752527940392
afternoon_large20_two_sided_key_reversal_1530,limited_core_window,2011-02-22,2012-09-06,1,0.02,264,1.541409993155373,171.27175843694494
afternoon_large20_two_sided_key_reversal_1530,full_history,2011-01-03,2026-06-09,1,0.04,2949,15.433264887063656,191.08076104310803
afternoon_large20_two_sided_key_reversal_1530,limited_core_window,2011-02-22,2012-09-06,1,0.04,251,1.541409993155373,162.8379218472469
afternoon_large20_two_sided_key_reversal_1530,full_history,2011-01-03,2026-06-09,2,0.0,2350,15.433264887063656,152.26849387972325
afternoon_large20_two_sided_key_reversal_1530,limited_core_window,2011-02-22,2012-09-06,2,0.0,166,1.541409993155373,107.69360568383658
afternoon_large20_two_sided_key_reversal_1530,full_history,2011-01-03,2026-06-09,2,0.02,2268,15.433264887063656,146.95529536987758
afternoon_large20_two_sided_key_reversal_1530,limited_core_window,2011-02-22,2012-09-06,2,0.02,150,1.541409993155373,97.31349911190053
afternoon_large20_two_sided_key_reversal_1530,full_history,2011-01-03,2026-06-09,2,0.04,2187,15.433264887063656,141.70689196381053
afternoon_large20_two_sided_key_reversal_1530,limited_core_window,2011-02-22,2012-09-06,2,0.04,138,1.541409993155373,89.52841918294848
afternoon_large20_two_sided_key_reversal_1530,full_history,2011-01-03,2026-06-09,4,0.0,1388,15.433264887063656,89.93560404470463
afternoon_large20_two_sided_key_reversal_1530,limited_core_window,2011-02-22,2012-09-06,4,0.0,53,1.541409993155373,34.38410301953819
afternoon_large20_two_sided_key_reversal_1530,full_history,2011-01-03,2026-06-09,4,0.02,1335,15.433264887063656,86.50146354443852
afternoon_large20_two_sided_key_reversal_1530,limited_core_window,2011-02-22,2012-09-06,4,0.02,45,1.541409993155373,29.194049733570157
afternoon_large20_two_sided_key_reversal_1530,full_history,2011-01-03,2026-06-09,4,0.04,1280,15.433264887063656,82.93773283661521
afternoon_large20_two_sided_key_reversal_1530,limited_core_window,2011-02-22,2012-09-06,4,0.04,40,1.541409993155373,25.95026642984014
late_morning_large10_down_sweep_reclaim_long_1230,full_history,2011-01-03,2026-06-09,1,0.0,1745,15.433264887063656,113.06745609366683
late_morning_large10_down_sweep_reclaim_long_1230,limited_core_window,2011-02-22,2012-09-06,1,0.0,202,1.541409993155373,131.04884547069273
late_morning_large10_down_sweep_reclaim_long_1230,full_history,2011-01-03,2026-06-09,1,0.02,1635,15.433264887063656,105.93999467802021
late_morning_large10_down_sweep_reclaim_long_1230,limited_core_window,2011-02-22,2012-09-06,1,0.02,183,1.541409993155373,118.72246891651865
late_morning_large10_down_sweep_reclaim_long_1230,full_history,2011-01-03,2026-06-09,1,0.04,1517,15.433264887063656,98.29417243214475
late_morning_large10_down_sweep_reclaim_long_1230,limited_core_window,2011-02-22,2012-09-06,1,0.04,164,1.541409993155373,106.39609236234458
late_morning_large10_down_sweep_reclaim_long_1230,full_history,2011-01-03,2026-06-09,2,0.0,1351,15.433264887063656,87.53818520489622
late_morning_large10_down_sweep_reclaim_long_1230,limited_core_window,2011-02-22,2012-09-06,2,0.0,123,1.541409993155373,79.79706927175843
late_morning_large10_down_sweep_reclaim_long_1230,full_history,2011-01-03,2026-06-09,2,0.02,1251,15.433264887063656,81.05867482703566
late_morning_large10_down_sweep_reclaim_long_1230,limited_core_window,2011-02-22,2012-09-06,2,0.02,106,1.541409993155373,68.76820603907638
late_morning_large10_down_sweep_reclaim_long_1230,full_history,2011-01-03,2026-06-09,2,0.04,1144,15.433264887063656,74.12559872272485
late_morning_large10_down_sweep_reclaim_long_1230,limited_core_window,2011-02-22,2012-09-06,2,0.04,89,1.541409993155373,57.73934280639431
late_morning_large10_down_sweep_reclaim_long_1230,full_history,2011-01-03,2026-06-09,4,0.0,829,15.433264887063656,53.715141032464075
late_morning_large10_down_sweep_reclaim_long_1230,limited_core_window,2011-02-22,2012-09-06,4,0.0,37,1.541409993155373,24.00399644760213
late_morning_large10_down_sweep_reclaim_long_1230,full_history,2011-01-03,2026-06-09,4,0.02,768,15.433264887063656,49.76263970196913
late_morning_large10_down_sweep_reclaim_long_1230,limited_core_window,2011-02-22,2012-09-06,4,0.02,30,1.541409993155373,19.462699822380106
late_morning_large10_down_sweep_reclaim_long_1230,full_history,2011-01-03,2026-06-09,4,0.04,702,15.433264887063656,45.48616285258116
late_morning_large10_down_sweep_reclaim_long_1230,limited_core_window,2011-02-22,2012-09-06,4,0.04,24,1.541409993155373,15.570159857904084
