variant_id,period,start_date,end_date,opening_range_minutes,last_entry_time,flow_mode,short_trend_bars,long_trend_bars,max_reclaim_bars,min_trend_move_ticks,min_reclaim_orderflow_imbalance,signals,years,signals_per_year
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,large10,3,6,8,0,0.0,2009,15.433264887063656,130.17336349121874
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,large10,3,6,8,0,0.0,199,1.541409993155373,129.1025754884547
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,large10,3,6,8,0,0.01,1995,15.433264887063656,129.26623203831824
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,large10,3,6,8,0,0.01,199,1.541409993155373,129.1025754884547
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,large10,3,6,8,0,0.02,1992,15.433264887063656,129.07184672698244
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,large10,3,6,8,0,0.02,198,1.541409993155373,128.4538188277087
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,large10,3,6,8,0.5,0.0,1522,15.433264887063656,98.61814795103778
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,large10,3,6,8,0.5,0.0,133,1.541409993155373,86.28463587921847
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,large10,3,6,8,0.5,0.01,1507,15.433264887063656,97.64622139435869
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,large10,3,6,8,0.5,0.01,133,1.541409993155373,86.28463587921847
or15_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,large10,3,6,8,0.5,0.02,1504,15.433264887063656,97.45183608302288
or15_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,large10,3,6,8,0.5,0.02,133,1.541409993155373,86.28463587921847
or15_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,signed_volume,3,6,8,0,0.0,2067,15.433264887063656,133.93147951037784
or15_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,signed_volume,3,6,8,0,0.0,199,1.541409993155373,129.1025754884547
or15_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,signed_volume,3,6,8,0,0.01,2064,15.433264887063656,133.73709419904205
or15_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,signed_volume,3,6,8,0,0.01,199,1.541409993155373,129.1025754884547
or15_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,signed_volume,3,6,8,0,0.02,2060,15.433264887063656,133.47791378392762
or15_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,signed_volume,3,6,8,0,0.02,199,1.541409993155373,129.1025754884547
or15_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,signed_volume,3,6,8,0.5,0.0,1579,15.433264887063656,102.31146886641831
or15_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,signed_volume,3,6,8,0.5,0.0,132,1.541409993155373,85.63587921847247
or15_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,signed_volume,3,6,8,0.5,0.01,1575,15.433264887063656,102.05228845130388
or15_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,signed_volume,3,6,8,0.5,0.01,132,1.541409993155373,85.63587921847247
or15_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,15,15:30:00,signed_volume,3,6,8,0.5,0.02,1570,15.433264887063656,101.72831293241086
or15_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,15,15:30:00,signed_volume,3,6,8,0.5,0.02,132,1.541409993155373,85.63587921847247
or30_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,large10,3,6,8,0,0.0,1858,15.433264887063656,120.38930282064928
or30_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,large10,3,6,8,0,0.0,185,1.541409993155373,120.01998223801066
or30_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,large10,3,6,8,0,0.01,1847,15.433264887063656,119.67655667908461
or30_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,large10,3,6,8,0,0.01,185,1.541409993155373,120.01998223801066
or30_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,large10,3,6,8,0,0.02,1844,15.433264887063656,119.48217136774879
or30_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,large10,3,6,8,0,0.02,185,1.541409993155373,120.01998223801066
or30_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,large10,3,6,8,0.5,0.0,1376,15.433264887063656,89.15806279936136
or30_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,large10,3,6,8,0.5,0.0,120,1.541409993155373,77.85079928952042
or30_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,large10,3,6,8,0.5,0.01,1365,15.433264887063656,88.4453166577967
or30_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,large10,3,6,8,0.5,0.01,120,1.541409993155373,77.85079928952042
or30_full_session_large10_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,large10,3,6,8,0.5,0.02,1360,15.433264887063656,88.12134113890367
or30_full_session_large10_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,large10,3,6,8,0.5,0.02,120,1.541409993155373,77.85079928952042
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,signed_volume,3,6,8,0,0.0,1931,15.433264887063656,125.11934539648749
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,signed_volume,3,6,8,0,0.0,186,1.541409993155373,120.66873889875666
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,signed_volume,3,6,8,0,0.01,1929,15.433264887063656,124.98975518893027
or30_full_session_signed_trend_reclaim_1530,limited_core_window,2011-02-22,2012-09-06,30,15:30:00,signed_volume,3,6,8,0,0.01,186,1.541409993155373,120.66873889875666
or30_full_session_signed_trend_reclaim_1530,full_history,2011-01-03,2026-06-09,30,15:30:00,signed_volume,3,6,8,0,0.02,1925,15.433264887063656,124.73057477381586
