variant_id,mechanic,prefix,min_probe_ticks,min_orderflow_imbalance,signal_sessions,signals_per_year,signal_bars,long_bars,short_bars
ovap30_vap_large_value_acceptance_1500,value_acceptance,opening30_vap,0,0.0,2556,165.64567068843152,15395,7501,7894
ovap30_vap_large_value_acceptance_1500,value_acceptance,opening30_vap,0,0.01,2555,165.58086408800568,15311,7465,7846
ovap30_vap_large_value_acceptance_1500,value_acceptance,opening30_vap,0,0.03,2545,164.93279808374734,15104,7366,7738
ovap30_vap_large_value_acceptance_1500,value_acceptance,opening30_vap,1,0.0,2552,165.38644428672816,15197,7397,7800
ovap30_vap_large_value_acceptance_1500,value_acceptance,opening30_vap,1,0.01,2551,165.32163768630235,15113,7361,7752
ovap30_vap_large_value_acceptance_1500,value_acceptance,opening30_vap,1,0.03,2541,164.673571682044,14907,7262,7645
ovap30_vap_large_poc_acceptance_1500,poc_acceptance,opening30_vap,0,0.0,2684,173.94091554293826,18162,8845,9317
ovap30_vap_large_poc_acceptance_1500,poc_acceptance,opening30_vap,0,0.01,2684,173.94091554293826,18061,8801,9260
ovap30_vap_large_poc_acceptance_1500,poc_acceptance,opening30_vap,0,0.03,2670,173.0336231369766,17812,8685,9127
ovap30_vap_large_poc_acceptance_1500,poc_acceptance,opening30_vap,1,0.0,2680,173.68168914123493,17985,8753,9232
ovap30_vap_large_poc_acceptance_1500,poc_acceptance,opening30_vap,1,0.01,2679,173.6168825408091,17884,8709,9175
ovap30_vap_large_poc_acceptance_1500,poc_acceptance,opening30_vap,1,0.03,2666,172.77439673527326,17636,8593,9043
ovap30_vap_large_lvn_acceptance_1500,lvn_acceptance,opening30_vap,0,0.0,2364,153.2028034066714,12739,6168,6571
ovap30_vap_large_lvn_acceptance_1500,lvn_acceptance,opening30_vap,0,0.01,2363,153.13799680624555,12671,6138,6533
ovap30_vap_large_lvn_acceptance_1500,lvn_acceptance,opening30_vap,0,0.03,2353,152.4899308019872,12510,6059,6451
ovap30_vap_large_lvn_acceptance_1500,lvn_acceptance,opening30_vap,1,0.0,2359,152.87877040454222,12571,6085,6486
ovap30_vap_large_lvn_acceptance_1500,lvn_acceptance,opening30_vap,1,0.01,2358,152.81396380411638,12503,6055,6448
ovap30_vap_large_lvn_acceptance_1500,lvn_acceptance,opening30_vap,1,0.03,2348,152.16589779985804,12345,5978,6367
ovap60_vap_large_value_acceptance_1500,value_acceptance,opening60_vap,0,0.0,2370,153.5916430092264,12206,5911,6295
ovap60_vap_large_value_acceptance_1500,value_acceptance,opening60_vap,0,0.01,2368,153.46202980837472,12150,5888,6262
ovap60_vap_large_value_acceptance_1500,value_acceptance,opening60_vap,0,0.03,2357,152.74915720369057,12007,5824,6183
ovap60_vap_large_value_acceptance_1500,value_acceptance,opening60_vap,1,0.0,2363,153.13799680624555,12047,5813,6234
ovap60_vap_large_value_acceptance_1500,value_acceptance,opening60_vap,1,0.01,2361,153.0083836053939,11991,5790,6201
ovap60_vap_large_value_acceptance_1500,value_acceptance,opening60_vap,1,0.03,2350,152.29551100070972,11849,5727,6122
ovap60_vap_large_poc_acceptance_1500,poc_acceptance,opening60_vap,0,0.0,2564,166.16412349183818,15381,7536,7845
ovap60_vap_large_poc_acceptance_1500,poc_acceptance,opening60_vap,0,0.01,2564,166.16412349183818,15306,7505,7801
ovap60_vap_large_poc_acceptance_1500,poc_acceptance,opening60_vap,0,0.03,2551,165.32163768630235,15115,7421,7694
ovap60_vap_large_poc_acceptance_1500,poc_acceptance,opening60_vap,1,0.0,2559,165.840090489709,15237,7457,7780
ovap60_vap_large_poc_acceptance_1500,poc_acceptance,opening60_vap,1,0.01,2559,165.840090489709,15162,7426,7736
ovap60_vap_large_poc_acceptance_1500,poc_acceptance,opening60_vap,1,0.03,2546,164.99760468417318,14973,7344,7629
ovap60_vap_large_lvn_acceptance_1500,lvn_acceptance,opening60_vap,0,0.0,2056,133.24237047551455,9348,4462,4886
ovap60_vap_large_lvn_acceptance_1500,lvn_acceptance,opening60_vap,0,0.01,2055,133.1775638750887,9301,4443,4858
ovap60_vap_large_lvn_acceptance_1500,lvn_acceptance,opening60_vap,0,0.03,2045,132.52949787083037,9194,4394,4800
ovap60_vap_large_lvn_acceptance_1500,lvn_acceptance,opening60_vap,1,0.0,2046,132.5943044712562,9203,4377,4826
ovap60_vap_large_lvn_acceptance_1500,lvn_acceptance,opening60_vap,1,0.01,2045,132.52949787083037,9156,4358,4798
ovap60_vap_large_lvn_acceptance_1500,lvn_acceptance,opening60_vap,1,0.03,2035,131.88143186657203,9052,4310,4742
