campaign_id,variant_id,entry_combo,total_grid_combinations,full_start_date,full_end_date,full_years,full_signals,full_signals_per_year,full_long_signals,full_short_signals,full_first_signal,full_last_signal,full_active_years,full_median_signals_per_active_year,full_max_year_signal_concentration,limited_start_date,limited_end_date,limited_years,limited_signals,limited_signals_per_year,limited_long_signals,limited_short_signals,limited_first_signal,limited_last_signal,limited_active_years,limited_median_signals_per_active_year,limited_max_year_signal_concentration,passes_full_density,passes_limited_density
es_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.0, ""entry.params.rejection_buffer_ticks"": 0}",81,2011-01-03,2026-06-09,15.4333,1290,83.5857,647,643,2011-01-05T13:05:00-05:00,2026-06-08T13:15:00-04:00,16,83.0,0.0767,2011-02-22,2012-09-06,1.5414,121,78.4996,54,67,2011-02-24T14:35:00-05:00,2012-09-05T13:35:00-04:00,2,60.5,0.562,True,True
es_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.02, ""entry.params.rejection_buffer_ticks"": 0}",81,2011-01-03,2026-06-09,15.4333,1282,83.0673,643,639,2011-01-05T13:05:00-05:00,2026-06-08T13:15:00-04:00,16,82.5,0.0764,2011-02-22,2012-09-06,1.5414,120,77.8508,54,66,2011-02-24T14:35:00-05:00,2012-09-05T13:35:00-04:00,2,60.0,0.5667,True,True
es_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.04, ""entry.params.rejection_buffer_ticks"": 0}",81,2011-01-03,2026-06-09,15.4333,1264,81.901,634,630,2011-01-05T13:05:00-05:00,2026-06-08T13:15:00-04:00,16,81.5,0.0752,2011-02-22,2012-09-06,1.5414,118,76.5533,54,64,2011-02-24T14:35:00-05:00,2012-09-05T13:35:00-04:00,2,59.0,0.5678,True,True
es_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.0, ""entry.params.rejection_buffer_ticks"": 1}",81,2011-01-03,2026-06-09,15.4333,1217,78.8556,619,598,2011-01-05T13:05:00-05:00,2026-06-08T13:15:00-04:00,16,79.5,0.0731,2011-02-22,2012-09-06,1.5414,112,72.6607,49,63,2011-02-24T14:35:00-05:00,2012-09-05T13:35:00-04:00,2,56.0,0.5893,True,True
es_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.02, ""entry.params.rejection_buffer_ticks"": 1}",81,2011-01-03,2026-06-09,15.4333,1206,78.1429,615,591,2011-01-05T13:05:00-05:00,2026-06-08T13:15:00-04:00,16,78.5,0.0738,2011-02-22,2012-09-06,1.5414,110,71.3632,48,62,2011-02-24T14:35:00-05:00,2012-09-05T13:35:00-04:00,2,55.0,0.5909,True,True
es_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.04, ""entry.params.rejection_buffer_ticks"": 1}",81,2011-01-03,2026-06-09,15.4333,1181,76.523,604,577,2011-01-05T13:05:00-05:00,2026-06-08T13:15:00-04:00,16,77.0,0.0754,2011-02-22,2012-09-06,1.5414,103,66.8219,46,57,2011-02-24T14:35:00-05:00,2012-09-05T13:35:00-04:00,2,51.5,0.5922,True,True
es_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.0, ""entry.params.rejection_buffer_ticks"": 2}",81,2011-01-03,2026-06-09,15.4333,1102,71.4042,572,530,2011-01-05T13:05:00-05:00,2026-06-01T13:05:00-04:00,16,71.0,0.0808,2011-02-22,2012-09-06,1.5414,91,59.0369,38,53,2011-02-24T14:35:00-05:00,2012-09-05T13:35:00-04:00,2,45.5,0.6154,True,True
es_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.02, ""entry.params.rejection_buffer_ticks"": 2}",81,2011-01-03,2026-06-09,15.4333,1088,70.4971,566,522,2011-01-05T13:05:00-05:00,2026-06-01T13:05:00-04:00,16,70.0,0.0818,2011-02-22,2012-09-06,1.5414,88,57.0906,37,51,2011-02-24T14:35:00-05:00,2012-09-05T13:35:00-04:00,2,44.0,0.6136,True,True
es_prior_value_area_orderflow_rejection,afternoon_large20_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.04, ""entry.params.rejection_buffer_ticks"": 2}",81,2011-01-03,2026-06-09,15.4333,1068,69.2012,557,511,2011-01-05T13:05:00-05:00,2026-06-01T13:05:00-04:00,16,69.5,0.0833,2011-02-22,2012-09-06,1.5414,85,55.1443,36,49,2011-02-24T14:35:00-05:00,2012-09-05T13:35:00-04:00,2,42.5,0.6,True,True
es_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.0, ""entry.params.rejection_buffer_ticks"": 0}",81,2011-01-03,2026-06-09,15.4333,1508,97.711,716,792,2011-01-05T11:20:00-05:00,2026-06-09T10:40:00-04:00,16,98.5,0.0716,2011-02-22,2012-09-06,1.5414,131,84.9871,74,57,2011-02-24T11:20:00-05:00,2012-09-05T10:55:00-04:00,2,65.5,0.5191,True,True
es_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.02, ""entry.params.rejection_buffer_ticks"": 0}",81,2011-01-03,2026-06-09,15.4333,1455,94.2769,693,762,2011-01-05T11:20:00-05:00,2026-06-04T11:00:00-04:00,16,94.0,0.0722,2011-02-22,2012-09-06,1.5414,129,83.6896,74,55,2011-02-24T11:20:00-05:00,2012-09-05T10:55:00-04:00,2,64.5,0.5116,True,True
es_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.04, ""entry.params.rejection_buffer_ticks"": 0}",81,2011-01-03,2026-06-09,15.4333,1375,89.0933,649,726,2011-01-05T11:20:00-05:00,2026-06-01T11:35:00-04:00,16,90.5,0.0742,2011-02-22,2012-09-06,1.5414,125,81.0946,71,54,2011-02-24T11:20:00-05:00,2012-09-05T10:55:00-04:00,2,62.5,0.512,True,True
es_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.0, ""entry.params.rejection_buffer_ticks"": 1}",81,2011-01-03,2026-06-09,15.4333,1441,93.3697,690,751,2011-01-05T11:20:00-05:00,2026-06-09T10:40:00-04:00,16,94.5,0.0736,2011-02-22,2012-09-06,1.5414,125,81.0946,71,54,2011-02-24T11:20:00-05:00,2012-09-05T10:55:00-04:00,2,62.5,0.528,True,True
es_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.02, ""entry.params.rejection_buffer_ticks"": 1}",81,2011-01-03,2026-06-09,15.4333,1388,89.9356,663,725,2011-01-05T11:20:00-05:00,2026-06-04T11:00:00-04:00,16,90.0,0.0735,2011-02-22,2012-09-06,1.5414,123,79.7971,71,52,2011-02-24T11:20:00-05:00,2012-09-05T10:55:00-04:00,2,61.5,0.5203,True,True
es_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.04, ""entry.params.rejection_buffer_ticks"": 1}",81,2011-01-03,2026-06-09,15.4333,1303,84.428,615,688,2011-01-05T11:20:00-05:00,2026-06-01T11:35:00-04:00,16,83.5,0.0752,2011-02-22,2012-09-06,1.5414,119,77.202,68,51,2011-02-24T11:20:00-05:00,2012-09-05T10:55:00-04:00,2,59.5,0.521,True,True
es_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.0, ""entry.params.rejection_buffer_ticks"": 2}",81,2011-01-03,2026-06-09,15.4333,1341,86.8902,650,691,2011-01-05T11:20:00-05:00,2026-06-09T10:40:00-04:00,16,85.5,0.0776,2011-02-22,2012-09-06,1.5414,110,71.3632,67,43,2011-02-24T11:20:00-05:00,2012-09-05T10:55:00-04:00,2,55.0,0.5545,True,True
es_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.02, ""entry.params.rejection_buffer_ticks"": 2}",81,2011-01-03,2026-06-09,15.4333,1282,83.0673,615,667,2011-01-05T11:20:00-05:00,2026-06-04T11:00:00-04:00,16,81.0,0.078,2011-02-22,2012-09-06,1.5414,106,68.7682,67,39,2011-02-24T11:20:00-05:00,2012-09-05T10:55:00-04:00,2,53.0,0.5377,True,True
es_prior_value_area_orderflow_rejection,late_morning_signed_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.04, ""entry.params.rejection_buffer_ticks"": 2}",81,2011-01-03,2026-06-09,15.4333,1200,77.7541,570,630,2011-01-05T11:20:00-05:00,2026-06-01T11:35:00-04:00,16,77.5,0.0783,2011-02-22,2012-09-06,1.5414,102,66.1732,65,37,2011-02-24T11:20:00-05:00,2012-09-05T10:55:00-04:00,2,51.0,0.5392,True,True
es_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.0, ""entry.params.rejection_buffer_ticks"": 0}",81,2011-01-03,2026-06-09,15.4333,1315,85.2056,640,675,2011-01-05T12:15:00-05:00,2026-06-01T11:35:00-04:00,16,85.0,0.073,2011-02-22,2012-09-06,1.5414,127,82.3921,70,57,2011-02-24T11:30:00-05:00,2012-09-05T13:35:00-04:00,2,63.5,0.5354,True,True
es_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.02, ""entry.params.rejection_buffer_ticks"": 0}",81,2011-01-03,2026-06-09,15.4333,1297,84.0392,633,664,2011-01-05T12:15:00-05:00,2026-06-01T11:35:00-04:00,16,84.0,0.074,2011-02-22,2012-09-06,1.5414,126,81.7433,71,55,2011-02-24T11:30:00-05:00,2012-09-05T13:35:00-04:00,2,63.0,0.5397,True,True
es_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.04, ""entry.params.rejection_buffer_ticks"": 0}",81,2011-01-03,2026-06-09,15.4333,1268,82.1602,616,652,2011-01-05T12:15:00-05:00,2026-06-01T11:35:00-04:00,16,81.5,0.0741,2011-02-22,2012-09-06,1.5414,124,80.4458,69,55,2011-02-24T11:30:00-05:00,2012-09-05T13:35:00-04:00,2,62.0,0.5323,True,True
es_prior_value_area_orderflow_rejection,midday_large10_two_sided_rejection,"{""entry.params.min_orderflow_imbalance"": 0.0, ""entry.params.rejection_buffer_ticks"": 1}",81,2011-01-03,2026-06-09,15.4333,1226,79.4388,599,627,2011-01-05T12:15:00-05:00,2026-06-01T11:35:00-04:00,16,80.5,0.0767,2011-02-22,2012-09-06,1.5414,118,76.5533,66,52,2011-02-24T11:30:00-05:00,2012-09-05T13:35:00-04:00,2,59.0,0.5254,True,True
