macro,side,direction,threshold,entry_time,signal_bar_time,flow_column,ret_bps,flow_threshold,all_windows_ge_50,min_window_tpy,full_count,full_tpy,limited_10pct_count,limited_10pct_tpy,wfa90_count,wfa90_tpy,latest1y_count,latest1y_tpy
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large10_signed_volume,0,0,False,35.02,582,37.72,63,40.8,527,37.95,35,35.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large10_signed_volume,1,0,False,35.02,566,36.68,60,38.86,511,36.8,35,35.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large10_signed_volume,0,0,False,35.02,552,35.77,61,39.5,497,35.79,35,35.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large10_signed_volume,1,0,False,34.78,538,34.87,58,37.56,483,34.78,35,35.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large10_signed_volume,0,50,False,34.02,576,37.33,62,40.15,522,37.59,34,34.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large10_signed_volume,1,50,False,34.02,561,36.36,60,38.86,507,36.51,34,34.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large10_signed_volume,0,50,False,34.02,546,35.38,60,38.86,492,35.43,34,34.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large10_signed_volume,1,50,False,34.02,533,34.54,58,37.56,479,34.49,34,34.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large10_signed_volume,0,100,False,33.02,572,37.07,62,40.15,519,37.37,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large10_signed_volume,1,100,False,33.02,557,36.1,60,38.86,504,36.29,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large10_signed_volume,2,0,False,33.02,553,35.84,58,37.56,500,36.01,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large10_signed_volume,0,100,False,33.02,542,35.13,60,38.86,489,35.21,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large10_signed_volume,1,100,False,33.02,529,34.28,58,37.56,476,34.28,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large10_signed_volume,2,0,False,33.02,526,34.09,56,36.27,473,34.06,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large10_signed_volume,2,50,False,32.02,548,35.51,58,37.56,496,35.72,32,32.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large10_signed_volume,2,50,False,32.02,521,33.76,56,36.27,469,33.77,32,32.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large10_signed_volume,2,100,False,31.02,544,35.25,58,37.56,493,35.5,31,31.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large10_signed_volume,2,100,False,31.02,517,33.51,56,36.27,466,33.56,31,31.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large10_signed_volume,0,0,False,28.02,491,31.82,54,34.97,443,31.9,28,28.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large10_signed_volume,0,50,False,28.02,486,31.5,53,34.32,438,31.54,28,28.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large10_signed_volume,1,0,False,28.02,478,30.98,51,33.03,430,30.97,28,28.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large10_signed_volume,1,50,False,28.02,474,30.72,51,33.03,426,30.68,28,28.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large10_signed_volume,0,100,False,27.02,482,31.24,53,34.32,435,31.33,27,27.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large10_signed_volume,1,100,False,27.02,470,30.46,51,33.03,423,30.46,27,27.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large10_signed_volume,2,0,False,26.02,466,30.2,49,31.73,420,30.25,26,26.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large10_signed_volume,2,50,False,26.02,462,29.94,49,31.73,416,29.96,26,26.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large10_signed_volume,2,100,False,25.02,458,29.68,49,31.73,413,29.74,25,25.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large20_signed_volume,0,0,False,33.02,590,38.24,64,41.45,538,38.74,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large20_signed_volume,0,50,False,33.02,583,37.78,64,41.45,531,38.24,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large20_signed_volume,0,100,False,33.02,577,37.39,64,41.45,525,37.81,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large20_signed_volume,1,0,False,33.02,571,37.0,60,38.86,519,37.37,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large20_signed_volume,1,50,False,33.02,564,36.55,60,38.86,512,36.87,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large20_signed_volume,1,100,False,33.02,558,36.16,60,38.86,506,36.44,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large20_signed_volume,0,0,False,33.02,560,36.29,63,40.8,508,36.58,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large20_signed_volume,0,50,False,33.02,555,35.97,63,40.8,503,36.22,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large20_signed_volume,0,100,False,33.02,549,35.58,63,40.8,497,35.79,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large20_signed_volume,1,0,False,33.02,543,35.19,59,38.21,491,35.36,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large20_signed_volume,1,50,False,33.02,538,34.87,59,38.21,486,35.0,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large20_signed_volume,1,100,False,33.02,532,34.48,59,38.21,480,34.57,33,33.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large20_signed_volume,2,0,False,31.02,560,36.29,59,38.21,510,36.73,31,31.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large20_signed_volume,2,50,False,31.02,553,35.84,59,38.21,503,36.22,31,31.02
breakeven_change_1d_rank_252,long_high,long,0.55,10:30:00,10:29:00,large20_signed_volume,2,100,False,31.02,547,35.45,59,38.21,497,35.79,31,31.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large20_signed_volume,2,0,False,31.02,533,34.54,58,37.56,483,34.78,31,31.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large20_signed_volume,2,50,False,31.02,528,34.22,58,37.56,478,34.42,31,31.02
breakeven_change_1d_rank_252,long_high,long,0.6,10:30:00,10:29:00,large20_signed_volume,2,100,False,31.02,522,33.83,58,37.56,472,33.99,31,31.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large20_signed_volume,0,0,False,27.02,494,32.01,56,36.27,448,32.26,27,27.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large20_signed_volume,0,50,False,27.02,489,31.69,56,36.27,443,31.9,27,27.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large20_signed_volume,0,100,False,27.02,484,31.37,56,36.27,438,31.54,27,27.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large20_signed_volume,1,0,False,27.02,478,30.98,52,33.68,432,31.11,27,27.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large20_signed_volume,1,50,False,27.02,473,30.65,52,33.68,427,30.75,27,27.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large20_signed_volume,1,100,False,27.02,468,30.33,52,33.68,422,30.39,27,27.02
breakeven_change_1d_rank_252,long_high,long,0.65,10:30:00,10:29:00,large20_signed_volume,2,0,False,25.02,468,30.33,51,33.03,424,30.53,25,25.02
