variant_id,entry_grid_row,driver_column,tail,gpr_rank_threshold,full_signals,full_signals_per_year,limited_signals,limited_signals_per_year,latest_252_signals,pass_density
high_ai_gpr_short_1000,1,gpr_ai_21d_rank_252,high,0.25,1013,66.94885916601102,67,94.85393258426966,80,True
high_ai_gpr_short_1000,2,gpr_ai_21d_rank_252,high,0.3,1187,78.44846577498033,81,114.67415730337078,87,True
high_ai_gpr_short_1000,3,gpr_ai_21d_rank_252,high,0.35,1388,91.73249409913454,96,135.91011235955057,95,True
high_ai_gpr_rebound_long_1330,1,gpr_ai_21d_rank_252,high,0.25,1013,66.94885916601102,67,94.85393258426966,80,True
high_ai_gpr_rebound_long_1330,2,gpr_ai_21d_rank_252,high,0.3,1187,78.44846577498033,81,114.67415730337078,87,True
high_ai_gpr_rebound_long_1330,3,gpr_ai_21d_rank_252,high,0.35,1388,91.73249409913454,96,135.91011235955057,95,True
rising_ai_gpr_short_1030,1,gpr_ai_5d_change_rank_252,high,0.25,1029,68.00629425649095,58,82.11235955056179,64,True
rising_ai_gpr_short_1030,2,gpr_ai_5d_change_rank_252,high,0.3,1223,80.82769472856019,63,89.19101123595505,77,True
rising_ai_gpr_short_1030,3,gpr_ai_5d_change_rank_252,high,0.35,1404,92.78992918961447,70,99.10112359550561,88,True
high_threats_gpr_short_1130,1,threats_gpr_ai_21d_rank_252,high,0.25,1108,73.22738001573563,85,120.33707865168539,81,True
high_threats_gpr_short_1130,2,threats_gpr_ai_21d_rank_252,high,0.3,1245,82.2816679779701,94,133.07865168539325,85,True
high_threats_gpr_short_1130,3,threats_gpr_ai_21d_rank_252,high,0.35,1433,94.70653029110936,100,141.57303370786516,96,True
high_acts_gpr_rebound_long_1200,1,acts_gpr_ai_5d_rank_252,high,0.25,997,65.89142407553108,55,77.86516853932584,94,True
high_acts_gpr_rebound_long_1200,2,acts_gpr_ai_5d_rank_252,high,0.3,1154,76.26750590086546,63,89.19101123595505,105,True
high_acts_gpr_rebound_long_1200,3,acts_gpr_ai_5d_rank_252,high,0.35,1349,89.1549960660897,70,99.10112359550561,122,True
