variant_id,rank_column,threshold,signals,signals_per_year
high_1d_illiq_premium_long_1000,illiq1_rank_252,0.3,957,61.986921439971624
high_1d_illiq_premium_long_1000,illiq1_rank_252,0.35,1130,73.19249866997694
high_1d_illiq_premium_long_1000,illiq1_rank_252,0.45,1529,99.03657563397765
high_1d_illiq_stress_short_1030,illiq1_rank_252,0.3,957,61.986921439971624
high_1d_illiq_stress_short_1030,illiq1_rank_252,0.35,1130,73.19249866997694
high_1d_illiq_stress_short_1030,illiq1_rank_252,0.45,1529,99.03657563397765
high_5d_illiq_premium_long_1130,illiq5_rank_252,0.3,909,58.87785954956552
high_5d_illiq_premium_long_1130,illiq5_rank_252,0.35,1060,68.65845007980138
high_5d_illiq_premium_long_1130,illiq5_rank_252,0.45,1382,89.51507359460896
high_20d_illiq_premium_long_1200,illiq20_rank_252,0.3,850,55.056304309274694
high_20d_illiq_premium_long_1200,illiq20_rank_252,0.35,953,61.727832949104446
high_20d_illiq_premium_long_1200,illiq20_rank_252,0.45,1216,78.7629012236212
two_sided_5d_illiq_state_1330,illiq5_rank_252,0.3,2371,153.574702961518
two_sided_5d_illiq_state_1330,illiq5_rank_252,0.35,2735,177.15175563043093
two_sided_5d_illiq_state_1330,illiq5_rank_252,0.45,3405,220.54907785068275
