variant_id,rank_column,rank_min_threshold,window,window_start,window_end,sessions,signals,signals_per_year,density_pass
high_bank_credit_growth_long_1000,bank_credit_change_13w_rank_260w,0.55,full,2011-01-03,2026-06-12,3813,2021,133.56726986624705,True
high_bank_credit_growth_long_1000,bank_credit_change_13w_rank_260w,0.55,limited_core,2011-02-22,2012-09-07,371,236,160.30188679245282,True
high_bank_credit_growth_long_1000,bank_credit_change_13w_rank_260w,0.55,latest_252,2025-06-09,2026-06-12,252,208,208.0,True
high_bank_credit_growth_long_1000,bank_credit_change_13w_rank_260w,0.6,full,2011-01-03,2026-06-12,3813,1820,120.28324154209284,True
high_bank_credit_growth_long_1000,bank_credit_change_13w_rank_260w,0.6,limited_core,2011-02-22,2012-09-07,371,210,142.64150943396226,True
high_bank_credit_growth_long_1000,bank_credit_change_13w_rank_260w,0.6,latest_252,2025-06-09,2026-06-12,252,203,203.0,True
high_bank_credit_growth_long_1000,bank_credit_change_13w_rank_260w,0.65,full,2011-01-03,2026-06-12,3813,1529,101.05114083398898,True
high_bank_credit_growth_long_1000,bank_credit_change_13w_rank_260w,0.65,limited_core,2011-02-22,2012-09-07,371,137,93.0566037735849,True
high_bank_credit_growth_long_1000,bank_credit_change_13w_rank_260w,0.65,latest_252,2025-06-09,2026-06-12,252,153,153.0,True
high_loans_leases_growth_long_1030,loans_leases_change_4w_rank_260w,0.55,full,2011-01-03,2026-06-12,3813,2053,135.68214004720693,True
high_loans_leases_growth_long_1030,loans_leases_change_4w_rank_260w,0.55,limited_core,2011-02-22,2012-09-07,371,212,144.0,True
high_loans_leases_growth_long_1030,loans_leases_change_4w_rank_260w,0.55,latest_252,2025-06-09,2026-06-12,252,211,211.0,True
high_loans_leases_growth_long_1030,loans_leases_change_4w_rank_260w,0.6,full,2011-01-03,2026-06-12,3813,1796,118.69708890637293,True
high_loans_leases_growth_long_1030,loans_leases_change_4w_rank_260w,0.6,limited_core,2011-02-22,2012-09-07,371,145,98.49056603773585,True
high_loans_leases_growth_long_1030,loans_leases_change_4w_rank_260w,0.6,latest_252,2025-06-09,2026-06-12,252,201,201.0,True
high_loans_leases_growth_long_1030,loans_leases_change_4w_rank_260w,0.65,full,2011-01-03,2026-06-12,3813,1593,105.28088119590873,True
high_loans_leases_growth_long_1030,loans_leases_change_4w_rank_260w,0.65,limited_core,2011-02-22,2012-09-07,371,106,72.0,True
high_loans_leases_growth_long_1030,loans_leases_change_4w_rank_260w,0.65,latest_252,2025-06-09,2026-06-12,252,175,175.0,True
high_ci_loans_growth_long_1130,ci_loans_change_13w_rank_260w,0.55,full,2011-01-03,2026-06-12,3813,1730,114.33516915814319,True
high_ci_loans_growth_long_1130,ci_loans_change_13w_rank_260w,0.55,limited_core,2011-02-22,2012-09-07,371,303,205.81132075471697,True
high_ci_loans_growth_long_1130,ci_loans_change_13w_rank_260w,0.55,latest_252,2025-06-09,2026-06-12,252,195,195.0,True
high_ci_loans_growth_long_1130,ci_loans_change_13w_rank_260w,0.6,full,2011-01-03,2026-06-12,3813,1481,97.87883556254917,True
high_ci_loans_growth_long_1130,ci_loans_change_13w_rank_260w,0.6,limited_core,2011-02-22,2012-09-07,371,251,170.49056603773585,True
high_ci_loans_growth_long_1130,ci_loans_change_13w_rank_260w,0.6,latest_252,2025-06-09,2026-06-12,252,183,183.0,True
high_ci_loans_growth_long_1130,ci_loans_change_13w_rank_260w,0.65,full,2011-01-03,2026-06-12,3813,1225,80.95987411487017,True
high_ci_loans_growth_long_1130,ci_loans_change_13w_rank_260w,0.65,limited_core,2011-02-22,2012-09-07,371,201,136.52830188679243,True
high_ci_loans_growth_long_1130,ci_loans_change_13w_rank_260w,0.65,latest_252,2025-06-09,2026-06-12,252,143,143.0,True
high_deposits_growth_long_1200,deposits_change_13w_rank_260w,0.55,full,2011-01-03,2026-06-12,3813,1634,107.99055861526357,True
high_deposits_growth_long_1200,deposits_change_13w_rank_260w,0.55,limited_core,2011-02-22,2012-09-07,371,229,155.54716981132074,True
high_deposits_growth_long_1200,deposits_change_13w_rank_260w,0.55,latest_252,2025-06-09,2026-06-12,252,207,207.0,True
high_deposits_growth_long_1200,deposits_change_13w_rank_260w,0.6,full,2011-01-03,2026-06-12,3813,1389,91.79858379228953,True
high_deposits_growth_long_1200,deposits_change_13w_rank_260w,0.6,limited_core,2011-02-22,2012-09-07,371,172,116.83018867924528,True
high_deposits_growth_long_1200,deposits_change_13w_rank_260w,0.6,latest_252,2025-06-09,2026-06-12,252,150,150.0,True
high_deposits_growth_long_1200,deposits_change_13w_rank_260w,0.65,full,2011-01-03,2026-06-12,3813,1177,77.78756884343036,True
high_deposits_growth_long_1200,deposits_change_13w_rank_260w,0.65,limited_core,2011-02-22,2012-09-07,371,130,88.30188679245282,True
high_deposits_growth_long_1200,deposits_change_13w_rank_260w,0.65,latest_252,2025-06-09,2026-06-12,252,119,119.0,True
high_total_assets_growth_long_1330,total_assets_change_4w_rank_260w,0.55,full,2011-01-03,2026-06-12,3813,1769,116.91266719118804,True
high_total_assets_growth_long_1330,total_assets_change_4w_rank_260w,0.55,limited_core,2011-02-22,2012-09-07,371,189,128.37735849056602,True
high_total_assets_growth_long_1330,total_assets_change_4w_rank_260w,0.55,latest_252,2025-06-09,2026-06-12,252,174,174.0,True
high_total_assets_growth_long_1330,total_assets_change_4w_rank_260w,0.6,full,2011-01-03,2026-06-12,3813,1598,105.61132966168371,True
high_total_assets_growth_long_1330,total_assets_change_4w_rank_260w,0.6,limited_core,2011-02-22,2012-09-07,371,160,108.67924528301886,True
high_total_assets_growth_long_1330,total_assets_change_4w_rank_260w,0.6,latest_252,2025-06-09,2026-06-12,252,156,156.0,True
high_total_assets_growth_long_1330,total_assets_change_4w_rank_260w,0.65,full,2011-01-03,2026-06-12,3813,1345,88.89063729346971,True
high_total_assets_growth_long_1330,total_assets_change_4w_rank_260w,0.65,limited_core,2011-02-22,2012-09-07,371,125,84.90566037735849,True
high_total_assets_growth_long_1330,total_assets_change_4w_rank_260w,0.65,latest_252,2025-06-09,2026-06-12,252,142,142.0,True
