variant,driver_column,operator,threshold,valid_sessions,signal_sessions,signal_rate,annualized_signals,min_year_signals,max_year_signals,active_years
high_vix_rebound_long_1000,vix_close_rank_252,>=,0.6,3813,1384,0.363,91.47,10,182,16
high_vix_rebound_long_1000,vix_close_rank_252,>=,0.65,3813,1226,0.3215,81.03,4,168,16
high_vix_rebound_long_1000,vix_close_rank_252,>=,0.7,3813,1039,0.2725,68.67,3,144,16
low_vix_complacency_short_1030,vix_close_rank_252,<=,0.25,3813,1276,0.3346,84.33,7,192,16
low_vix_complacency_short_1030,vix_close_rank_252,<=,0.3,3813,1438,0.3771,95.04,10,201,16
low_vix_complacency_short_1030,vix_close_rank_252,<=,0.35,3813,1615,0.4236,106.73,14,210,16
vix_spike_riskoff_short_1130,vix_change_1d_rank_252,>=,0.5,3813,1928,0.5056,127.42,54,141,16
vix_spike_riskoff_short_1130,vix_change_1d_rank_252,>=,0.55,3813,1741,0.4566,115.06,52,120,16
vix_spike_riskoff_short_1130,vix_change_1d_rank_252,>=,0.6,3813,1544,0.4049,102.04,48,107,16
vix_crush_rebound_long_1200,vix_change_1d_rank_252,<=,0.45,3813,1694,0.4443,111.96,52,117,16
vix_crush_rebound_long_1200,vix_change_1d_rank_252,<=,0.425,3813,1589,0.4167,105.02,50,113,16
vix_crush_rebound_long_1200,vix_change_1d_rank_252,<=,0.4,3813,1496,0.3923,98.87,48,105,16
persistent_high_vix_long_1330,vix_5d_mean_rank_252,>=,0.575,3813,1472,0.386,97.28,12,190,16
persistent_high_vix_long_1330,vix_5d_mean_rank_252,>=,0.6,3813,1356,0.3556,89.62,9,178,16
persistent_high_vix_long_1330,vix_5d_mean_rank_252,>=,0.625,3813,1275,0.3344,84.26,2,171,16
