variant_id,entry_grid_row,driver_column,tail,supply_rank_threshold,full_signals,full_signals_per_year,limited_signals,limited_signals_per_year,latest_252_signals,pass_density
high_1q_net_equity_short_1000,1,net_equity_to_market_1q_rank_40q,high,0.2,1110,73.35955940204563,178,251.99999999999997,128,True
high_1q_net_equity_short_1000,2,net_equity_to_market_1q_rank_40q,high,0.25,1482,97.94492525570416,178,251.99999999999997,190,True
high_1q_net_equity_short_1000,3,net_equity_to_market_1q_rank_40q,high,0.3,1790,118.30055074744295,178,251.99999999999997,252,True
high_4q_net_equity_short_1030,1,net_equity_to_market_4q_rank_40q,high,0.2,990,65.4287962234461,178,251.99999999999997,252,True
high_4q_net_equity_short_1030,2,net_equity_to_market_4q_rank_40q,high,0.25,1303,86.11487018095987,178,251.99999999999997,252,True
high_4q_net_equity_short_1030,3,net_equity_to_market_4q_rank_40q,high,0.3,1610,106.40440597954367,178,251.99999999999997,252,True
rising_4q_net_equity_short_1130,1,net_equity_issuance_4q_change_rank_40q,high,0.2,1055,69.72462627852084,116,164.22471910112358,199,True
rising_4q_net_equity_short_1130,2,net_equity_issuance_4q_change_rank_40q,high,0.25,1366,90.27852084972463,178,251.99999999999997,199,True
rising_4q_net_equity_short_1130,3,net_equity_issuance_4q_change_rank_40q,high,0.3,1427,94.30999213217939,178,251.99999999999997,199,True
high_equity_share_short_1200,1,equity_financing_share_4q_rank_40q,high,0.25,1054,69.65853658536585,178,251.99999999999997,123,True
high_equity_share_short_1200,2,equity_financing_share_4q_rank_40q,high,0.3,1417,93.64909520062942,178,251.99999999999997,176,True
high_equity_share_short_1200,3,equity_financing_share_4q_rank_40q,high,0.35,1541,101.84421715184894,178,251.99999999999997,238,True
low_debt_minus_equity_short_1330,1,debt_minus_equity_to_market_4q_rank_40q,low,0.2,987,65.23052714398112,178,251.99999999999997,252,True
low_debt_minus_equity_short_1330,2,debt_minus_equity_to_market_4q_rank_40q,low,0.25,1351,89.28717545239968,178,251.99999999999997,252,True
low_debt_minus_equity_short_1330,3,debt_minus_equity_to_market_4q_rank_40q,low,0.3,1476,97.54838709677419,178,251.99999999999997,252,True
