variant_id,setup_mode,rank_mode,rank_threshold,min_orderflow_imbalance,candidate_sessions,candidate_sessions_per_year
hyg_1d_strength_signed_long_1230,hyg_strength_long,hyg_1d,0.65,0.0,778,50.39271147366554
hyg_1d_strength_signed_long_1230,hyg_strength_long,hyg_1d,0.65,0.01,591,38.28032452562511
hyg_1d_strength_signed_long_1230,hyg_strength_long,hyg_1d,0.65,0.02,404,26.167937577584677
hyg_1d_strength_signed_long_1230,hyg_strength_long,hyg_1d,0.7,0.0,661,42.81437311580067
hyg_1d_strength_signed_long_1230,hyg_strength_long,hyg_1d,0.7,0.01,500,32.38606135839688
hyg_1d_strength_signed_long_1230,hyg_strength_long,hyg_1d,0.7,0.02,342,22.152065969143464
hyg_1d_strength_signed_long_1230,hyg_strength_long,hyg_1d,0.75,0.0,565,36.59624933498847
hyg_1d_strength_signed_long_1230,hyg_strength_long,hyg_1d,0.75,0.01,429,27.78724064550452
hyg_1d_strength_signed_long_1230,hyg_strength_long,hyg_1d,0.75,0.02,294,19.043004078737365
hyg_1d_weakness_signed_short_1230,hyg_weakness_short,hyg_1d,0.65,0.0,776,50.26316722823196
hyg_1d_weakness_signed_short_1230,hyg_weakness_short,hyg_1d,0.65,0.01,596,38.60418513920908
hyg_1d_weakness_signed_short_1230,hyg_weakness_short,hyg_1d,0.65,0.02,385,24.937267245965597
hyg_1d_weakness_signed_short_1230,hyg_weakness_short,hyg_1d,0.7,0.0,650,42.10187976591594
hyg_1d_weakness_signed_short_1230,hyg_weakness_short,hyg_1d,0.7,0.01,497,32.1917449902465
hyg_1d_weakness_signed_short_1230,hyg_weakness_short,hyg_1d,0.7,0.02,321,20.791851392090795
hyg_1d_weakness_signed_short_1230,hyg_weakness_short,hyg_1d,0.75,0.0,546,35.36557900336939
hyg_1d_weakness_signed_short_1230,hyg_weakness_short,hyg_1d,0.75,0.01,420,27.204291541053376
hyg_1d_weakness_signed_short_1230,hyg_weakness_short,hyg_1d,0.75,0.02,275,17.812333747118284
hyg_1d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_1d,0.65,0.0,1554,100.65587870189749
hyg_1d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_1d,0.65,0.01,1187,76.88450966483418
hyg_1d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_1d,0.65,0.02,789,51.105204823550274
hyg_1d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_1d,0.7,0.0,1311,84.91625288171662
hyg_1d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_1d,0.7,0.01,997,64.57780634864338
hyg_1d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_1d,0.7,0.02,663,42.94391736123426
hyg_1d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_1d,0.75,0.0,1111,71.96182833835786
hyg_1d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_1d,0.75,0.01,849,54.9915321865579
hyg_1d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_1d,0.75,0.02,569,36.85533782585565
hyg_3d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_3d,0.65,0.0,1486,96.25137435715553
hyg_3d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_3d,0.65,0.01,1114,72.15614470650824
hyg_3d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_3d,0.65,0.02,740,47.93137081042738
hyg_3d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_3d,0.7,0.0,1279,82.84354495477922
hyg_3d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_3d,0.7,0.01,954,61.79260507182124
hyg_3d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_3d,0.7,0.02,634,41.06552580244724
hyg_3d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_3d,0.75,0.0,1071,69.37094342968611
hyg_3d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_3d,0.75,0.01,788,51.04043270083348
hyg_3d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_3d,0.75,0.02,515,33.35764319914878
hyg_5d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_5d,0.65,0.0,1535,99.42520837027841
hyg_5d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_5d,0.65,0.01,1155,74.81180173789679
hyg_5d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_5d,0.65,0.02,766,49.615446001064015
hyg_5d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_5d,0.7,0.0,1289,83.49126618194715
hyg_5d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_5d,0.7,0.01,968,62.699414789856355
hyg_5d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_5d,0.7,0.02,641,41.5189306614648
hyg_5d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_5d,0.75,0.0,1083,70.14820890228764
hyg_5d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_5d,0.75,0.01,809,52.40064727788615
hyg_5d_two_sided_signed_1230,hyg_two_sided_continuation,hyg_5d,0.75,0.02,529,34.264452917183895
